S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 0, 89000, 2, 0.00637, 500
86669.4, 273.317, 385.52, 119.509, 70, 1482.3, 505.029, 0, 89000, 2, 0.00637, 500
86599.1, 288.911, 383.248, 83.3714, 122, 1523.37, 466.619, 0, 89000, 2, 0.00637, 500
86534.2, 295.991, 380.32, 69.751, 154.286, 1565.41, 450.071, 0, 89000, 2, 0.00637, 500
86471.7, 299.307, 374.593, 60.5282, 185.265, 1608.58, 435.121, 0, 89000, 2, 0.00637, 500
86411.3, 299.84, 374.74, 50.1632, 211.032, 1652.89, 424.903, 0, 89000, 2, 0.00637, 500
86352.4, 298.807, 371.95, 45.5705, 232.958, 1698.32, 417.521, 0, 89000, 2, 0.00637, 500
86294.5, 296.917, 371.215, 49.2439, 243.318, 1744.78, 420.459, 0, 89000, 2, 0.00637, 500
86236.3, 295.773, 371.268, 41.5415, 262.939, 1792.19, 412.81, 0, 89000, 2, 0.00637, 500
86179.1, 293.76, 365.157, 43.3206, 278.157, 1840.46, 408.478, 0, 89000, 2, 0.00637, 500
86122.6, 291.512, 357.201, 42.8519, 296.289, 1889.51, 400.053, 0, 89000, 2, 0.00637, 500
86067.3, 288.513, 356.498, 38.2818, 310.125, 1939.25, 394.78, 0, 89000, 2, 0.00637, 500
86012.8, 285.349, 354.426, 38.8581, 318.974, 1989.6, 393.284, 0, 89000, 2, 0.00637, 500
85958.5, 282.577, 354.059, 44.2035, 320.19, 2040.47, 398.262, 0, 89000, 2, 0.00637, 500
85903.5, 281.012, 350.33, 42.0007, 331.319, 2091.79, 392.33, 0, 89000, 2, 0.00637, 500
85849.5, 278.907, 349.648, 32.8614, 345.653, 2143.48, 382.509, 0, 89000, 2, 0.00637, 500
85796.7, 275.835, 349.72, 35.2485, 346.964, 2195.49, 384.968, 0, 89000, 2, 0.00637, 500
85743.7, 273.684, 346.357, 33.2809, 355.181, 2247.77, 379.638, 0, 89000, 2, 0.00637, 500
85691.5, 271.197, 339.933, 31.3247, 365.811, 2300.26, 371.257, 0, 89000, 2, 0.00637, 500
85640.4, 268.023, 340.619, 32.3591, 365.681, 2352.91, 372.978, 0, 89000, 2, 0.00637, 500
85589.1, 265.69, 335.813, 32.1291, 371.561, 2405.67, 367.942, 0, 89000, 2, 0.00637, 500
85538.6, 263.1, 330.023, 30.7755, 379.021, 2458.49, 360.798, 0, 89000, 2, 0.00637, 500
85489.1, 260.018, 328.284, 23.3633, 387.948, 2511.33, 351.647, 0, 89000, 2, 0.00637, 500
85440.8, 256.268, 325.237, 29.2956, 384.238, 2564.16, 354.533, 0, 89000, 2, 0.00637, 500
85392.2, 253.637, 322.884, 30.5791, 383.792, 2616.93, 353.463, 0, 89000, 2, 0.00637, 500
85343.7, 251.357, 322.33, 28.6131, 384.378, 2669.59, 350.943, 0, 89000, 2, 0.00637, 500
85295.7, 249.161, 317.496, 29.6507, 385.923, 2722.11, 347.147, 0, 89000, 2, 0.00637, 500
85248.1, 246.857, 311.7, 30.4824, 388.357, 2774.48, 342.183, 0, 89000, 2, 0.00637, 500
85201.3, 244.308, 309.996, 32.1165, 385.617, 2826.66, 342.112, 0, 89000, 2, 0.00637, 500
85154.5, 242.234, 304.056, 31.481, 389.073, 2878.64, 335.537, 0, 89000, 2, 0.00637, 500
85108.7, 239.65, 309.251, 31.7663, 380.282, 2930.4, 341.017, 0, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 1, 89000, 2, 0.00637, 500
86669.4, 273.317, 382.52, 109.509, 83, 1482.3, 492.029, 1, 89000, 2, 0.00637, 500
86600.9, 287.103, 377.462, 86.0857, 125.071, 1523.37, 463.547, 1, 89000, 2, 0.00637, 500
86536.5, 294.118, 371.695, 70.1629, 162.138, 1565.41, 441.857, 1, 89000, 2, 0.00637, 500
86475.1, 296.67, 368.322, 58.7983, 192.556, 1608.56, 427.12, 1, 89000, 2, 0.00637, 500
86415.8, 296.622, 367.547, 47.3986, 219.802, 1652.82, 414.945, 1, 89000, 2, 0.00637, 500
86358.3, 294.854, 364.82, 47.8103, 236.102, 1698.16, 412.631, 1, 89000, 2, 0.00637, 500
86301.1, 293.081, 365.041, 41.0866, 255.238, 1744.5, 406.128, 1, 89000, 2, 0.00637, 500
86244.8, 290.724, 366.998, 35.7367, 270.007, 1791.74, 402.735, 1, 89000, 2, 0.00637, 500
86189, 288.331, 366.485, 36.6275, 279.72, 1839.79, 403.113, 1, 89000, 2, 0.00637, 500
86133.3, 286.434, 364.674, 37.3111, 289.74, 1888.56, 401.985, 1, 89000, 2, 0.00637, 500
86077.7, 284.724, 360.727, 32.832, 306.045, 1937.97, 393.559, 1, 89000, 2, 0.00637, 500
86023.3, 282.156, 355.822, 30.5703, 320.184, 1987.94, 386.392, 1, 89000, 2, 0.00637, 500
85970, 279.077, 348.908, 32.3161, 331.314, 2038.41, 381.224, 1, 89000, 2, 0.00637, 500
85917.4, 275.868, 341.057, 35.7524, 340.649, 2089.31, 376.809, 1, 89000, 2, 0.00637, 500
85865.4, 272.66, 341.317, 36.7508, 343.317, 2140.56, 378.068, 1, 89000, 2, 0.00637, 500
85813.3, 270.236, 339.11, 33.4853, 351.794, 2192.08, 372.595, 1, 89000, 2, 0.00637, 500
85762, 267.51, 335.721, 36.3077, 354.666, 2243.82, 372.028, 1, 89000, 2, 0.00637, 500
85710.8, 265.222, 331.192, 33.7649, 363.333, 2295.73, 364.957, 1, 89000, 2, 0.00637, 500
85660.5, 262.387, 330.666, 35.2664, 363.38, 2347.75, 365.933, 1, 89000, 2, 0.00637, 500
85610.2, 260.224, 329.782, 36.4906, 363.425, 2399.85, 366.272, 1, 89000, 2, 0.00637, 500
85559.9, 258.511, 320.657, 35.4976, 373.466, 2451.97, 356.155, 1, 89000, 2, 0.00637, 500
85511, 255.722, 318.945, 31.4727, 378.79, 2504.08, 350.417, 1, 89000, 2, 0.00637, 500
85462.9, 252.674, 308.964, 32.568, 386.733, 2556.17, 341.532, 1, 89000, 2, 0.00637, 500
85416, 248.991, 295.27, 30.4021, 401.109, 2608.19, 325.672, 1, 89000, 2, 0.00637, 500
85371.4, 243.844, 291.038, 29.17, 404.459, 2660.1, 320.208, 1, 89000, 2, 0.00637, 500
85327.5, 238.954, 289.387, 26.7171, 405.569, 2711.86, 316.104, 1, 89000, 2, 0.00637, 500
85284.2, 234.457, 286.17, 27.1459, 404.6, 2763.41, 313.316, 1, 89000, 2, 0.00637, 500
85241.3, 230.457, 281.554, 28.2744, 403.7, 2814.69, 309.828, 1, 89000, 2, 0.00637, 500
85198.9, 226.757, 276.707, 30.0822, 401.864, 2865.66, 306.789, 1, 89000, 2, 0.00637, 500
85157, 223.361, 275.688, 28.5389, 399.159, 2916.27, 304.227, 1, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 2, 89000, 2, 0.00637, 500
86669.4, 273.317, 387.52, 122.509, 65, 1482.3, 510.029, 2, 89000, 2, 0.00637, 500
86598.4, 289.607, 380.105, 88.1571, 120.357, 1523.37, 468.262, 2, 89000, 2, 0.00637, 500
86533.3, 296.775, 375.499, 72.2366, 156.76, 1565.41, 447.736, 2, 89000, 2, 0.00637, 500
86471.1, 299.609, 368.226, 60.8833, 191.563, 1608.59, 429.11, 2, 89000, 2, 0.00637, 500
86411.6, 299.247, 366.87, 47.5111, 221.88, 1652.92, 414.381, 2, 89000, 2, 0.00637, 500
86354.1, 296.873, 366.559, 34.0722, 250.031, 1698.37, 400.632, 2, 89000, 2, 0.00637, 500
86298.6, 293.03, 360.939, 32.4509, 270.172, 1744.85, 393.39, 2, 89000, 2, 0.00637, 500
86244.1, 288.917, 365.182, 34.7148, 274.874, 1792.25, 399.897, 2, 89000, 2, 0.00637, 500
86188.7, 286.493, 362.546, 32.5702, 289.24, 1840.44, 395.116, 2, 89000, 2, 0.00637, 500
86134, 283.856, 360.759, 30.4333, 301.58, 1889.33, 391.192, 2, 89000, 2, 0.00637, 500
86080, 281.17, 353.73, 25.2909, 321.039, 1938.81, 379.021, 2, 89000, 2, 0.00637, 500
86027.6, 277.305, 350.827, 29.3546, 326.107, 1988.81, 380.182, 2, 89000, 2, 0.00637, 500
85975.1, 274.342, 349.591, 27.8961, 333.814, 2039.26, 377.487, 2, 89000, 2, 0.00637, 500
85923, 271.568, 344.028, 32.3641, 338.97, 2090.07, 376.392, 2, 89000, 2, 0.00637, 500
85871.1, 269.165, 343.474, 31.3464, 343.758, 2141.17, 374.821, 2, 89000, 2, 0.00637, 500
85819.4, 266.996, 335.623, 36.2573, 349.204, 2192.49, 371.881, 2, 89000, 2, 0.00637, 500
85768.2, 264.824, 334.03, 32.6872, 356.261, 2244, 366.717, 2, 89000, 2, 0.00637, 500
85717.7, 262.345, 328.246, 35.2419, 360.814, 2295.64, 363.488, 2, 89000, 2, 0.00637, 500
85667.7, 259.888, 322.528, 34.4653, 368.041, 2347.38, 356.993, 2, 89000, 2, 0.00637, 500
85618.6, 257, 317.874, 31.5967, 375.752, 2399.17, 349.471, 2, 89000, 2, 0.00637, 500
85570.6, 253.627, 311.149, 29.7598, 383.913, 2450.97, 340.909, 2, 89000, 2, 0.00637, 500
85523.8, 249.727, 310.432, 33.8517, 379.491, 2502.74, 344.284, 2, 89000, 2, 0.00637, 500
85476.5, 247.044, 305.22, 32.4173, 384.384, 2554.44, 337.637, 2, 89000, 2, 0.00637, 500
85430.2, 243.959, 307.005, 34.9244, 377.928, 2606.01, 341.929, 2, 89000, 2, 0.00637, 500
85383.3, 242.055, 304.23, 28.0674, 384.933, 2657.43, 332.297, 2, 89000, 2, 0.00637, 500
85337.7, 239.186, 299.387, 30.5859, 384.438, 2708.66, 329.973, 2, 89000, 2, 0.00637, 500
85292.5, 236.548, 296.488, 31.7523, 382.978, 2759.69, 328.241, 2, 89000, 2, 0.00637, 500
85247.6, 234.177, 296.427, 31.6772, 379.623, 2810.49, 328.104, 2, 89000, 2, 0.00637, 500
85202.7, 232.237, 293.039, 28.4651, 382.507, 2861.04, 321.504, 2, 89000, 2, 0.00637, 500
85158.7, 229.759, 283.62, 31.3661, 385.185, 2911.33, 314.987, 2, 89000, 2, 0.00637, 500
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 3, 89000, 2, 0.00637, 500
86669.4, 273.317, 382.52, 116.509, 76, 1482.3, 499.029, 3, 89000, 2, 0.00637, 500
86599.9, 288.077, 379.462, 75.5857, 133.571, 1523.37, 455.047, 3, 89000, 2, 0.00637, 500
86536.7, 293.715, 377.688, 60.4713, 166.031, 1565.41, 438.159, 3, 89000, 2, 0.00637, 500
86475.8, 295.834, 374.83, 53.7748, 191.171, 1608.57, 428.605, 3, 89000, 2, 0.00637, 500
86416.3, 296.16, 372.474, 45.6838, 216.516, 1652.84, 418.157, 3, 89000, 2, 0.00637, 500
86358.3, 294.93, 367.331, 36.1902, 245.051, 1698.17, 403.521, 3, 89000, 2, 0.00637, 500
86302.4, 291.879, 367.383, 35.301, 258.547, 1744.5, 402.684, 3, 89000, 2, 0.00637, 500
86246.6, 289.286, 369.004, 30.2923, 273.079, 1791.73, 399.297, 3, 89000, 2, 0.00637, 500
86191.3, 286.706, 366.147, 36.4857, 279.574, 1839.76, 402.633, 3, 89000, 2, 0.00637, 500
86135.6, 285.069, 362.133, 30.082, 298.604, 1888.49, 392.215, 3, 89000, 2, 0.00637, 500
86081.4, 282.283, 356.176, 31.0374, 311.275, 1937.83, 387.213, 3, 89000, 2, 0.00637, 500
86027.9, 279.328, 351.254, 33.7574, 320.041, 1987.72, 385.011, 3, 89000, 2, 0.00637, 500
85974.7, 276.627, 347.27, 28.1058, 335.181, 2038.08, 375.376, 3, 89000, 2, 0.00637, 500
85922.9, 273.104, 344.193, 30.6959, 340.24, 2088.84, 374.889, 3, 89000, 2, 0.00637, 500
85871.2, 270.187, 341.843, 30.8896, 345.937, 2139.92, 372.732, 3, 89000, 2, 0.00637, 500
85819.8, 267.525, 340.252, 32.8945, 348.227, 2191.25, 373.146, 3, 89000, 2, 0.00637, 500
85768.4, 265.422, 338.401, 34.5964, 350.354, 2242.78, 372.998, 3, 89000, 2, 0.00637, 500
85717.1, 263.688, 334.389, 30.0505, 360.329, 2294.45, 364.44, 3, 89000, 2, 0.00637, 500
85667, 261.093, 330.42, 31.7254, 363.591, 2346.22, 362.146, 3, 89000, 2, 0.00637, 500
85617.2, 258.672, 329.372, 27.1249, 369.62, 2398.05, 356.497, 3, 89000, 2, 0.00637, 500
85568.2, 255.93, 322.06, 28.7077, 375.219, 2449.92, 350.767, 3, 89000, 2, 0.00637, 500
85520, 252.921, 317.885, 28.013, 379.417, 2501.78, 345.898, 3, 89000, 2, 0.00637, 500
