Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86669.4, 273.317, 395.09, 131.169, 48.77, 1482.3, 0.353667, 300
1, 86596.1, 291.865, 395.054, 103.509, 90.0564, 1523.37, 0.486667, 300
2, 86526.8, 302.791, 393.227, 88.6669, 123.054, 1565.41, 0.655667, 300
3, 86459.9, 309.162, 392.21, 79.1811, 150.904, 1608.62, 0.717667, 300
4, 86394.5, 312.749, 391.048, 73.055, 175.575, 1653.07, 0.747333, 300
5, 86330.1, 314.559, 390.751, 66.9917, 198.794, 1698.76, 0.731667, 300
6, 86266.7, 315.077, 390.248, 63.9001, 218.405, 1745.66, 0.764, 300
7, 86203.8, 314.947, 389.344, 61.9604, 236.224, 1793.7, 0.775333, 300
8, 86141.4, 314.404, 387.906, 61.8615, 251.641, 1842.81, 0.803667, 300
9, 86079.2, 313.712, 386.635, 61.3171, 266.237, 1892.91, 0.791667, 300
10, 86017.3, 312.863, 385.908, 59.9101, 280.1, 1943.92, 0.783667, 300
11, 85955.7, 311.844, 385.134, 58.2325, 293.273, 1995.77, 0.774667, 300
12, 85894.6, 310.647, 383.723, 58.1637, 304.505, 2048.39, 0.800333, 300
13, 85833.6, 309.441, 382.464, 57.5179, 315.224, 2101.7, 0.795333, 300
14, 85773, 308.171, 381.417, 56.976, 324.758, 2155.65, 0.782, 300
15, 85712.7, 306.893, 379.437, 56.9765, 333.861, 2210.16, 0.798, 300
16, 85652.6, 305.556, 377.64, 56.2204, 342.774, 2265.18, 0.788333, 300
17, 85593, 304.094, 376.593, 55.098, 350.58, 2320.65, 0.792667, 300
18, 85533.7, 302.584, 374.807, 54.4281, 357.979, 2376.53, 0.796333, 300
19, 85474.7, 300.998, 372.877, 54.6854, 363.939, 2432.76, 0.800333, 300
20, 85416.1, 299.459, 371.872, 53.8691, 369.423, 2489.29, 0.788, 300
21, 85357.7, 297.938, 369.574, 53.7889, 374.896, 2546.09, 0.804333, 300
22, 85299.7, 296.355, 367.677, 53.5431, 379.608, 2603.11, 0.804667, 300
23, 85242, 294.756, 365.894, 52.9698, 384.033, 2660.31, 0.799333, 300
24, 85184.7, 293.115, 364.075, 52.4216, 388.002, 2717.66, 0.791, 300
25, 85127.8, 291.44, 361.706, 52.5141, 391.437, 2775.13, 0.806333, 300
26, 85071.2, 289.751, 360.161, 52.0995, 394.138, 2832.67, 0.783333, 300
27, 85014.9, 288.095, 358.19, 51.0932, 397.465, 2890.27, 0.791333, 300
28, 84959, 286.326, 355.259, 52.5094, 398.975, 2947.9, 0.827, 300
29, 84903.4, 284.667, 353.359, 51.2782, 401.746, 3005.52, 0.798667, 300
