Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
0, 1, 86669.4, 273.317, 395.52, 124.509, 55, 1482.3, 0.266667, 300
0, 2, 86597, 290.998, 387.533, 110.014, 91.0714, 1523.37, 0.7, 300
0, 3, 86527.9, 301.958, 377.592, 115.616, 111.566, 1565.41, 0.966667, 300
0, 4, 86459.4, 310.067, 385.895, 89.4751, 146.597, 1608.61, 0.4, 300
0, 5, 86393.4, 314.025, 384.741, 94.6881, 160.126, 1653.04, 0.9, 300
0, 6, 86326.9, 317.704, 393.223, 82.7662, 180.688, 1698.72, 0.566667, 300
0, 7, 86260.9, 320.119, 391.614, 79.9165, 201.782, 1745.63, 0.8, 300
0, 8, 86195.7, 321.384, 389.458, 82.4154, 217.369, 1793.72, 0.766667, 300
0, 9, 86130.4, 322.394, 390.634, 76.8116, 236.843, 1842.95, 0.8, 300
0, 10, 86065.7, 322.54, 393.866, 63.6687, 260.925, 1893.26, 0.6, 300
0, 11, 86002.5, 321.239, 396.888, 65.4733, 269.288, 1944.58, 0.8, 300
0, 12, 85938.7, 320.818, 397.513, 74.0709, 272.053, 1996.84, 0.9, 300
0, 13, 85873.7, 321.706, 398.033, 68.0292, 288.621, 2049.95, 0.8, 300
0, 14, 85809.4, 321.607, 400.641, 64.4724, 300.005, 2103.86, 0.8, 300
0, 15, 85745.4, 321.348, 406.049, 63.1636, 305.576, 2158.51, 0.7, 300
0, 16, 85680.8, 321.658, 406.034, 72.9328, 304.749, 2213.85, 0.933333, 300
0, 17, 85614.9, 323.198, 404.064, 68.0228, 319.981, 2269.83, 0.7, 300
0, 18, 85550, 323.434, 401.45, 67.5559, 331.126, 2326.41, 0.833333, 300
0, 19, 85485.6, 323.151, 402.056, 72.1366, 333.474, 2383.56, 0.9, 300
0, 20, 85420.6, 323.588, 406.579, 66.373, 341.654, 2441.25, 0.766667, 300
0, 21, 85355.7, 323.717, 405.84, 61.0474, 354.25, 2499.44, 0.766667, 300
0, 22, 85291.7, 322.941, 402.172, 62.1099, 362.947, 2558.09, 0.9, 300
0, 23, 85228.2, 321.915, 402.657, 61.0499, 369.022, 2617.18, 0.766667, 300
0, 24, 85164.7, 320.969, 399.964, 66.0041, 371.663, 2676.66, 0.9, 300
0, 25, 85101, 320.473, 395.33, 67.5476, 379.116, 2736.49, 0.8, 300
0, 26, 85037.8, 319.607, 383.959, 71.9512, 390.036, 2796.63, 0.966667, 300
0, 27, 84975.6, 317.916, 380.278, 74.9882, 394.176, 2857.06, 0.833333, 300
0, 28, 84913.5, 316.43, 375.624, 78.7069, 398.021, 2917.73, 0.9, 300
0, 29, 84851.6, 315.068, 374.094, 83.0708, 397.591, 2978.61, 0.933333, 300
0, 30, 84789.3, 314.32, 377.482, 74.0413, 405.192, 3039.67, 0.666667, 300
1, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
1, 1, 86669.4, 273.317, 399.52, 125.509, 50, 1482.3, 0.2, 300
1, 2, 86596.3, 291.694, 396.248, 101.943, 90.4286, 1523.37, 0.433333, 300
1, 3, 86527.1, 302.603, 394.781, 81.1628, 128.969, 1565.41, 0.6, 300
1, 4, 86461, 308.185, 391.947, 80.5216, 149.757, 1608.62, 0.9, 300
1, 5, 86395.4, 312.118, 391.097, 76.2612, 172.06, 1653.07, 0.7, 300
1, 6, 86330.6, 314.506, 394.858, 68.541, 192.77, 1698.74, 0.533333, 300
1, 7, 86266.4, 315.819, 397.684, 51.5156, 223.001, 1745.61, 0.6, 300
1, 8, 86204.2, 314.856, 390.493, 58.785, 238.072, 1793.62, 0.933333, 300
1, 9, 86142, 314.051, 392.68, 52.4774, 256.067, 1842.72, 0.7, 300
1, 10, 86080.5, 312.792, 390.599, 43.5721, 279.777, 1892.81, 0.7, 300
1, 11, 86020.5, 310.224, 389.49, 47.2274, 288.793, 1943.8, 0.866667, 300
