Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86669.4, 273.317, 380.85, 132.509, 61.67, 1482.3, 0.6568, 500
1, 86597.9, 290.07, 368.851, 107.303, 112.465, 1523.37, 0.6884, 500
2, 86531.8, 298.242, 358.734, 87.0125, 158.842, 1565.41, 0.7106, 500
3, 86469.8, 300.506, 349.364, 74.3119, 197.376, 1608.6, 0.765, 500
4, 86411, 299.209, 341.741, 63.9242, 231.128, 1652.96, 0.7196, 500
5, 86354.8, 295.634, 333.04, 57.4008, 260.709, 1698.44, 0.7826, 500
6, 86300.7, 290.626, 326.32, 52.2187, 285.227, 1744.95, 0.7436, 500
7, 86248.2, 284.938, 318.299, 48.6164, 307.563, 1792.37, 0.779, 500
8, 86197.4, 278.746, 310.575, 44.96, 327.754, 1840.54, 0.7678, 500
9, 86148.2, 272.188, 303.455, 42.5034, 344.273, 1889.35, 0.765, 500
10, 86100.4, 265.589, 295.656, 39.9687, 359.742, 1938.65, 0.787, 500
11, 86054, 258.855, 286.98, 38.5891, 373.247, 1988.32, 0.7926, 500
12, 86009, 252.054, 279.151, 37.254, 384.266, 2038.24, 0.779, 500
13, 85965.4, 245.325, 271.63, 35.6863, 393.718, 2088.28, 0.768, 500
14, 85923, 238.665, 263.403, 34.4868, 402.136, 2138.36, 0.779, 500
15, 85881.9, 232.016, 254.892, 33.2733, 409.592, 2188.36, 0.7926, 500
16, 85842.1, 225.336, 246.567, 32.4876, 415.265, 2238.2, 0.8196, 500
17, 85803.7, 218.719, 238.522, 30.8173, 420.453, 2287.79, 0.791, 500
18, 85766.6, 212.07, 230.536, 29.9092, 423.821, 2337.06, 0.8064, 500
19, 85730.7, 205.51, 222.619, 28.047, 427.138, 2385.94, 0.8016, 500
20, 85696.3, 198.901, 215.459, 27.5643, 427.468, 2434.36, 0.7904, 500
21, 85662.8, 192.549, 208.115, 26.8895, 427.375, 2482.25, 0.7764, 500
22, 85630.5, 186.352, 200.437, 26.1217, 427.018, 2529.56, 0.7962, 500
23, 85599.4, 180.221, 192.559, 25.517, 426.087, 2576.24, 0.7952, 500
24, 85569.4, 174.139, 185.026, 24.0076, 425.162, 2622.26, 0.824, 500
25, 85540.7, 168.021, 179.079, 23.1511, 421.493, 2667.56, 0.7552, 500
26, 85512.9, 162.183, 171.931, 22.3287, 418.517, 2712.11, 0.8302, 500
27, 85486.3, 156.409, 165.895, 21.1048, 414.443, 2755.88, 0.7808, 500
28, 85460.6, 150.786, 159.003, 20.6819, 410.08, 2798.84, 0.8012, 500
29, 85436, 145.276, 153.126, 19.7218, 404.948, 2840.96, 0.7918, 500
