Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
0, 1, 86669.4, 273.317, 386.52, 112.509, 76, 1482.3, 0.64, 500
0, 2, 86599.9, 288.077, 371.176, 85.8714, 131.571, 1523.37, 0.72, 500
0, 3, 86536.4, 293.993, 355.994, 79.0223, 169.173, 1565.41, 0.88, 500
0, 4, 86476, 295.619, 344.725, 70.0174, 205.09, 1608.57, 0.88, 500
0, 5, 86418.4, 294.064, 346.489, 52.7534, 235.44, 1652.84, 0.44, 500
0, 6, 86363, 290.631, 339.908, 50.6291, 257.623, 1698.18, 0.74, 500
0, 7, 86308.9, 286.643, 352.318, 40.4506, 267.222, 1744.47, 0.24, 500
0, 8, 86254.5, 283.728, 343.282, 34.7599, 292.134, 1791.62, 0.78, 500
0, 9, 86202.1, 279.322, 334.484, 31.3007, 313.268, 1839.49, 0.66, 500
0, 10, 86151.5, 274.07, 317.697, 35.8243, 332.891, 1887.99, 0.92, 500
0, 11, 86102.6, 268.143, 300.374, 34.7096, 357.113, 1937.02, 0.92, 500
0, 12, 86056.3, 260.825, 302.459, 32.3189, 361.605, 1986.46, 0.76, 500
0, 13, 86010.1, 254.904, 290.37, 24.6599, 383.776, 2036.2, 0.74, 500
0, 14, 85966.6, 247.415, 280.316, 26.1927, 393.364, 2086.12, 0.74, 500
0, 15, 85924.3, 240.227, 281.932, 25.1667, 392.266, 2136.11, 0.56, 500
0, 16, 85881.9, 234.536, 268.425, 27.7827, 401.247, 2186.06, 0.94, 500
0, 17, 85841.1, 228.462, 257.087, 32.8704, 404.587, 2235.88, 0.96, 500
0, 18, 85801.2, 222.722, 250.709, 26.2302, 413.688, 2285.49, 0.88, 500
0, 19, 85763, 216.318, 245.982, 24.72, 415.139, 2334.82, 0.76, 500
0, 20, 85725.8, 210.32, 231.696, 20.9334, 427.486, 2383.81, 0.92, 500
0, 21, 85691, 203.018, 227.591, 23.0573, 422.951, 2432.39, 0.66, 500
0, 22, 85656.5, 196.89, 217.757, 26.5915, 421.74, 2480.51, 0.88, 500
0, 23, 85622.9, 191.108, 212.768, 26.5055, 418.616, 2528.08, 0.6, 500
0, 24, 85590, 185.771, 215.325, 22.0787, 411.715, 2575.08, 0.36, 500
0, 25, 85557.4, 181.232, 213.953, 17.6479, 408.307, 2621.44, 0.74, 500
0, 26, 85525.6, 176.792, 202.043, 17.2613, 411.142, 2667.15, 0.9, 500
0, 27, 85495.5, 171.54, 198.362, 14.6358, 407.775, 2712.18, 0.66, 500
0, 28, 85466.3, 166.462, 192.209, 14.8828, 403.648, 2756.52, 0.66, 500
0, 29, 85437.9, 161.579, 184.785, 17.8075, 397.816, 2800.15, 0.98, 500
0, 30, 85410.1, 157.047, 173.207, 16.2303, 400.4, 2843.03, 0.94, 500
1, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
1, 1, 86669.4, 273.317, 382.52, 126.509, 66, 1482.3, 0.44, 500
1, 2, 86598.5, 289.468, 368.462, 111.871, 108.286, 1523.37, 0.9, 500
1, 3, 86531.8, 298.342, 363.669, 80.2486, 160.551, 1565.41, 0.72, 500
1, 4, 86470.1, 300.331, 350.46, 67.4171, 203.083, 1608.59, 0.78, 500
1, 5, 86412.1, 298.265, 352.474, 58.6215, 225.577, 1652.94, 0.36, 500
1, 6, 86355.1, 295.632, 342.054, 54.3301, 254.465, 1698.42, 0.8, 500
1, 7, 86300.2, 291.449, 325.01, 46.1873, 292.288, 1744.91, 0.82, 500
1, 8, 86248.7, 284.579, 328.598, 42.3752, 303.411, 1792.3, 0.58, 500
1, 9, 86197.4, 279.021, 318.968, 43.4231, 320.739, 1840.47, 0.86, 500
1, 10, 86147.2, 273.357, 300.247, 40.0627, 349.829, 1889.27, 0.88, 500
1, 11, 86100.2, 265.743, 301.071, 40.6025, 353.841, 1938.56, 0.5, 500
1, 12, 86053, 259.814, 305.77, 38.6469, 354.567, 1988.24, 0.32, 500
1, 13, 86005.4, 255.425, 290.303, 36.4753, 374.24, 2038.17, 0.9, 500
1, 14, 85960.3, 249.452, 282.327, 31.1954, 388.509, 2088.24, 0.82, 500
1, 15, 85917, 242.82, 275.084, 28.9342, 397.758, 2138.39, 0.7, 500
1, 16, 85875.1, 236.183, 280.43, 28.4367, 391.347, 2188.51, 0.3, 500
