S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
48690.7, 153.549, 225.135, 72.915, 25, 832.75, 298.05, 0, 50000, 2, 0.00637, 280
48649.2, 164.303, 225.551, 54.9197, 50.2143, 855.825, 280.47, 0, 50000, 2, 0.00637, 280
48610.2, 170.427, 219.442, 35.855, 84.6276, 879.445, 255.297, 0, 50000, 2, 0.00637, 280
48574.7, 171.799, 217.628, 32.5196, 99.5827, 903.726, 250.147, 0, 50000, 2, 0.00637, 280
48540, 172.156, 222.135, 28.5047, 108.47, 928.706, 250.639, 0, 50000, 2, 0.00637, 280
48505.3, 172.485, 221.37, 24.798, 121.722, 954.357, 246.168, 0, 50000, 2, 0.00637, 280
48471.2, 172.103, 209.705, 20.3758, 146.027, 980.635, 230.081, 0, 50000, 2, 0.00637, 280
48439.3, 169.546, 216.821, 22.2466, 144.597, 1007.5, 239.068, 0, 50000, 2, 0.00637, 280
48406.2, 168.724, 220.07, 19.8303, 150.269, 1034.9, 239.901, 0, 50000, 2, 0.00637, 280
48373, 168.158, 220.972, 21.5373, 153.535, 1062.77, 242.509, 0, 50000, 2, 0.00637, 280
48339.5, 168.043, 213.731, 18.0884, 169.568, 1091.06, 231.819, 0, 50000, 2, 0.00637, 280
48307.5, 166.452, 203.99, 15.8789, 186.456, 1119.73, 219.869, 0, 50000, 2, 0.00637, 280
48277.1, 163.508, 208.723, 18.7318, 183.138, 1148.76, 227.455, 0, 50000, 2, 0.00637, 280
48245.8, 162.18, 213.705, 17.2043, 183.057, 1178.08, 230.909, 0, 50000, 2, 0.00637, 280
48213.9, 161.574, 206.146, 20.7063, 189.981, 1207.65, 226.852, 0, 50000, 2, 0.00637, 280
48182.7, 160.509, 207.041, 23.9217, 188.411, 1237.43, 230.963, 0, 50000, 2, 0.00637, 280
48150.9, 160.203, 204.724, 21.8435, 194.953, 1267.38, 226.567, 0, 50000, 2, 0.00637, 280
48119.7, 159.332, 209.529, 21.8954, 192.028, 1297.49, 231.425, 0, 50000, 2, 0.00637, 280
48087.9, 159.283, 214.869, 23.8914, 186.312, 1327.74, 238.761, 0, 50000, 2, 0.00637, 280
48055.1, 160.231, 199.821, 19.7418, 207.004, 1358.1, 219.563, 0, 50000, 2, 0.00637, 280
48025, 158.331, 200.98, 17.9455, 209.218, 1388.57, 218.926, 0, 50000, 2, 0.00637, 280
47994.9, 156.704, 195.791, 19.1635, 214.274, 1419.15, 214.954, 0, 50000, 2, 0.00637, 280
47965.4, 154.84, 186.744, 22.197, 220.968, 1449.81, 208.941, 0, 50000, 2, 0.00637, 280
47936.8, 152.506, 190.083, 23.9018, 216.185, 1480.52, 213.985, 0, 50000, 2, 0.00637, 280
47907.5, 151.313, 184.857, 25.3449, 219.743, 1511.24, 210.201, 0, 50000, 2, 0.00637, 280
47878.7, 149.822, 182.836, 26.6133, 220.047, 1541.95, 209.45, 0, 50000, 2, 0.00637, 280
47850.1, 148.51, 189.752, 21.7017, 217.33, 1572.63, 211.453, 0, 50000, 2, 0.00637, 280
47821.2, 147.716, 190.989, 20.0622, 216.806, 1603.26, 211.051, 0, 50000, 2, 0.00637, 280
47792.3, 147.01, 186.028, 16.4921, 224.32, 1633.82, 202.52, 0, 50000, 2, 0.00637, 280
47764.7, 145.262, 180.321, 13.1347, 232.297, 1664.31, 193.456, 0, 50000, 2, 0.00637, 280
48690.7, 153.549, 207.135, 79.915, 36, 832.75, 287.05, 1, 50000, 2, 0.00637, 280
48650.7, 162.772, 201.836, 62.4197, 66.4286, 855.825, 264.256, 1, 50000, 2, 0.00637, 280
48614, 166.95, 195.208, 58.7275, 85.6837, 879.445, 253.935, 1, 50000, 2, 0.00637, 280
48578.7, 168.831, 195.637, 40.5497, 112.563, 903.704, 236.187, 1, 50000, 2, 0.00637, 280
48545.9, 167.847, 195.3, 39.7831, 122.523, 928.615, 235.083, 1, 50000, 2, 0.00637, 280
48513.3, 166.884, 203.848, 33.0123, 128.772, 954.158, 236.86, 1, 50000, 2, 0.00637, 280
48480.5, 166.338, 203.651, 23.6673, 145.574, 980.274, 227.319, 1, 50000, 2, 0.00637, 280
48449, 164.558, 195.392, 26.9571, 157.175, 1006.91, 222.349, 1, 50000, 2, 0.00637, 280
48418.2, 162.425, 196.474, 25.905, 162.949, 1034.02, 222.379, 1, 50000, 2, 0.00637, 280
48387.5, 160.703, 200.179, 25.8002, 164.309, 1061.54, 225.979, 1, 50000, 2, 0.00637, 280
48356.2, 159.804, 205.379, 22.5995, 166.573, 1089.42, 227.979, 1, 50000, 2, 0.00637, 280
