Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 97381.3, 307.098, 426.24, 148.06, 71.8, 1665.5, 0.68877, 561
1, 97301.4, 325.573, 410.338, 119.8, 131.231, 1711.65, 0.760143, 561
2, 97227.7, 334.148, 397.308, 98.9273, 183.008, 1758.89, 0.780107, 561
3, 97158.8, 336.244, 385.16, 86.04, 226.356, 1807.41, 0.829519, 561
4, 97093.4, 334.397, 374.143, 76.5989, 264.238, 1857.23, 0.838503, 561
5, 97030.9, 330.038, 362.994, 69.3714, 298.423, 1908.3, 0.844991, 561
6, 96970.9, 323.962, 352.671, 62.5386, 329.387, 1960.5, 0.841497, 561
7, 96913.4, 316.689, 342.925, 58.4693, 354.81, 2013.69, 0.848984, 561
8, 96857.8, 308.923, 332.907, 53.7042, 378.916, 2067.7, 0.839501, 561
9, 96804.4, 300.633, 322.787, 50.3936, 399.451, 2122.38, 0.861961, 561
10, 96752.7, 292.114, 312.559, 48.002, 417.009, 2177.57, 0.855472, 561
11, 96702.9, 283.527, 302.71, 45.9302, 431.812, 2233.11, 0.863458, 561
12, 96654.7, 274.985, 292.191, 43.6111, 445.609, 2288.86, 0.868449, 561
13, 96608.4, 266.355, 282.318, 42.0351, 456.239, 2344.67, 0.859964, 561
14, 96563.6, 257.848, 271.482, 40.9839, 465.641, 2400.43, 0.885419, 561
15, 96520.5, 249.383, 261.87, 38.7874, 473.441, 2456.01, 0.858966, 561
16, 96479.1, 240.962, 251.848, 37.5398, 479.294, 2511.3, 0.879929, 561
17, 96439.2, 232.655, 242.134, 35.1861, 484.648, 2566.21, 0.872941, 561
18, 96401, 224.33, 233.44, 33.5021, 487.131, 2620.63, 0.86246, 561
19, 96364.2, 216.226, 224.742, 32.5089, 487.826, 2674.5, 0.875936, 561
20, 96328.8, 208.394, 216.091, 30.9304, 488.081, 2727.72, 0.870446, 561
21, 96294.8, 200.708, 207.181, 29.6748, 487.418, 2780.22, 0.868948, 561
22, 96262.2, 193.149, 199.201, 28.3577, 485.122, 2831.96, 0.864456, 561
23, 96230.9, 185.812, 191.234, 26.8611, 482.311, 2882.86, 0.871444, 561
24, 96200.9, 178.631, 182.578, 24.9811, 479.98, 2932.89, 0.887415, 561
25, 96172.4, 171.43, 174.235, 23.6947, 476.226, 2982, 0.866453, 561
26, 96145.2, 164.337, 166.55, 22.808, 470.93, 3030.16, 0.866453, 561
27, 96119.2, 157.477, 159.42, 21.469, 465.102, 3077.32, 0.86795, 561
28, 96094.4, 150.82, 152.2, 20.8541, 458.29, 3123.46, 0.854474, 561
29, 96070.6, 144.412, 145.013, 20.0437, 451.355, 3168.56, 0.880428, 561
