Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 170572, 477.75, 780.325, 334.425, 0, 2835, 1, 0
0, 1, 170417, 537.421, 747.472, 258.203, 125, 2914.62, 0.648676, 982
0, 2, 170277, 569.842, 706.321, 245.005, 206.071, 2995.39, 0.997963, 982
0, 3, 170145, 588.11, 680.647, 218.695, 289.352, 3078.06, 0.848269, 982
0, 4, 170020, 595.401, 654.365, 217.36, 349.684, 3162.97, 0.948065, 982
0, 5, 169899, 597.309, 653.981, 167.559, 431.707, 3250.21, 0.54888, 982
0, 6, 169785, 591.79, 649.891, 142.429, 490.87, 3339.73, 0.698574, 982
0, 7, 169675, 583.247, 650.321, 109.763, 549.808, 3431.38, 0.598778, 982
0, 8, 169570, 571.877, 627.524, 86.9174, 618.536, 3524.95, 0.848269, 982
0, 9, 169471, 556.398, 608.764, 75.0217, 668.355, 3620.16, 0.848269, 982
0, 10, 169377, 539.716, 584.176, 79.0469, 703.615, 3716.74, 0.898167, 982
0, 11, 169285, 523.475, 570.01, 65.7836, 741.357, 3814.37, 0.798371, 982
0, 12, 169197, 506.641, 550.581, 57.4933, 775.403, 3912.74, 0.898167, 982
0, 13, 169113, 489.3, 544.184, 48.7851, 793.017, 4011.56, 0.848269, 982
0, 14, 169031, 473.3, 514.815, 60.6584, 809.373, 4110.56, 0.898167, 982
0, 15, 168952, 458.047, 498.305, 55.7237, 826.561, 4209.48, 0.898167, 982
0, 16, 168875, 442.849, 473.838, 51.2263, 848.521, 4308.09, 0.848269, 982
0, 17, 168803, 426.663, 445.992, 67.1382, 850.912, 4406.2, 0.997963, 982
0, 18, 168732, 412.039, 437.868, 62.9424, 851.133, 4503.63, 0.898167, 982
0, 19, 168663, 398.613, 422.277, 50.1689, 865.337, 4600.2, 0.848269, 982
0, 20, 168598, 383.939, 405.92, 65.5022, 850.528, 4695.76, 0.997963, 982
0, 21, 168533, 372.034, 385.678, 63.8598, 854.776, 4790.18, 0.948065, 982
0, 22, 168472, 359.474, 361.214, 58.6204, 865.72, 4883.35, 0.898167, 982
0, 23, 168414, 345.318, 344.739, 48.0017, 872.883, 4975.17, 0.898167, 982
0, 24, 168360, 330.249, 327.459, 43.2921, 873.534, 5065.58, 0.898167, 982
0, 25, 168309, 315.154, 318.304, 46.0147, 857.139, 5154.45, 0.798371, 982
0, 26, 168259, 302.179, 301.69, 43.6371, 851.915, 5241.7, 0.848269, 982
0, 27, 168211, 289.175, 300.446, 33.6509, 838.064, 5327.22, 0.648676, 982
0, 28, 168166, 277.217, 273.47, 44.5978, 828.202, 5410.94, 0.997963, 982
0, 29, 168122, 265.437, 262.746, 43.0452, 814.045, 5492.82, 0.898167, 982
0, 30, 168080, 254.317, 250.14, 38.8968, 803.899, 5572.81, 0.898167, 982
1, 0, 170572, 477.75, 780.325, 334.425, 0, 2835, 1, 0
1, 1, 170417, 537.421, 744.472, 276.203, 110, 2914.62, 0.848269, 982
1, 2, 170275, 571.929, 725.535, 214.719, 217.143, 2995.39, 0.648676, 982
1, 3, 170145, 588.239, 716.781, 151.698, 320.633, 3078.06, 0.648676, 982
1, 4, 170024, 591.217, 694.936, 145.156, 381.73, 3163, 0.848269, 982
1, 5, 169907, 589.574, 661.068, 153.261, 438.464, 3250.27, 0.997963, 982
1, 6, 169794, 584.607, 636.389, 148.688, 496.145, 3339.75, 0.898167, 982
1, 7, 169686, 576.503, 620.778, 109.144, 576.706, 3431.27, 0.798371, 982
1, 8, 169584, 562.311, 598.147, 95.9384, 634.513, 3524.6, 0.898167, 982
1, 9, 169488, 545.935, 585.146, 87.8243, 673.19, 3619.5, 0.798371, 982
1, 10, 169395, 529.859, 563.78, 106.307, 689.105, 3715.65, 0.997963, 982
1, 11, 169303, 516.548, 552.691, 95.5054, 719.884, 3812.74, 0.898167, 982
1, 12, 169213, 502.823, 522.529, 107.676, 743.463, 3910.46, 0.997963, 982
1, 13, 169126, 489.311, 514.601, 83.1547, 778.359, 4008.58, 0.798371, 982
1, 14, 169043, 473.976, 498.347, 80.5737, 796.762, 4106.87, 0.798371, 982
1, 15, 168964, 459.069, 477.108, 84.257, 810.85, 4205.14, 0.948065, 982
1, 16, 168886, 444.684, 447.298, 99.7828, 818.932, 4303.15, 0.997963, 982
1, 17, 168811, 431.171, 436.604, 77.3365, 843.437, 4400.72, 0.848269, 982
1, 18, 168740, 415.76, 413.782, 63.6827, 869.192, 4497.68, 0.898167, 982
1, 19, 168674, 398.378, 397.433, 64.0795, 872.107, 4593.87, 0.848269, 982
1, 20, 168611, 382.249, 387.818, 55.4051, 874.813, 4689.13, 0.748473, 982
1, 21, 168550, 366.805, 377.631, 43.3825, 879.327, 4783.27, 0.848269, 982
1, 22, 168492, 351.372, 358.01, 42.2921, 880.518, 4876.15, 0.948065, 982
1, 23, 168437, 336.157, 338.63, 39.3535, 881.623, 4967.64, 0.798371, 982
1, 24, 168385, 320.898, 322.504, 43.712, 870.65, 5057.61, 0.948065, 982
1, 25, 168334, 307.057, 307.394, 42.8436, 862.461, 5145.96, 0.848269, 982
1, 26, 168286, 293.774, 294.425, 50.2067, 842.857, 5232.58, 0.997963, 982
1, 27, 168239, 282.363, 284.523, 44.247, 832.653, 5317.4, 0.848269, 982
1, 28, 168194, 271.043, 270.731, 41.0283, 823.177, 5400.36, 0.948065, 982
1, 29, 168151, 259.64, 265.339, 35.3603, 807.379, 5481.43, 0.948065, 982
1, 30, 168110, 248.987, 245.736, 30.4129, 804.709, 5560.58, 0.898167, 982
2, 0, 170572, 477.75, 780.325, 334.425, 0, 2835, 1, 0
2, 1, 170417, 537.421, 757.472, 236.203, 137, 2914.62, 0.54888, 982
2, 2, 170279, 568.173, 740.606, 161.576, 255.214, 2995.39, 0.648676, 982
2, 3, 170154, 579.945, 711.25, 118.125, 358.985, 3078.06, 0.748473, 982
2, 4, 170038, 579.157, 675.639, 126.485, 417.343, 3162.94, 0.948065, 982
2, 5, 169927, 574.666, 642.461, 129.199, 476.533, 3250.05, 0.948065, 982
2, 6, 169820, 566.774, 643.024, 94.4508, 536.495, 3339.2, 0.698574, 982
2, 7, 169718, 555.654, 615.442, 91.7107, 589.174, 3430.2, 0.898167, 982
2, 8, 169620, 542.496, 597.273, 80.4992, 637.09, 3522.8, 0.798371, 982
2, 9, 169526, 527.845, 571.561, 95.299, 662.583, 3616.71, 0.997963, 982
2, 10, 169434, 514.562, 547.633, 90.1627, 702.256, 3711.67, 0.898167, 982
2, 11, 169345, 499.865, 527.555, 87.5962, 732.095, 3807.39, 0.698574, 982
2, 12, 169260, 484.931, 505.854, 76.3312, 768.802, 3903.62, 0.898167, 982
2, 13, 169180, 468.386, 497.612, 67.9748, 785.888, 4000.12, 0.748473, 982
2, 14, 169102, 452.82, 477.642, 77.2227, 793.753, 4096.66, 0.997963, 982
2, 15, 169025, 438.851, 451.92, 75.876, 815.056, 4192.99, 0.948065, 982
2, 16, 168952, 423.906, 436.079, 61.7873, 836.838, 4288.91, 0.848269, 982
2, 17, 168884, 407.791, 426.277, 59.8083, 838.064, 4384.24, 0.848269, 982
2, 18, 168817, 393.246, 401.919, 60.0037, 849.202, 4478.82, 0.948065, 982
2, 19, 168753, 378.254, 389.265, 53.3125, 853.545, 4572.47, 0.848269, 982
2, 20, 168692, 363.572, 366.416, 71.1997, 841.577, 4665.06, 0.997963, 982
