S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
48690.7, 153.549, 219.135, 78.915, 25, 832.75, 298.05, 0, 50000, 2, 0.00637, 200
48649.2, 164.303, 217.979, 62.4911, 50.2143, 855.825, 280.47, 0, 50000, 2, 0.00637, 200
48610.2, 170.427, 220.412, 44.8857, 74.6276, 879.445, 265.297, 0, 50000, 2, 0.00637, 200
48573.4, 173.188, 221.528, 34.9051, 93.297, 903.726, 256.433, 0, 50000, 2, 0.00637, 200
48537.8, 174.138, 221.951, 28.8032, 108.633, 928.706, 250.754, 0, 50000, 2, 0.00637, 200
48503, 174.085, 222.476, 24.1941, 121.873, 954.377, 246.671, 0, 50000, 2, 0.00637, 200
48468.8, 173.452, 221.957, 21.911, 133.168, 980.701, 243.868, 0, 50000, 2, 0.00637, 200
48435, 172.533, 223.386, 22.7531, 138.656, 1007.63, 246.139, 0, 50000, 2, 0.00637, 200
48401, 172.088, 223.585, 20.4798, 147.752, 1035.12, 244.064, 0, 50000, 2, 0.00637, 200
48367.2, 171.422, 224.707, 20.3423, 153.198, 1063.1, 245.049, 0, 50000, 2, 0.00637, 200
48333.4, 171.001, 224.655, 20.1746, 159.256, 1091.55, 244.83, 0, 50000, 2, 0.00637, 200
48299.6, 170.611, 226.549, 19.9936, 162.88, 1120.41, 246.542, 0, 50000, 2, 0.00637, 200
48265.5, 170.511, 227.252, 22.8021, 164.246, 1149.66, 250.054, 0, 50000, 2, 0.00637, 200
48231, 170.892, 227.891, 22.4041, 168.514, 1179.25, 250.296, 0, 50000, 2, 0.00637, 200
48196.6, 171.205, 226.538, 20.0573, 176.477, 1209.17, 246.596, 0, 50000, 2, 0.00637, 200
48162.6, 170.921, 226.326, 18.897, 181.872, 1239.39, 245.223, 0, 50000, 2, 0.00637, 200
48128.9, 170.482, 227.089, 24.8024, 178.881, 1269.89, 251.891, 0, 50000, 2, 0.00637, 200
48094.2, 171.023, 228.735, 24.2597, 181.104, 1300.66, 252.995, 0, 50000, 2, 0.00637, 200
48059.5, 171.583, 228.34, 21.7883, 187.168, 1331.67, 250.129, 0, 50000, 2, 0.00637, 200
48025.1, 171.612, 233.052, 21.5269, 185.799, 1362.9, 254.579, 0, 50000, 2, 0.00637, 200
47990.2, 172.222, 234.431, 23.286, 185.527, 1394.36, 257.717, 0, 50000, 2, 0.00637, 200
47954.8, 173.114, 231.797, 27.9561, 186.275, 1426.02, 259.753, 0, 50000, 2, 0.00637, 200
47919.2, 174.081, 231.476, 23.346, 193.97, 1457.88, 254.822, 0, 50000, 2, 0.00637, 200
47884.4, 174.153, 230.313, 17.1233, 204.115, 1489.94, 247.437, 0, 50000, 2, 0.00637, 200
47850.5, 173.175, 228.244, 15.3494, 210.535, 1522.19, 243.593, 0, 50000, 2, 0.00637, 200
47817.2, 171.843, 229.185, 22.6435, 204.497, 1554.63, 251.829, 0, 50000, 2, 0.00637, 200
47782.8, 171.879, 231.873, 22.3367, 203.89, 1587.22, 254.21, 0, 50000, 2, 0.00637, 200
47748.1, 172.209, 232.374, 23.054, 204.327, 1619.94, 255.428, 0, 50000, 2, 0.00637, 200
47713.2, 172.613, 233.885, 16.7398, 210.732, 1652.78, 250.625, 0, 50000, 2, 0.00637, 200
47679.1, 172.257, 234.345, 16.9009, 211.68, 1685.74, 251.246, 0, 50000, 2, 0.00637, 200
