S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
48690.7, 153.549, 212.135, 89.915, 21, 832.75, 302.05, 0, 50000, 2, 0.00637, 200
48648.6, 164.859, 216.479, 68.7054, 45.5, 855.825, 285.185, 0, 50000, 2, 0.00637, 200
48609, 171.527, 214.097, 53.6894, 72.25, 879.445, 267.786, 0, 50000, 2, 0.00637, 200
48571.8, 174.412, 218.818, 36.1461, 95.0893, 903.734, 254.964, 0, 50000, 2, 0.00637, 200
48536.4, 174.913, 221.606, 32.029, 106.297, 928.737, 253.635, 0, 50000, 2, 0.00637, 200
48501.2, 175.103, 221.265, 27.236, 120.705, 954.447, 248.501, 0, 50000, 2, 0.00637, 200
48466.8, 174.519, 221.974, 25.7967, 130.083, 980.819, 247.771, 0, 50000, 2, 0.00637, 200
48432.5, 173.925, 221.552, 26.4252, 137.791, 1007.81, 247.977, 0, 50000, 2, 0.00637, 200
48398.2, 173.455, 219.076, 23.9732, 149.949, 1035.36, 243.049, 0, 50000, 2, 0.00637, 200
48364.6, 172.373, 215.712, 22.6682, 161.238, 1063.43, 238.38, 0, 50000, 2, 0.00637, 200
48331.6, 170.839, 218.436, 24.3914, 162.721, 1091.98, 242.827, 0, 50000, 2, 0.00637, 200
48298.1, 170.203, 218.751, 21.8995, 170.098, 1120.95, 240.65, 0, 50000, 2, 0.00637, 200
48264.9, 169.371, 213.954, 24.5474, 176.948, 1150.29, 238.502, 0, 50000, 2, 0.00637, 200
48232, 168.386, 207.384, 27.9563, 184.309, 1179.96, 235.34, 0, 50000, 2, 0.00637, 200
48199.6, 167.14, 205.145, 23.0626, 195.144, 1209.94, 228.207, 0, 50000, 2, 0.00637, 200
48168.1, 165.139, 213.891, 23.4436, 189.205, 1240.17, 237.335, 0, 50000, 2, 0.00637, 200
48135.5, 164.774, 208.733, 22.6775, 197.691, 1270.64, 231.41, 0, 50000, 2, 0.00637, 200
48103.7, 163.645, 214.891, 24.9441, 191.57, 1301.29, 239.835, 0, 50000, 2, 0.00637, 200
48070.7, 163.879, 218.452, 25.9811, 188.886, 1332.11, 244.433, 0, 50000, 2, 0.00637, 200
48037.1, 164.675, 221.792, 22.958, 190.395, 1363.06, 244.75, 0, 50000, 2, 0.00637, 200
48003.5, 165.331, 219.004, 22.1986, 195.795, 1394.14, 241.202, 0, 50000, 2, 0.00637, 200
47970.4, 165.347, 216.507, 19.5329, 202.81, 1425.35, 236.04, 0, 50000, 2, 0.00637, 200
47938.1, 164.629, 219.191, 21.0585, 200.323, 1456.7, 240.249, 0, 50000, 2, 0.00637, 200
