Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 194763, 614.195, 877.19, 298.71, 116.3, 3331, 0.5185, 800
1, 194599, 654.943, 866.531, 242.525, 213.683, 3423.3, 0.6255, 800
2, 194445, 678.112, 856.678, 204.779, 297.79, 3517.78, 0.694, 800
3, 194297, 689.915, 847.552, 183.398, 366.829, 3614.87, 0.7585, 800
4, 194154, 695.011, 840.331, 167.073, 428.517, 3714.71, 0.773, 800
5, 194015, 695.717, 832.819, 156.43, 483.109, 3817.28, 0.798, 800
6, 193878, 693.666, 825.572, 147.69, 533.071, 3922.45, 0.807, 800
7, 193743, 689.714, 817.316, 141.36, 578.794, 4030.04, 0.8095, 800
8, 193610, 684.44, 810.716, 134.306, 620.572, 4139.86, 0.8, 800
9, 193479, 678.242, 803.229, 127.489, 659.935, 4251.69, 0.8155, 800
10, 193351, 671.218, 795.25, 123.367, 694.067, 4365.31, 0.813, 800
11, 193224, 663.842, 787.507, 119.908, 724.321, 4480.5, 0.8115, 800
12, 193099, 656.312, 779.724, 116.384, 751.844, 4597.05, 0.81, 800
13, 192975, 648.648, 771.083, 115.89, 774.531, 4714.76, 0.8325, 800
14, 192853, 641.178, 760.517, 114.841, 797.197, 4833.44, 0.845, 800
15, 192732, 633.524, 751.209, 113.588, 816.524, 4952.91, 0.833, 800
16, 192613, 625.872, 742.364, 110.426, 835.141, 5073, 0.8145, 800
17, 192496, 618.025, 732.97, 106.471, 853.098, 5193.57, 0.8215, 800
18, 192380, 609.84, 722.689, 106.848, 865.713, 5314.47, 0.843, 800
19, 192266, 601.862, 712.666, 105.436, 878.026, 5435.55, 0.834, 800
20, 192154, 593.842, 702.452, 105.157, 887.74, 5556.71, 0.8455, 800
21, 192043, 585.919, 693.495, 101.026, 898.5, 5677.8, 0.8195, 800
22, 191934, 577.722, 684.188, 98.1149, 906.971, 5798.73, 0.825, 800
23, 191827, 569.428, 673.258, 96.66, 914.238, 5919.4, 0.8335, 800
24, 191722, 561.035, 663.308, 96.2113, 918.225, 6039.69, 0.839, 800
25, 191618, 552.839, 653.074, 94.6212, 922.417, 6159.53, 0.8345, 800
26, 191515, 544.607, 643.583, 92.7729, 925.031, 6278.83, 0.841, 800
27, 191414, 536.416, 631.638, 91.7027, 928.297, 6397.5, 0.8515, 800
28, 191316, 528.03, 620.929, 89.8074, 930.21, 6515.47, 0.843, 800
29, 191218, 519.548, 609.981, 88.2744, 931.086, 6632.68, 0.852, 800
