Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 73102.5, 204.75, 334.425, 143.325, 0, 1215, 1, 0
0, 1, 73036, 230.323, 322.202, 117.373, 45, 1249.12, 0.6, 300
0, 2, 72974.8, 245.411, 320.433, 82.8081, 92.7857, 1283.74, 0.4, 300
0, 3, 72918.8, 252.379, 319.903, 68.6179, 121.158, 1319.17, 0.75, 300
0, 4, 72864.8, 255.866, 316.386, 63.8594, 143.504, 1355.57, 0.75, 300
0, 5, 72812, 257.467, 310.608, 68.6499, 158.254, 1392.98, 1, 300
0, 6, 72759.4, 258.573, 314.467, 56.1944, 179.95, 1431.38, 0.7, 300
0, 7, 72708.1, 258.228, 305.205, 62.6949, 195.096, 1470.71, 1, 300
0, 8, 72657.1, 257.533, 298.557, 64.7103, 211.161, 1510.92, 0.9, 300
0, 9, 72606.8, 256.301, 298.286, 57.5402, 229.078, 1551.95, 0.8, 300
0, 10, 72557.6, 254.251, 283.862, 61.8082, 248.715, 1593.73, 0.9, 300
0, 11, 72509.9, 251.174, 286.181, 48.6484, 267.95, 1636.19, 0.75, 300
0, 12, 72463.6, 247.184, 276.904, 50.2439, 282.811, 1679.24, 0.9, 300
0, 13, 72418.5, 242.902, 282.731, 39.4861, 293.61, 1722.81, 0.75, 300
0, 14, 72374, 238.768, 281.542, 34.2398, 304.638, 1766.8, 0.75, 300
0, 15, 72330.5, 234.547, 278.86, 35.1202, 309.878, 1811.11, 0.7, 300
0, 16, 72287.2, 230.895, 273.778, 28.6844, 323.744, 1855.68, 0.9, 300
0, 17, 72245.6, 226.362, 263.547, 36.4892, 327.619, 1900.4, 1, 300
0, 18, 72204.3, 222.378, 260.413, 34.4646, 333.218, 1945.24, 0.75, 300
0, 19, 72163.7, 218.457, 253.945, 38.3455, 335.417, 1990.1, 0.9, 300
0, 20, 72123.6, 214.943, 244.39, 46.714, 335.458, 2034.94, 1, 300
0, 21, 72083.6, 211.946, 244.026, 46.2738, 334.497, 2079.69, 0.7, 300
0, 22, 72043.7, 209.415, 244.268, 37.6853, 340.604, 2124.32, 0.8, 300
0, 23, 72005, 206.223, 242.138, 43.5584, 334.275, 2168.79, 0.95, 300
0, 24, 71965.8, 204.163, 235.714, 38.8205, 342.399, 2213.07, 0.75, 300
0, 25, 71928.2, 200.963, 230.46, 42.2974, 340.942, 2257.14, 0.9, 300
0, 26, 71890.8, 198.14, 222.133, 49.3339, 338.589, 2300.97, 1, 300
0, 27, 71853.7, 195.685, 222.006, 35.6984, 348.404, 2344.55, 0.65, 300
0, 28, 71818.4, 191.819, 220.545, 32.8896, 348.518, 2387.84, 0.75, 300
0, 29, 71783.7, 188.124, 209.646, 32.0495, 355.624, 2430.84, 0.85, 300
0, 30, 71750.7, 183.546, 212.009, 27.0477, 353.222, 2473.51, 0.8, 300
1, 0, 73102.5, 204.75, 334.425, 143.325, 0, 1215, 1, 0
1, 1, 73036, 230.323, 324.202, 116.373, 44, 1249.12, 0.65, 300
1, 2, 72974.7, 245.55, 322.29, 93.8796, 79.8571, 1283.74, 0.65, 300
1, 3, 72916.8, 254.287, 323.647, 76.9069, 109.153, 1319.17, 0.55, 300
1, 4, 72861.2, 259.062, 325.129, 60.6708, 138.356, 1355.58, 0.6, 300
1, 5, 72807.7, 260.792, 318.174, 64.8809, 155.474, 1393.02, 1, 300
1, 6, 72754.5, 261.757, 308.959, 65.8941, 177.369, 1431.48, 0.95, 300
1, 7, 72702.6, 261.352, 307.536, 57.8927, 199.699, 1470.93, 0.65, 300
1, 8, 72652, 259.687, 299.159, 56.4387, 221.435, 1511.29, 0.85, 300
1, 9, 72602.8, 256.959, 293.146, 49.9886, 244.618, 1552.51, 0.75, 300
1, 10, 72555.3, 253.019, 284.181, 58.8355, 254.146, 1594.49, 1, 300
