Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
0, 1, 86629.9, 312.787, 374.52, 137.509, 63, 1482.3, 0.74, 500
0, 2, 86523.1, 357.029, 368.559, 120.454, 107.5, 1523.37, 0.8, 500
0, 3, 86421.2, 387.495, 375.217, 91.2718, 158.821, 1565.98, 0.68, 500
0, 4, 86324.2, 407.062, 372.665, 90.002, 195.477, 1610.64, 0.94, 500
0, 5, 86228, 421.811, 378.035, 77.997, 236.514, 1657.65, 0.82, 500
0, 6, 86133.3, 432.127, 388.086, 62.7345, 276.621, 1707.12, 0.68, 500
0, 7, 86039.8, 439.194, 386.864, 78.1811, 296.862, 1759.08, 0.98, 500
0, 8, 85943.5, 447.693, 390.718, 81.9484, 322.657, 1813.5, 0.84, 500
0, 9, 85845.7, 455.962, 389.486, 74.9565, 363.611, 1870.31, 0.74, 500
0, 10, 85749.7, 460.766, 395.5, 84.9602, 379.638, 1929.46, 0.92, 500
0, 11, 85650.5, 467.808, 407.758, 67.5375, 415.521, 1990.89, 0.72, 500
0, 12, 85552.5, 472.263, 419.125, 61.7819, 439.841, 2054.52, 0.74, 500
0, 13, 85453.4, 476.87, 420.304, 73.7047, 455.424, 2120.29, 0.9, 500
0, 14, 85351.8, 483.136, 429.044, 79.0522, 468.894, 2188.11, 0.98, 500
0, 15, 85247.4, 490.924, 441.038, 71.3938, 491.401, 2257.89, 0.76, 500
0, 16, 85142.2, 497.916, 449.264, 59.7497, 521.301, 2329.59, 0.76, 500
0, 17, 85037.8, 502.679, 452.882, 57.3568, 546.065, 2403.19, 0.76, 500
0, 18, 84933.4, 506.613, 447.909, 75.4207, 558.061, 2478.64, 0.94, 500
0, 19, 84826.3, 512.308, 449.841, 76.4302, 579.199, 2555.88, 0.88, 500
0, 20, 84718.9, 517.33, 462.432, 66.7094, 599.828, 2634.84, 0.8, 500
0, 21, 84610.9, 521.798, 466.828, 72.9843, 611.983, 2715.48, 0.9, 500
0, 22, 84501, 527.408, 476.535, 71.079, 626.27, 2797.75, 0.7, 500
0, 23, 84389.5, 533.34, 481.334, 63.6464, 650.536, 2881.6, 0.76, 500
0, 24, 84278.8, 537.404, 491.62, 57.1006, 668.07, 2967, 0.74, 500
0, 25, 84167.5, 541.269, 495.741, 68.2662, 673.35, 3053.91, 0.88, 500
0, 26, 84053.2, 547.311, 501.109, 67.8662, 688.254, 3142.29, 0.82, 500
0, 27, 83938, 552.995, 510.939, 76.8573, 689.093, 3232.1, 0.86, 500
0, 28, 83819.2, 561.189, 521.862, 75.5472, 698.872, 3323.3, 0.82, 500
0, 29, 83698.7, 569.515, 525.153, 93.8223, 696.952, 3415.89, 1, 500
0, 30, 83573.9, 580.349, 531.374, 108.292, 696.17, 3509.89, 0.96, 500
1, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
1, 1, 86629.9, 312.787, 388.52, 116.509, 70, 1482.3, 0.56, 500
1, 2, 86524.6, 355.568, 382.559, 84.9539, 129, 1523.37, 0.68, 500
1, 3, 86427.2, 381.85, 384.013, 62.2199, 178.786, 1565.98, 0.7, 500
1, 4, 86334.3, 398.337, 383.042, 51.6866, 222.015, 1610.62, 0.72, 500
1, 5, 86243.9, 409.036, 382.449, 57.8949, 249.157, 1657.53, 0.94, 500
1, 6, 86152.5, 418.666, 389.397, 53.3017, 279.36, 1706.78, 0.86, 500
1, 7, 86060.7, 426.761, 386.196, 53.6144, 314.406, 1758.36, 0.8, 500
1, 8, 85969.5, 432.542, 378.357, 67.3905, 339.948, 1812.23, 1, 500
1, 9, 85877.3, 438.298, 383.887, 58.5293, 373.666, 1868.35, 0.76, 500
1, 10, 85785.8, 442.116, 390.829, 69.6466, 384.976, 1926.64, 0.96, 500
1, 11, 85690.7, 448.802, 395.808, 62.1988, 415.478, 1987.03, 0.8, 500
1, 12, 85596.2, 453.537, 397.369, 63.6841, 439.801, 2049.42, 0.8, 500
1, 13, 85501.2, 457.848, 400.48, 70.3475, 456.386, 2113.77, 0.94, 500
1, 14, 85404.2, 463.204, 398.973, 70.7936, 482.787, 2180, 0.82, 500
1, 15, 85307.6, 467.16, 411.324, 67.5291, 498.302, 2248.04, 0.74, 500
1, 16, 85209.3, 472.083, 409.346, 80.7352, 510.709, 2317.84, 1, 500
1, 17, 85108.7, 478.211, 417.199, 70.2934, 536.23, 2389.32, 0.78, 500
1, 18, 85008.9, 482.464, 420.348, 72.9651, 552.928, 2462.44, 0.88, 500
1, 19, 84907.9, 486.94, 429.868, 63.7011, 574.433, 2537.18, 0.7, 500
1, 20, 84807, 490.454, 435.335, 57.3674, 596.402, 2613.46, 0.82, 500
1, 21, 84706.4, 492.968, 436.903, 66.697, 605.802, 2691.25, 0.9, 500
1, 22, 84603.7, 497.083, 438.711, 78.5111, 611.53, 2770.5, 0.94, 500
1, 23, 84498.3, 503.025, 439.967, 83.7281, 623.85, 2851.12, 0.9, 500
1, 24, 84391.8, 508.964, 445.964, 79.929, 640.289, 2933.09, 0.74, 500
1, 25, 84284.9, 514.028, 455.364, 82.7576, 646.554, 3016.39, 0.84, 500
1, 26, 84175.7, 520.425, 468.802, 74.688, 659.372, 3101.01, 0.62, 500
1, 27, 84065.6, 526.489, 466.176, 80.5787, 674.274, 3186.93, 0.88, 500
1, 28, 83954.9, 531.857, 478.586, 79.4124, 681.111, 3274.14, 0.74, 500
1, 29, 83842.1, 538.279, 484.861, 72.6515, 699.46, 3362.65, 0.78, 500
1, 30, 83729.6, 543.166, 486.587, 83.7589, 704.499, 3452.44, 0.86, 500
2, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
2, 1, 86629.9, 312.787, 376.52, 141.509, 57, 1482.3, 0.8, 500
2, 2, 86521.8, 358.28, 371.416, 107.168, 117.929, 1523.37, 0.66, 500
2, 3, 86422.1, 386.322, 372.046, 80.0101, 173.505, 1565.98, 0.72, 500
2, 4, 86328.1, 403.121, 369.556, 71.4744, 217.112, 1610.66, 0.88, 500
2, 5, 86236.4, 414.166, 370.596, 65.5564, 255.604, 1657.67, 0.74, 500
2, 6, 86145.8, 421.892, 372.108, 67.7238, 285.346, 1707.08, 0.88, 500
2, 7, 86054.6, 428.741, 365.594, 82.1999, 309.965, 1758.88, 0.98, 500
2, 8, 85961.8, 435.773, 359.504, 91.0529, 338.824, 1813, 0.96, 500
2, 9, 85868.6, 441.87, 356.833, 94.6955, 368.623, 1869.39, 0.86, 500
2, 10, 85775.2, 446.848, 366.207, 75.4438, 408.292, 1927.97, 0.82, 500
2, 11, 85684, 448.689, 373.608, 66.8658, 438.129, 1988.68, 0.74, 500
2, 12, 85593.2, 449.822, 380.738, 73.011, 451.834, 2051.44, 0.9, 500
2, 13, 85499.6, 453.367, 391.518, 62.7853, 476.56, 2116.12, 0.68, 500
2, 14, 85406.1, 456.216, 398.024, 58.5027, 498.52, 2182.61, 0.84, 500
2, 15, 85312.2, 458.849, 409.464, 51.6968, 516.911, 2250.83, 0.82, 500
2, 16, 85217.5, 461.805, 413.455, 57.5352, 528.989, 2320.69, 0.8, 500
2, 17, 85120.9, 466.081, 414.575, 56.1338, 550.204, 2392.12, 0.74, 500
2, 18, 85024.4, 469.335, 414.214, 50.0891, 576.904, 2465.04, 0.82, 500
2, 19, 84929.4, 470.517, 418.334, 60.6714, 581.696, 2539.42, 0.92, 500
2, 20, 84831.4, 474.363, 431.326, 60.5688, 587.147, 2615.18, 0.8, 500
2, 21, 84730.9, 479.959, 436.928, 61.7042, 598.208, 2692.25, 0.78, 500
2, 22, 84629.2, 485.692, 437.913, 70.0943, 606.479, 2770.6, 0.96, 500
2, 23, 84525.7, 492.066, 437.63, 82.2291, 612.159, 2850.21, 0.94, 500
2, 24, 84419.9, 499.451, 439.26, 99.8796, 610.433, 2931.06, 1, 500
2, 25, 84310.3, 509.145, 447.808, 90.7124, 628.831, 3013.18, 0.74, 500
2, 26, 84201, 516.633, 459.102, 82.7817, 643.914, 3096.56, 0.76, 500
2, 27, 84091.2, 523.163, 463.637, 94.8667, 645.92, 3181.26, 0.98, 500
2, 28, 83978.1, 531.609, 466.763, 88.4802, 667.783, 3267.29, 0.72, 500
2, 29, 83865.8, 537.554, 471.848, 89.0568, 681.084, 3354.65, 0.88, 500
2, 30, 83752.5, 543.304, 483.402, 88.9488, 688.435, 3443.36, 0.76, 500
3, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
3, 1, 86629.9, 312.787, 385.52, 118.509, 71, 1482.3, 0.6, 500
3, 2, 86524.8, 355.36, 378.773, 95.811, 121.929, 1523.37, 0.66, 500
3, 3, 86425.9, 383.156, 373.469, 79.289, 172.219, 1565.98, 0.76, 500
3, 4, 86331.7, 400.738, 371.434, 76.6149, 208.918, 1610.62, 0.9, 500
3, 5, 86238.5, 413.723, 372.006, 80.1867, 237.995, 1657.54, 0.9, 500
3, 6, 86144.7, 424.87, 374.356, 68.2824, 280.996, 1706.84, 0.82, 500
3, 7, 86052.8, 431.704, 376.098, 71.8973, 308.925, 1758.53, 0.82, 500
3, 8, 85960, 438.183, 371.672, 74.664, 342.858, 1812.6, 0.88, 500
3, 9, 85867.6, 442.923, 375.47, 82.6219, 362.369, 1868.97, 1, 500
3, 10, 85772.9, 449.046, 383.66, 72.2957, 394.485, 1927.57, 0.82, 500
3, 11, 85678.8, 453.399, 390.122, 71.0745, 418.308, 1988.32, 0.88, 500
3, 12, 85583.6, 457.859, 385.732, 89.2017, 432.428, 2051.14, 1, 500
3, 13, 85485.8, 464.152, 391.28, 82.3017, 460.541, 2115.95, 0.8, 500
3, 14, 85388.3, 468.797, 406.313, 79.2722, 474.645, 2182.67, 0.74, 500
3, 15, 85288.5, 474.869, 411.922, 81.7377, 491.742, 2251.26, 0.76, 500
3, 16, 85187.1, 481.268, 419.981, 80.3914, 509.617, 2321.65, 0.86, 500
3, 17, 85084.5, 487.643, 426.359, 87.5252, 520.216, 2393.79, 0.94, 500
3, 18, 84979.2, 495.388, 435.175, 96.532, 526.058, 2467.65, 0.96, 500
3, 19, 84870.4, 505.1, 447.446, 84.3601, 549.482, 2543.21, 0.66, 500
3, 20, 84761.7, 512.751, 448.199, 100.64, 556.234, 2620.44, 0.98, 500
3, 21, 84649.7, 522.209, 460.97, 84.2169, 583.503, 2699.38, 0.66, 500
3, 22, 84538.6, 528.882, 466.153, 86.5339, 599.824, 2780, 0.86, 500
3, 23, 84426.1, 535.602, 467.9, 94.0858, 613.979, 2862.32, 0.88, 500
3, 24, 84311.9, 542.718, 461.463, 105.502, 632.124, 2946.32, 0.98, 500
3, 25, 84196.8, 549.267, 464.482, 108.529, 648.972, 3031.97, 0.9, 500
