Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86610.2, 332.523, 381.14, 128.719, 65.17, 1482.3, 0.6436, 500
1, 86486.1, 390.06, 375.169, 104.676, 120.615, 1523.37, 0.7384, 500
2, 86369.5, 428.621, 375.74, 91.4526, 168.39, 1566.26, 0.7814, 500
3, 86256.2, 456.243, 380.518, 84.0876, 211.302, 1611.66, 0.7986, 500
4, 86143.6, 477.565, 388.092, 79.3659, 251.419, 1659.94, 0.8074, 500
5, 86030.5, 495.165, 397.32, 77.1307, 288.59, 1711.28, 0.8176, 500
6, 85915.9, 510.787, 407.594, 76.6113, 323.367, 1765.79, 0.8116, 500
7, 85799, 525.486, 418.54, 78.1863, 355.319, 1823.47, 0.8244, 500
8, 85679.3, 540.103, 431.112, 79.1907, 385.979, 1884.33, 0.8182, 500
9, 85556.5, 554.897, 444.273, 80.9504, 415.059, 1948.35, 0.815, 500
10, 85430.2, 570.142, 457.205, 83.6221, 443.272, 2015.51, 0.8212, 500
11, 85300.5, 585.897, 471.647, 85.5576, 470.63, 2085.81, 0.8062, 500
12, 85167, 602.227, 486.774, 88.3202, 496.503, 2159.22, 0.8188, 500
13, 85029.4, 619.361, 502.306, 91.2052, 521.989, 2235.77, 0.8064, 500
14, 84887.6, 637.245, 520.177, 92.6522, 546.864, 2315.45, 0.7708, 500
15, 84741.5, 655.922, 537.716, 96.6389, 569.952, 2398.28, 0.7874, 500
16, 84590.5, 675.736, 557.137, 101.201, 591.131, 2484.3, 0.7934, 500
17, 84434.1, 697.016, 577.545, 103.527, 614.298, 2573.55, 0.7678, 500
18, 84272.5, 719.142, 598.294, 108.623, 635.329, 2666.08, 0.7796, 500
19, 84105.2, 742.652, 620.858, 113.093, 656.249, 2761.95, 0.7716, 500
20, 83931.8, 767.513, 644.813, 118.004, 676.614, 2861.25, 0.7624, 500
21, 83752, 793.849, 671.046, 121.556, 697.514, 2964.07, 0.7342, 500
22, 83565.5, 821.539, 698.643, 126.294, 717.512, 3070.51, 0.7318, 500
23, 83371.9, 850.865, 726.666, 134.656, 735.261, 3180.68, 0.7516, 500
24, 83170.2, 882.396, 757.652, 139.679, 755.382, 3294.72, 0.7238, 500
25, 82960.5, 915.544, 791.059, 145.176, 774.906, 3412.77, 0.7072, 500
26, 82742.4, 950.599, 827.411, 150.949, 793.666, 3535, 0.6822, 500
27, 82515, 987.858, 864.444, 159.493, 811.636, 3661.57, 0.687, 500
28, 82277.7, 1027.6, 907.708, 162.112, 832.212, 3792.68, 0.615, 500
29, 82030.5, 1069.31, 952.606, 168.578, 850.508, 3928.54, 0.641, 500
