Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86689.1, 253.582, 359.8, 122.369, 92.86, 1482.3, 0.8015, 800
1, 86638.8, 253.185, 325.202, 92.103, 167.367, 1523.37, 0.85875, 800
2, 86595.2, 246.073, 294.139, 70.5153, 228.892, 1565.13, 0.875875, 800
3, 86557.2, 234.873, 264.889, 55.7329, 279.743, 1607.53, 0.89875, 800
4, 86523.8, 221.308, 238.211, 44.9043, 321.341, 1650.41, 0.907875, 800
5, 86494.3, 206.536, 214.889, 37.1453, 353.508, 1693.59, 0.92175, 800
6, 86468.1, 191.472, 191.945, 31.5142, 380.138, 1736.84, 0.926125, 800
7, 86444.8, 176.439, 172.21, 27.0315, 399.535, 1779.95, 0.919125, 800
8, 86424.1, 161.885, 154.481, 22.497, 414.317, 1822.72, 0.91825, 800
9, 86405.7, 147.921, 137.941, 19.9732, 423.523, 1864.96, 0.926625, 800
10, 86389.3, 134.763, 122.547, 17.1918, 429.751, 1906.49, 0.927375, 800
11, 86374.7, 122.343, 108.32, 14.8996, 432.545, 1947.17, 0.93925, 800
12, 86361.9, 110.687, 97.0611, 13.766, 429.709, 1986.86, 0.925375, 800
13, 86350.4, 100.072, 86.0843, 12.2739, 425.705, 2025.47, 0.942625, 800
14, 86340.2, 90.2822, 76.0655, 10.2215, 420.358, 2062.91, 0.928625, 800
15, 86331.2, 81.1945, 67.0018, 8.89836, 412.612, 2099.1, 0.938375, 800
16, 86323.3, 72.8438, 59.2232, 8.03443, 402.6, 2133.99, 0.937625, 800
17, 86316.3, 65.2645, 52.3211, 7.31117, 391.233, 2167.55, 0.933125, 800
18, 86310.1, 58.408, 46.5709, 6.73481, 378.407, 2199.76, 0.9245, 800
19, 86304.6, 52.2651, 41.6915, 5.80823, 365.058, 2230.59, 0.929625, 800
20, 86299.6, 46.7472, 35.8507, 5.28927, 352.403, 2260.06, 0.9305, 800
21, 86295.4, 41.6718, 31.8245, 4.80629, 338.151, 2288.17, 0.937125, 800
22, 86291.6, 37.1428, 28.2754, 4.55329, 323.517, 2314.94, 0.921375, 800
23, 86288.2, 33.1246, 25.2157, 3.87663, 309.229, 2340.39, 0.9315, 800
24, 86285.1, 29.5217, 22.452, 3.40954, 294.921, 2364.56, 0.918625, 800
25, 86282.5, 26.3037, 20.0113, 3.0573, 280.705, 2387.47, 0.922375, 800
26, 86280.1, 23.4391, 17.6545, 2.72714, 266.955, 2409.17, 0.925, 800
27, 86277.9, 20.8682, 15.7349, 2.46869, 253.297, 2429.7, 0.924625, 800
28, 86276, 18.5853, 14.0025, 2.00759, 240.274, 2449.09, 0.91525, 800
29, 86274.4, 16.5311, 12.3543, 1.76559, 227.582, 2467.39, 0.897125, 800
