Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
0, 1, 86531.2, 411.464, 368.52, 106.509, 100, 1482.3, 0.75, 800
0, 2, 86349.8, 510.613, 349.802, 80.5888, 185.857, 1523.37, 0.8, 800
0, 3, 86185.7, 572.538, 345.302, 72.4692, 256.582, 1567.39, 0.9125, 800
0, 4, 86026.8, 616.965, 350.793, 64.6451, 325.254, 1615.55, 0.85, 800
0, 5, 85869, 651.327, 363.111, 62.0454, 386.022, 1668.46, 0.85, 800
0, 6, 85707.9, 682.212, 386.361, 55.6933, 441.449, 1726.4, 0.85, 800
0, 7, 85540.6, 713.01, 399.273, 68.6479, 488.917, 1789.51, 0.9125, 800
0, 8, 85364, 747.089, 418.575, 77.5251, 534.994, 1857.86, 0.8875, 800
0, 9, 85177, 784.605, 443.269, 84.8129, 578.78, 1931.5, 0.8, 800
0, 10, 84978.5, 826.234, 472.452, 85.8311, 626.439, 2010.57, 0.8, 800
0, 11, 84769.1, 870.402, 497.378, 87.2743, 680.693, 2095.19, 0.7875, 800
0, 12, 84550.3, 915.088, 516.707, 111.265, 721.072, 2185.57, 0.9625, 800
0, 13, 84315.9, 966.439, 561.912, 105.222, 768.567, 2281.93, 0.775, 800
0, 14, 84067.6, 1021.45, 594.077, 111.693, 820.669, 2384.48, 0.8125, 800
0, 15, 83805.7, 1079.06, 628.645, 119.002, 874.05, 2493.51, 0.8, 800
0, 16, 83529.2, 1139.82, 675.81, 124.245, 921.618, 2609.35, 0.7375, 800
0, 17, 83234.2, 1206.84, 724.113, 138.76, 963.788, 2732.33, 0.775, 800
0, 18, 82917.1, 1282.5, 763.349, 168.259, 1005.95, 2862.8, 0.9375, 800
0, 19, 82576.2, 1366.97, 834.374, 182.19, 1039.09, 3001.2, 0.7625, 800
0, 20, 82205.6, 1464.12, 916.152, 157.195, 1108.87, 3148.03, 0.5875, 800
0, 21, 81816.2, 1560.78, 1008.69, 149.814, 1160.67, 3303.9, 0.625, 800
0, 22, 81397.8, 1667.01, 1107.15, 160.76, 1197.76, 3469.56, 0.5, 800
0, 23, 80942.2, 1789.17, 1194.45, 186.297, 1242.21, 3645.68, 0.6875, 800
0, 24, 80448.9, 1924.66, 1279.61, 230.341, 1283.48, 3833.03, 0.775, 800
0, 25, 79912.7, 2075.93, 1387.67, 259.367, 1331.8, 4032.56, 0.7125, 800
0, 26, 79331.7, 2241.73, 1544.18, 263.397, 1373.67, 4245.34, 0.375, 800
