Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 88593.2, 43.1723, 56.89, 16.9814, 16.4, 273.357, 0.872, 500
1, 88582.7, 45.0426, 52.3705, 11.8588, 28.2286, 279.805, 0.882, 500
2, 88573.6, 45.1667, 49.1358, 8.41431, 37.3122, 286.409, 0.886, 500
3, 88565.4, 44.3154, 46.2494, 6.52329, 44.3471, 293.185, 0.87, 500
4, 88557.9, 42.9545, 41.55, 5.51626, 51.9794, 300.122, 0.932, 500
5, 88551.2, 41.0539, 38.6958, 4.99951, 56.8666, 307.197, 0.868, 500
6, 88545, 39.0538, 36.8794, 4.50564, 60.2047, 314.38, 0.904, 500
7, 88539.1, 37.125, 34.3127, 4.32704, 63.5044, 321.636, 0.788, 500
8, 88533.6, 35.1913, 31.8593, 4.14546, 66.2684, 328.932, 0.912, 500
9, 88528.5, 33.2696, 31.0104, 3.66084, 67.3349, 336.238, 0.926, 500
10, 88523.6, 31.5425, 28.6531, 3.49553, 69.2253, 343.524, 0.846, 500
11, 88519, 29.8021, 26.4224, 3.2384, 70.7806, 350.765, 0.892, 500
12, 88514.8, 28.056, 25.2074, 3.39521, 70.6248, 357.939, 0.842, 500
13, 88510.7, 26.5086, 23.7347, 3.43606, 70.5802, 365.027, 0.892, 500
14, 88506.9, 25.0671, 21.6506, 3.08114, 71.3388, 372.009, 0.856, 500
15, 88503.3, 23.5672, 20.0135, 3.26508, 70.9431, 378.871, 0.914, 500
16, 88500, 22.1607, 19.2834, 3.0459, 69.8758, 385.601, 0.86, 500
17, 88496.9, 20.9005, 18.0085, 2.25797, 69.7846, 392.187, 0.892, 500
18, 88494, 19.5993, 16.5482, 1.95072, 69.3, 398.62, 0.854, 500
19, 88491.4, 18.3071, 16.0101, 1.78734, 67.65, 404.891, 0.894, 500
20, 88488.8, 17.1737, 15.4295, 1.8581, 65.7179, 410.994, 0.872, 500
21, 88486.4, 16.1944, 14.7317, 1.8558, 63.9237, 416.923, 0.758, 500
22, 88484, 15.3115, 14.4467, 1.89491, 61.6578, 422.674, 0.82, 500
23, 88481.7, 14.5702, 13.8584, 1.17825, 60.4536, 428.245, 0.872, 500
24, 88479.6, 13.7917, 13.7083, 1.5683, 57.7355, 433.638, 0.712, 500
25, 88477.4, 13.203, 13.26, 1.88378, 55.4116, 438.853, 0.786, 500
26, 88475.2, 12.7131, 12.1613, 1.8414, 54.1536, 443.892, 0.788, 500
27, 88473.2, 12.159, 11.5724, 1.87266, 52.3855, 448.761, 0.768, 500
28, 88471.3, 11.6366, 11.2481, 1.96844, 50.3437, 453.463, 0.87, 500
29, 88469.5, 11.1861, 9.9738, 1.54076, 49.8477, 458.003, 0.858, 500
