Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86241, 267, 436.1, 186.9, 0, 1869, 1, 0
0, 1, 86154.8, 299.841, 415.33, 165.57, 51, 1913.5, 0.94, 500
0, 2, 86074.4, 320.206, 396.641, 118.734, 131.357, 1958.64, 0.68, 500
0, 3, 86003.2, 327.369, 384.139, 95.4654, 184.974, 2004.83, 0.76, 500
0, 4, 85937, 328.103, 368.532, 84.2886, 229.762, 2052.3, 0.84, 500
0, 5, 85874.6, 324.945, 360.143, 63.9542, 275.35, 2101.06, 0.82, 500
0, 6, 85816.1, 318.414, 353.91, 47.8827, 312.683, 2151.02, 0.72, 500
0, 7, 85760.7, 310.076, 345.209, 58.5673, 323.348, 2202.05, 0.98, 500
0, 8, 85705.2, 303.644, 337.962, 51.9885, 347.252, 2253.99, 0.8, 500
0, 9, 85651.5, 296.56, 324.332, 52.4937, 368.448, 2306.65, 0.94, 500
0, 10, 85599.7, 289.055, 307.684, 60.5378, 383.13, 2359.88, 1, 500
0, 11, 85549.1, 281.837, 294.174, 48.5569, 412.764, 2413.55, 0.84, 500
0, 12, 85502.1, 272.533, 282.619, 59.9988, 415.281, 2467.51, 1, 500
0, 13, 85455, 265.048, 274.586, 57.0652, 426.618, 2521.65, 0.9, 500
0, 14, 85409.5, 257.53, 262.08, 55.892, 439.145, 2575.81, 0.98, 500
0, 15, 85366, 249.616, 260.414, 49.3515, 444.778, 2629.89, 0.78, 500
0, 16, 85323.5, 242.138, 242.759, 49.8034, 458.008, 2683.79, 0.9, 500
0, 17, 85283.4, 233.779, 231.319, 46.7743, 467.293, 2737.4, 0.9, 500
0, 18, 85245.4, 225.092, 221.525, 53.46, 463.915, 2790.64, 1, 500
0, 19, 85207.7, 217.7, 220.215, 44.1469, 466.778, 2843.42, 0.84, 500
0, 20, 85171.6, 210.316, 211.963, 35.0555, 475.437, 2895.64, 0.74, 500
0, 21, 85137.8, 202.024, 204.267, 31.1706, 477.477, 2947.25, 0.9, 500
