Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86967.1, 214.735, 278.06, 94.1271, 79.17, 1366.79, 0.826625, 800
1, 86915.2, 223.743, 249.772, 69.4779, 142.815, 1399.03, 0.875, 800
2, 86870.6, 223.533, 226.655, 52.9298, 194.224, 1432.03, 0.88525, 800
3, 86831.6, 217.812, 205.54, 42.3211, 236.811, 1465.87, 0.90875, 800
4, 86797.1, 208.795, 187.532, 34.5268, 271.556, 1500.49, 0.912, 800
5, 86766.2, 197.974, 171.648, 29.2884, 299.179, 1535.75, 0.92375, 800
6, 86738.2, 186.364, 156.614, 25.0848, 322.289, 1571.47, 0.927, 800
7, 86712.9, 174.388, 141.938, 23.0548, 340.268, 1607.47, 0.928, 800
8, 86689.9, 162.475, 129.514, 20.1913, 354.343, 1643.56, 0.91925, 800
9, 86669.1, 150.811, 118.27, 18.0476, 364.223, 1679.57, 0.934625, 800
10, 86650.1, 139.613, 108.135, 16.4872, 370.327, 1715.32, 0.926875, 800
11, 86632.8, 129.023, 97.9472, 15.3663, 374.205, 1750.67, 0.931, 800
12, 86617, 118.976, 88.7342, 13.9801, 375.786, 1785.5, 0.923125, 800
13, 86602.7, 109.461, 80.7926, 12.8901, 374.434, 1819.67, 0.92575, 800
14, 86589.7, 100.591, 74.0063, 11.647, 370.919, 1853.11, 0.928375, 800
15, 86577.8, 92.3778, 67.5229, 10.6105, 365.945, 1885.72, 0.9305, 800
16, 86567, 84.7603, 61.0427, 9.54532, 360.246, 1917.44, 0.936, 800
17, 86557.2, 77.6165, 55.049, 8.62913, 353.334, 1948.22, 0.93025, 800
18, 86548.3, 70.9403, 50.0332, 7.78976, 344.926, 1978, 0.92575, 800
19, 86540.3, 64.785, 45.1011, 6.98976, 336.078, 2006.77, 0.922, 800
20, 86533, 59.0638, 40.7995, 6.3676, 326.233, 2034.5, 0.9125, 800
21, 86526.5, 53.8024, 37.1042, 5.7466, 315.69, 2061.17, 0.927625, 800
22, 86520.5, 48.9932, 32.7662, 5.14427, 305.781, 2086.78, 0.920125, 800
23, 86515.3, 44.4594, 30.0048, 4.53642, 294.4, 2111.33, 0.92925, 800
24, 86510.5, 40.3642, 27.1259, 4.19995, 283.011, 2134.82, 0.92375, 800
25, 86506.1, 36.6412, 24.7894, 3.99181, 271.176, 2157.28, 0.917125, 800
26, 86502.1, 33.3093, 22.2685, 3.52515, 260.066, 2178.7, 0.919, 800
27, 86498.5, 30.2288, 20.3712, 3.06191, 248.67, 2199.12, 0.913875, 800
28, 86495.3, 27.4365, 18.4281, 2.94693, 237.338, 2218.56, 0.90675, 800
29, 86492.3, 24.9168, 16.6729, 2.69262, 226.355, 2237.04, 0.89925, 800
