Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 85058.6, 381.429, 623, 267, 0, 2670, 1, 0
0, 1, 84937.1, 426.655, 574.9, 222.814, 105, 2733.57, 0.7875, 800
0, 2, 84828.3, 450.081, 539.567, 183.498, 200.5, 2798.05, 0.875, 800
0, 3, 84729.8, 458.518, 521.038, 126.396, 300.179, 2864.02, 0.65, 800
0, 4, 84641.8, 454.867, 488.014, 105.879, 377.737, 2931.71, 0.8375, 800
0, 5, 84561.1, 444.581, 455.837, 100.608, 436.756, 3001.11, 0.9375, 800
0, 6, 84485.6, 431.192, 437.519, 76.0968, 497.559, 3072.05, 0.8375, 800
0, 7, 84415.9, 414.606, 420.634, 57.5328, 547.019, 3144.28, 0.8375, 800
0, 8, 84351.1, 396.476, 384.634, 59.2997, 590.946, 3217.51, 0.95, 800
0, 9, 84291, 377.287, 361.667, 46.8525, 631.736, 3291.43, 0.8, 800
0, 10, 84235.8, 357.102, 345.653, 42.1431, 653.612, 3365.73, 0.9, 800
0, 11, 84183.3, 338.115, 323.958, 35.559, 678.925, 3440.12, 0.8625, 800
0, 12, 84134.7, 319.072, 311.154, 31.306, 689.431, 3514.29, 0.8125, 800
0, 13, 84088.5, 301.506, 274.599, 35.2142, 712.186, 3588, 0.975, 800
0, 14, 84046.7, 283.022, 262.196, 29.7893, 717.315, 3661, 0.9, 800
0, 15, 84007.3, 265.808, 239.091, 25.6428, 729.078, 3733.09, 0.9125, 800
0, 16, 83971.6, 248.344, 216.226, 25.7596, 734.001, 3804.08, 0.9625, 800
0, 17, 83939, 231.291, 195.549, 27.8203, 732.573, 3873.79, 0.9875, 800
0, 18, 83908.9, 215.128, 181.962, 21.7106, 730.246, 3942.07, 0.9375, 800
0, 19, 83881.4, 199.534, 180.083, 21.0676, 709.086, 4008.78, 0.875, 800
0, 20, 83854.4, 186.711, 162.155, 23.5348, 699.437, 4073.8, 0.95, 800
0, 21, 83829.4, 174.362, 150.712, 22.0564, 686.477, 4137.02, 0.8875, 800
0, 22, 83806.1, 162.737, 129.357, 17.9426, 685.443, 4198.39, 0.9375, 800
0, 23, 83786.3, 150.004, 123.901, 19.4252, 662.483, 4257.88, 0.8, 800
0, 24, 83767, 139.279, 106.051, 19.038, 653.162, 4315.43, 1, 800
