Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86665.2, 274.601, 431.21, 89.1474, 57.38, 1482.49, 0.8158, 500
1, 86592.8, 292.067, 411.795, 72.4038, 107.191, 1523.75, 0.8592, 500
2, 86525.5, 300.954, 396.732, 60.0348, 150.795, 1565.99, 0.8596, 500
3, 86462.1, 304.201, 383.817, 52.6047, 187.934, 1609.39, 0.8906, 500
4, 86401.5, 303.929, 373.313, 46.2653, 221.02, 1653.99, 0.888, 500
5, 86343.3, 301.333, 362.337, 41.7378, 251.553, 1699.75, 0.8954, 500
6, 86287.3, 297.068, 353.139, 38.9599, 276.965, 1746.58, 0.899, 500
7, 86233, 291.961, 344.046, 36.0597, 300.582, 1794.37, 0.9046, 500
8, 86180.4, 286.181, 334.695, 33.1925, 322.571, 1842.99, 0.9104, 500
9, 86129.5, 279.835, 325.327, 31.7889, 341.261, 1892.31, 0.9116, 500
10, 86080.1, 273.239, 316.633, 29.4116, 358.415, 1942.19, 0.911, 500
11, 86032.3, 266.404, 308.175, 28.0304, 372.584, 1992.51, 0.9008, 500
12, 85985.9, 259.551, 299.717, 26.9044, 384.821, 2043.14, 0.9014, 500
13, 85940.8, 252.721, 290.817, 26.4947, 395.224, 2093.95, 0.9066, 500
14, 85897, 245.948, 282.099, 25.231, 404.853, 2144.85, 0.9034, 500
15, 85854.6, 239.132, 273.611, 24.2267, 412.665, 2195.72, 0.912, 500
16, 85813.6, 232.35, 264.299, 23.0815, 420.199, 2246.47, 0.905, 500
17, 85774, 225.464, 255.626, 22.0268, 425.855, 2297.01, 0.9202, 500
18, 85735.8, 218.598, 247.011, 21.9321, 429.407, 2347.26, 0.9148, 500
19, 85698.8, 211.889, 239.263, 20.7694, 432.155, 2397.14, 0.9124, 500
20, 85663, 205.281, 230.635, 19.3014, 435.187, 2446.59, 0.91, 500
21, 85628.6, 198.591, 223.046, 18.404, 435.792, 2495.52, 0.909, 500
22, 85595.5, 192.058, 215.589, 17.713, 435.284, 2543.9, 0.9028, 500
23, 85563.4, 185.7, 207.199, 16.8802, 435.162, 2591.65, 0.9206, 500
24, 85532.6, 179.335, 199.601, 16.4924, 433.199, 2638.74, 0.9116, 500
25, 85503, 173.135, 191.597, 16.1578, 431.026, 2685.12, 0.9182, 500
26, 85474.5, 167.021, 183.914, 15.5891, 428.279, 2730.75, 0.9142, 500
27, 85447.1, 160.988, 176.94, 14.8464, 424.557, 2775.59, 0.9162, 500
28, 85420.8, 155.094, 169.57, 14.1155, 420.832, 2819.61, 0.915, 500
29, 85395.6, 149.26, 162.913, 13.671, 415.772, 2862.79, 0.9176, 500
