Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86744.5, 244.114, 455.68, 113.92, 0, 1441.8, 1, 0
0, 1, 86665.2, 274.601, 442.19, 73.5474, 62, 1482.49, 0.66, 500
0, 2, 86593.4, 291.424, 425.541, 59.2781, 106.571, 1523.75, 0.9, 500
0, 3, 86526, 300.527, 411.773, 47.7009, 147.959, 1565.99, 0.76, 500
0, 4, 86462.2, 304.236, 400.445, 46.3148, 177.391, 1609.38, 0.94, 500
0, 5, 86400.2, 305.392, 392.519, 35.176, 212.72, 1653.97, 0.78, 500
0, 6, 86340.9, 303.628, 375.345, 36.8791, 243.526, 1699.71, 1, 500
0, 7, 86283.8, 300.032, 371.115, 21.39, 277.131, 1746.55, 0.88, 500
0, 8, 86229.4, 294.386, 366.612, 18.8634, 296.336, 1794.38, 0.8, 500
0, 9, 86176.1, 288.863, 352.527, 21.2915, 318.169, 1843.08, 0.94, 500
0, 10, 86124.4, 282.798, 337.565, 30.3252, 332.443, 1892.51, 1, 500
0, 11, 86073.5, 277.096, 322.701, 34.471, 349.697, 1942.53, 0.98, 500
0, 12, 86024.2, 271.024, 315.986, 27.0927, 368.718, 1993.02, 0.84, 500
0, 13, 85976.8, 264.192, 304.779, 22.9984, 387.381, 2043.86, 0.9, 500
0, 14, 85931.5, 256.588, 294.28, 25.9233, 396.711, 2094.95, 0.96, 500
0, 15, 85887.4, 249.437, 285.314, 29.3352, 402.375, 2146.16, 0.98, 500
0, 16, 85844, 242.927, 274.845, 33.2173, 407.634, 2197.37, 1, 500
0, 17, 85801.6, 236.79, 264.081, 29.5617, 419.517, 2248.49, 0.94, 500
0, 18, 85761.1, 229.873, 253.105, 28.9218, 427.552, 2299.43, 0.96, 500
0, 19, 85722.3, 222.722, 245.805, 29.0509, 430.012, 2350.12, 0.92, 500
0, 20, 85684.5, 215.997, 237.883, 30.8847, 430.297, 2400.46, 1, 500
0, 21, 85647.5, 209.763, 230.451, 32.3185, 429.561, 2450.4, 1, 500
0, 22, 85611.4, 203.935, 226.552, 24.4005, 433.879, 2499.85, 0.92, 500
