S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity
86669.4, 273.317, 402.52, 147.509, 25, 1482.3, 550.029, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86592.8, 295.171, 412.033, 123.371, 53.2143, 1523.37, 535.405, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86518.4, 310.555, 423.926, 106.269, 75.4133, 1565.41, 530.196, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86444.8, 322.074, 437.124, 92.312, 95.0266, 1608.67, 529.436, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86371.3, 331.122, 450.991, 89.0428, 104.239, 1653.27, 540.034, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86296.5, 339.766, 465.134, 81.5499, 117.793, 1699.29, 546.684, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86220.7, 347.538, 479.478, 73.1109, 132.38, 1746.76, 552.588, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86144.3, 354.507, 493.885, 74.741, 136.924, 1795.68, 568.626, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86065.6, 362.231, 508.238, 74.6727, 143.144, 1846.08, 582.911, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85985.1, 370.312, 522.648, 76.0728, 147.919, 1897.94, 598.721, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85902.5, 378.884, 537.159, 70.8578, 159.353, 1951.27, 608.017, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85818.6, 386.944, 551.835, 73.5296, 162.971, 2006.08, 625.364, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85732.5, 395.699, 566.59, 72.4941, 170.33, 2062.39, 639.084, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85644.5, 404.505, 581.517, 62.0579, 187.164, 2120.21, 643.575, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85556.1, 412.077, 596.611, 66.8955, 188.795, 2179.55, 663.507, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85465, 420.781, 611.687, 71.8419, 190.31, 2240.43, 683.529, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85371.2, 430.393, 626.904, 71.9572, 196.716, 2302.84, 698.861, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85275.4, 440.081, 642.38, 76.6409, 198.665, 2366.81, 719.021, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85177, 450.483, 658.107, 76.5715, 205.475, 2432.36, 734.679, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85076.6, 460.833, 674.167, 81.1311, 207.798, 2499.52, 755.298, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84973.4, 471.809, 690.529, 89.986, 205.955, 2568.31, 780.515, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84867, 483.905, 707.259, 95.8669, 207.244, 2638.77, 803.126, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84757.6, 496.528, 724.487, 94.0536, 216.441, 2710.94, 818.541, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84646.2, 508.583, 742.252, 94.1272, 223.981, 2784.87, 836.379, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
