S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity,group_number
86669.4, 273.317, 402.52, 122.509, 50, 1482.3, 525.029, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86596.3, 291.694, 409.033, 92.1571, 87.4286, 1523.37, 501.19, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86526.7, 303.02, 416.654, 73.0761, 115.184, 1565.41, 489.73, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86458.6, 310.433, 426.315, 65.0375, 130.956, 1608.62, 491.353, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86390.4, 316.535, 438.325, 62.018, 139.602, 1653.07, 500.343, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86321.1, 322.61, 450.331, 55.5802, 151.631, 1698.78, 505.911, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86251, 328.186, 453.33, 63.9668, 157.8, 1745.75, 517.297, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86179.4, 334.165, 458.895, 60.0889, 173.528, 1793.97, 518.984, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86107.6, 339.123, 459.9, 73.8468, 176.134, 1843.44, 533.747, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86033.8, 345.07, 463.527, 56.9194, 206.553, 1894.14, 520.447, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85961.9, 347.928, 474.728, 64.5579, 204.799, 1946.07, 539.286, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85887.5, 352.753, 485.529, 61.8223, 213.17, 1999.22, 547.351, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85812, 357.661, 494.234, 54.5716, 227.944, 2053.54, 548.805, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85736.5, 361.721, 506.004, 49.1333, 237.662, 2109.02, 555.137, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85660.1, 365.774, 509.502, 59.327, 239.686, 2165.65, 568.829, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85581.8, 370.831, 524.317, 53.0358, 246.566, 2223.4, 577.353, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85502.5, 375.976, 536.782, 44.4974, 257.954, 2282.25, 581.28, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85422.8, 380.558, 547.077, 44.8776, 262.529, 2342.2, 591.955, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85341.6, 385.612, 551.278, 51.5055, 266.777, 2403.23, 602.784, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85259, 391.062, 565.887, 47.9633, 270.721, 2465.35, 613.85, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85175, 396.856, 573.215, 50.001, 276.384, 2528.53, 623.216, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85089.8, 402.69, 586.831, 51.2409, 276.642, 2592.79, 638.072, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85002.7, 409.3, 595.291, 49.7422, 284.882, 2658.12, 645.033, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84914.7, 415.449, 603.072, 47.7472, 294.533, 2724.55, 650.82, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84825.9, 421.066, 610.159, 45.2637, 305.495, 2792.07, 655.422, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84736.7, 426.093, 625.525, 48.2945, 302.674, 2860.71, 673.82, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84645.1, 432.523, 626.498, 64.4104, 301.055, 2930.46, 690.908, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84551.2, 439.89, 640.301, 66.7611, 300.551, 3001.31, 707.062, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84455.2, 447.872, 642.15, 59.3859, 322.083, 3073.28, 701.536, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84360.1, 453.399, 646.984, 64.0163, 329.077, 3146.4, 711, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86669.4, 273.317, 399.52, 117.509, 58, 1482.3, 517.029, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86597.4, 290.581, 406.248, 97.5142, 84.8571, 1523.37, 503.762, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86527.4, 302.488, 409.911, 84.9838, 109.796, 1565.41, 494.895, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86458.7, 310.725, 414.98, 74.0628, 132.953, 1608.6, 489.043, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86390.8, 316.449, 427.84, 65.4161, 146.457, 1653.03, 493.256, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86322.4, 321.558, 436.583, 66.7304, 153.995, 1698.73, 503.313, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86252.7, 326.985, 446.417, 65.2575, 162.996, 1745.68, 511.674, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86181.8, 332.428, 451.308, 56.2153, 184.353, 1793.87, 507.523, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86111.6, 336.15, 454.611, 55.1456, 199.185, 1843.29, 509.757, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86041.2, 339.379, 462.2, 64.3757, 198.958, 1893.93, 526.576, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85968.4, 344.227, 467.699, 61.1402, 212.746, 1945.75, 528.839, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85895.5, 348.357, 478.484, 58.4266, 220.55, 1998.72, 536.91, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85821.4, 352.712, 485.076, 59.1547, 228.797, 2052.83, 544.231, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85746.5, 357.14, 493.808, 59.0921, 235.454, 2108.04, 552.9, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85670.4, 361.81, 493.535, 75.2996, 234.636, 2164.35, 568.835, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85592.1, 367.67, 496.936, 85.6297, 235.876, 2221.74, 582.566, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85512.1, 374.173, 504.914, 70.5735, 258.028, 2280.2, 575.488, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85433.1, 378.329, 521.233, 70.9829, 256.597, 2339.74, 592.216, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85351.9, 383.875, 530.968, 65.6124, 267.269, 2400.37, 596.581, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85270.2, 388.832, 537.785, 75.9583, 265.178, 2462.07, 613.743, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85186.2, 395.069, 543.808, 90.8627, 259.237, 2524.85, 634.671, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85099.4, 402.837, 558.274, 80.0766, 270.72, 2588.7, 638.351, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85012.2, 409.466, 569.795, 71.5271, 283.383, 2653.64, 641.322, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84924.7, 415.085, 575.42, 55.986, 309.141, 2719.69, 631.406, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84838.6, 418.139, 590.431, 56.8921, 309.06, 2786.87, 647.323, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84750.5, 422.662, 601.797, 57.9167, 311.984, 2855.18, 659.713, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84660.7, 427.874, 611.984, 57.1395, 317.699, 2924.59, 669.123, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84569.8, 433.228, 625.173, 62.7306, 314.007, 2995.08, 687.904, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84476.4, 439.963, 633.17, 60.2435, 323.578, 3066.64, 693.413, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84382.4, 445.994, 633.538, 78.3381, 320.465, 3139.28, 711.876, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86669.4, 273.317, 398.52, 122.509, 54, 1482.3, 521.029, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86596.9, 291.137, 407.319, 96.1571, 85.1429, 1523.37, 503.476, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86526.9, 302.893, 410.984, 97.757, 96.0612, 1565.41, 508.741, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86456.2, 312.972, 418.033, 102.948, 101.2, 1608.61, 520.981, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86383.9, 322.676, 424.989, 88.3728, 126.971, 1653.05, 513.362, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86312.8, 329.323, 434.808, 73.421, 150.902, 1698.79, 508.229, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86242.3, 333.87, 441.855, 60.936, 175.123, 1745.87, 502.791, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86172.7, 336.698, 447.036, 55.6156, 193.614, 1794.3, 502.652, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86103.2, 338.885, 456.243, 52.845, 204.785, 1844.03, 509.087, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86032.9, 341.467, 459.098, 65.4034, 206.157, 1895.02, 524.501, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85960.4, 345.605, 467.11, 51.2198, 228.432, 1947.21, 518.33, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85888.9, 348.002, 475.13, 52.2975, 235.115, 2000.55, 527.427, 2, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
