Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86744.5, 244.114, 398.72, 170.88, 0, 1441.8, 1, 0
0, 1, 86665.2, 274.601, 395.416, 129.321, 53, 1482.49, 0.48, 500
0, 2, 86592.2, 292.676, 395.616, 90.56, 105.214, 1523.75, 0.62, 500
0, 3, 86524.6, 301.716, 398.333, 63.652, 145.699, 1565.99, 0.64, 500
0, 4, 86460.4, 305.535, 400.12, 49.2084, 175.292, 1609.4, 0.72, 500
0, 5, 86398.1, 306.786, 396.315, 37.0256, 207.771, 1654.02, 0.84, 500
0, 6, 86338, 305.525, 394.957, 34.788, 226.93, 1699.81, 0.72, 500
0, 7, 86278.4, 303.976, 400.519, 34.6347, 235.721, 1746.72, 0.78, 500
0, 8, 86218.2, 303.445, 401.467, 39.3993, 242.884, 1794.64, 0.84, 500
0, 9, 86157.2, 303.768, 396.273, 37.7918, 261.535, 1843.47, 0.82, 500
0, 10, 86097.1, 303.043, 393.496, 42.3184, 270.854, 1893.16, 0.74, 500
0, 11, 86036.9, 302.663, 391.815, 41.4783, 283.507, 1943.64, 0.9, 500
0, 12, 85977.1, 301.969, 398.201, 43.6753, 284.257, 1994.84, 0.7, 500
0, 13, 85916.1, 302.556, 397.034, 37.6738, 299.953, 2046.7, 0.88, 500
0, 14, 85856.1, 301.994, 397.032, 48.1361, 297.527, 2099.18, 0.96, 500
0, 15, 85794.8, 302.944, 399.952, 48.8175, 301.275, 2152.23, 0.84, 500
0, 16, 85733, 304.156, 393.796, 45.5071, 317.756, 2205.8, 0.76, 500
0, 17, 85672.5, 303.779, 396.249, 41.506, 326.059, 2259.88, 0.76, 500
0, 18, 85612.3, 303.222, 399.475, 51.768, 318.769, 2314.44, 0.98, 500
0, 19, 85550.3, 304.587, 397.392, 55.2636, 323, 2369.44, 0.88, 500
0, 20, 85488.2, 305.828, 399.649, 46.5914, 334.928, 2424.84, 0.8, 500
0, 21, 85426.9, 305.896, 399.919, 45.6131, 341.005, 2480.64, 0.84, 500
0, 22, 85365.8, 305.809, 401.178, 45.7088, 344.647, 2536.82, 0.76, 500
0, 23, 85304.6, 305.881, 399.336, 48.7924, 348.03, 2593.36, 0.82, 500
0, 24, 85243.2, 306.065, 400.635, 48.6601, 351.17, 2650.23, 0.74, 500
0, 25, 85181.8, 306.328, 392.868, 52.5483, 359.087, 2707.4, 0.94, 500
0, 26, 85120.9, 305.963, 397.692, 50.1745, 360.438, 2764.87, 0.76, 500
0, 27, 85059.7, 305.963, 402.12, 47.9484, 361.692, 2822.6, 0.86, 500
0, 28, 84998.2, 306.219, 406.232, 40.8813, 367.857, 2880.59, 0.64, 500
0, 29, 84937.2, 305.977, 410.086, 37.3344, 370.582, 2938.8, 0.82, 500
0, 30, 84876.2, 305.781, 413.631, 43.0262, 364.111, 2997.23, 0.9, 500
1, 0, 86744.5, 244.114, 398.72, 170.88, 0, 1441.8, 1, 0
1, 1, 86665.2, 274.601, 398.416, 128.321, 51, 1482.49, 0.54, 500
1, 2, 86591.9, 292.955, 396.402, 100.631, 94.3571, 1523.75, 0.72, 500
1, 3, 86522.8, 303.447, 401.101, 76.0207, 130.617, 1565.99, 0.84, 500
1, 4, 86456.6, 309.021, 398.934, 65.7975, 160.288, 1609.4, 0.72, 500
1, 5, 86392.1, 311.71, 400.701, 66.6389, 174.838, 1654.05, 0.92, 500
1, 6, 86327.3, 314.174, 405.719, 58.5816, 194.35, 1699.92, 0.82, 500
1, 7, 86262.9, 315.676, 400.724, 50.2476, 223.468, 1746.97, 0.74, 500
1, 8, 86200.5, 314.984, 404.295, 57.5991, 227.506, 1795.14, 0.9, 500
1, 9, 86136.6, 315.897, 406.515, 45.3839, 251.255, 1844.38, 0.7, 500
1, 10, 86074.1, 315.197, 404.703, 35.096, 276.309, 1894.61, 0.82, 500
1, 11, 86013.3, 312.921, 407.924, 40.501, 279.572, 1945.76, 0.68, 500
1, 12, 85951.4, 312.247, 405.595, 47.3833, 285.603, 1997.76, 0.9, 500
1, 13, 85888.9, 312.293, 411.339, 36.7336, 300.203, 2050.51, 0.76, 500
1, 14, 85827.1, 311.607, 407.678, 45.8473, 303.76, 2103.96, 0.96, 500
1, 15, 85764.7, 311.765, 404.183, 44.2689, 317.062, 2158.05, 0.8, 500
1, 16, 85702.9, 311.148, 402.96, 42.8128, 327.415, 2212.73, 0.7, 500
1, 17, 85641.6, 310.241, 398.738, 51.4236, 330.028, 2267.96, 0.96, 500
1, 18, 85579.7, 310.075, 398.691, 50.3649, 337.455, 2323.69, 0.68, 500
1, 19, 85518, 309.745, 393.623, 49.3719, 349.351, 2379.87, 0.82, 500
1, 20, 85457.2, 308.605, 397.872, 42.4301, 357.397, 2436.46, 0.8, 500
1, 21, 85396.8, 307.281, 399.657, 50.9157, 351.869, 2493.44, 0.94, 500
1, 22, 85335.1, 307.586, 404.129, 56.7157, 345.735, 2550.76, 0.9, 500
1, 23, 85271.9, 309.193, 408.325, 52.1198, 350.04, 2608.37, 0.78, 500
1, 24, 85208.9, 310.377, 402.446, 46.9485, 365.037, 2666.26, 0.9, 500
1, 25, 85147.5, 309.766, 394.153, 51.2176, 372.963, 2724.44, 0.92, 500
1, 26, 85086.6, 308.683, 393.366, 44.1452, 384.323, 2782.89, 0.82, 500
1, 27, 85026.8, 306.7, 390.484, 58.513, 375.871, 2841.59, 1, 500
1, 28, 84965.6, 306.639, 396.53, 60.7354, 370.023, 2900.51, 0.88, 500
1, 29, 84903.2, 307.674, 395.136, 55.7955, 378.593, 2959.6, 0.7, 500
1, 30, 84841.7, 307.592, 395.986, 62.2705, 373.551, 3018.86, 0.88, 500
2, 0, 86744.5, 244.114, 398.72, 170.88, 0, 1441.8, 1, 0
2, 1, 86665.2, 274.601, 394.416, 118.321, 65, 1482.49, 0.54, 500
2, 2, 86593.8, 291.007, 392.688, 82.3457, 116.357, 1523.75, 0.7, 500
2, 3, 86527.8, 298.833, 398.379, 73.9243, 135.046, 1565.99, 0.8, 500
2, 4, 86462.2, 304.664, 396.76, 60.5739, 166.4, 1609.38, 0.7, 500
2, 5, 86398.8, 307.202, 399.073, 50.5271, 190.514, 1653.93, 0.74, 500
2, 6, 86336.4, 308.113, 397.576, 41.3501, 216.906, 1699.65, 0.78, 500
2, 7, 86275.6, 307.317, 394.314, 44.8833, 231.413, 1746.5, 0.92, 500
2, 8, 86214.8, 306.676, 394.173, 45.1164, 244.883, 1794.4, 0.82, 500
2, 9, 86154, 306.132, 393.952, 49.2943, 253.392, 1843.27, 0.92, 500
2, 10, 86092.7, 306.202, 397.671, 41.1412, 269.292, 1893.03, 0.78, 500
2, 11, 86032, 305.601, 399.135, 40.5747, 279.057, 1943.61, 0.76, 500
2, 12, 85971.3, 305.202, 402.409, 41.0126, 285.124, 1994.95, 0.78, 500
2, 13, 85910.1, 305.352, 401.394, 46.3952, 289.758, 2046.99, 0.76, 500
2, 14, 85848.4, 306.03, 392.472, 44.4024, 309.061, 2099.67, 0.84, 500
