Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86665.2, 274.601, 381.396, 131.591, 64.75, 1482.49, 0.682, 500
1, 86593.8, 291.042, 367.298, 105.318, 118.775, 1523.75, 0.756, 500
2, 86528.1, 298.525, 355.068, 88.0076, 164.281, 1565.99, 0.7958, 500
3, 86466.6, 300.358, 344.429, 75.3328, 203.917, 1609.38, 0.819, 500
4, 86408.3, 298.546, 333.817, 66.5634, 238.821, 1653.93, 0.8392, 500
5, 86352.8, 294.368, 324.33, 59.5416, 269.383, 1699.58, 0.8532, 500
6, 86299.6, 288.702, 314.425, 55.3007, 295.741, 1746.24, 0.8504, 500
7, 86248.4, 282.177, 304.834, 51.3728, 319.467, 1793.78, 0.8746, 500
8, 86199.1, 275.055, 295.285, 47.4039, 341.158, 1842.04, 0.86, 500
9, 86151.6, 267.459, 285.461, 44.2712, 360.279, 1890.89, 0.882, 500
10, 86106, 259.564, 275.775, 42.4065, 376.035, 1940.17, 0.8798, 500
11, 86062.1, 251.627, 266.416, 40.4913, 389.635, 1989.76, 0.8794, 500
12, 86019.7, 243.698, 256.894, 39.0567, 401.164, 2039.51, 0.8934, 500
13, 85978.8, 235.821, 247.962, 37.0688, 411.03, 2089.31, 0.88, 500
14, 85939.5, 227.993, 238.805, 35.9803, 418.72, 2139.03, 0.8898, 500
15, 85901.6, 220.299, 229.017, 35.4999, 425.052, 2188.56, 0.9078, 500
16, 85865.1, 212.712, 220.12, 33.2121, 431.041, 2237.82, 0.8888, 500
17, 85830.2, 205.085, 211.787, 31.1625, 435.082, 2286.7, 0.8844, 500
18, 85796.7, 197.538, 202.821, 29.6917, 438.105, 2335.13, 0.9004, 500
19, 85764.7, 190.051, 194.54, 27.5932, 440.092, 2383.03, 0.8972, 500
20, 85734.1, 182.62, 186.821, 26.3453, 439.767, 2430.33, 0.8862, 500
21, 85704.8, 175.431, 178.933, 24.9007, 438.985, 2476.97, 0.8878, 500
22, 85676.7, 168.385, 171.213, 23.6279, 437.149, 2522.89, 0.8958, 500
23, 85649.9, 161.503, 163.277, 22.3833, 434.864, 2568.03, 0.8912, 500
24, 85624.4, 154.726, 155.855, 21.3247, 431.322, 2612.35, 0.8988, 500
25, 85600.1, 148.132, 148.774, 20.4551, 426.753, 2655.82, 0.9016, 500
26, 85576.8, 141.757, 141.446, 19.3819, 422.211, 2698.39, 0.8944, 500
27, 85554.7, 135.497, 134.889, 18.4629, 416.393, 2740.03, 0.9016, 500
28, 85533.7, 129.456, 128.593, 17.6039, 409.951, 2780.73, 0.9054, 500
29, 85513.6, 123.636, 122.412, 16.9639, 402.938, 2820.45, 0.8988, 500
