S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 566.93, 0, 89000, 2, 0.00637, 500
86669.4, 273.317, 392.52, 119.509, 63, 1482.3, 512.029, 0, 89000, 2, 0.00637, 500
86598.1, 289.885, 402.748, 89.3714, 96.5, 1523.37, 492.119, 0, 89000, 2, 0.00637, 500
86529.7, 300.313, 392.564, 76.3808, 135.607, 1565.41, 468.945, 0, 89000, 2, 0.00637, 500
86464.6, 305.383, 373.567, 78.9439, 168.921, 1608.59, 452.511, 0, 89000, 2, 0.00637, 500
86401.8, 307.11, 358.638, 55.628, 223.855, 1652.98, 414.266, 0, 89000, 2, 0.00637, 500
86344.3, 303.141, 344.016, 52.0812, 257.865, 1698.56, 396.097, 0, 89000, 2, 0.00637, 500
86289.4, 297.41, 356.883, 52.5495, 258.447, 1745.27, 409.433, 0, 89000, 2, 0.00637, 500
86232.7, 294.637, 347.029, 54.6406, 277.986, 1792.98, 401.669, 0, 89000, 2, 0.00637, 500
86177.1, 291.306, 345.49, 52.4159, 292.13, 1841.53, 397.906, 0, 89000, 2, 0.00637, 500
86122.1, 288.086, 337.595, 43.1503, 318.263, 1890.82, 380.745, 0, 89000, 2, 0.00637, 500
86069.5, 283.102, 342.813, 41.3533, 322.53, 1940.74, 384.167, 0, 89000, 2, 0.00637, 500
86016.4, 279.556, 330.961, 38.3856, 343.492, 1991.22, 369.347, 0, 89000, 2, 0.00637, 500
85965.4, 274.639, 334.459, 45.4171, 337.957, 2042.14, 379.876, 0, 89000, 2, 0.00637, 500
85913, 272.129, 337.018, 38.6514, 345.818, 2093.41, 375.67, 0, 89000, 2, 0.00637, 500
85861.2, 269.509, 321.044, 30.2183, 373.116, 2144.95, 351.262, 0, 89000, 2, 0.00637, 500
85812.8, 264.018, 308.843, 31.2304, 386.465, 2196.69, 340.074, 0, 89000, 2, 0.00637, 500
85765.9, 258.056, 315.745, 34.8407, 376.86, 2248.59, 350.586, 0, 89000, 2, 0.00637, 500
85717.6, 254.709, 310.32, 32.8355, 383.942, 2300.55, 343.156, 0, 89000, 2, 0.00637, 500
85670.4, 250.981, 300.814, 27.7726, 397.517, 2352.48, 328.586, 0, 89000, 2, 0.00637, 500
85625.2, 245.97, 308.464, 27.8477, 388.123, 2404.35, 336.312, 0, 89000, 2, 0.00637, 500
85579, 242.999, 307.867, 28.6168, 385.4, 2456.09, 336.484, 0, 89000, 2, 0.00637, 500
85532.8, 240.62, 308.896, 31.1527, 378.872, 2507.65, 340.049, 0, 89000, 2, 0.00637, 500
85486.1, 239.182, 303.519, 32.3647, 379.809, 2559.01, 335.884, 0, 89000, 2, 0.00637, 500
85440, 237.435, 290.325, 24.4039, 397.68, 2610.13, 314.728, 0, 89000, 2, 0.00637, 500
