Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
0, 1, 86669.4, 273.317, 382.52, 111.509, 81, 1482.3, 0.52, 500
0, 2, 86600.6, 287.381, 362.462, 101.943, 124.214, 1523.37, 0.88, 500
0, 3, 86536.1, 294.46, 344.805, 91.904, 167.342, 1565.41, 0.84, 500
0, 4, 86475.4, 296.228, 340.4, 89.007, 190.389, 1608.56, 0.9, 500
0, 5, 86415.8, 296.586, 326.558, 70.4231, 237.79, 1652.83, 0.86, 500
0, 6, 86360.7, 292.334, 318.754, 64.188, 265.805, 1698.17, 0.9, 500
0, 7, 86307.7, 286.951, 311.913, 53.1432, 295.819, 1744.51, 0.76, 500
0, 8, 86257.1, 280.134, 302.807, 44.5643, 323.689, 1791.72, 0.78, 500
0, 9, 86209, 272.202, 289.396, 41.1891, 348.568, 1839.65, 0.88, 500
0, 10, 86163.3, 263.507, 283.833, 36.5792, 364.67, 1888.16, 0.8, 500
0, 11, 86118.9, 255.12, 270.451, 36.7768, 381.622, 1937.09, 0.88, 500
0, 12, 86076.5, 246.565, 262.849, 36.4571, 391.364, 1986.3, 0.94, 500
0, 13, 86035.1, 238.605, 258.594, 33.6469, 398.409, 2035.63, 0.84, 500
0, 14, 85994.8, 231.242, 246.527, 27.5599, 414.951, 2084.96, 0.9, 500
0, 15, 85956.9, 222.827, 238.292, 27.4658, 420.312, 2134.18, 0.94, 500
0, 16, 85920.3, 214.929, 230.467, 26.8736, 424.29, 2183.19, 0.68, 500
0, 17, 85884.8, 207.434, 222.095, 24.8498, 428.983, 2231.87, 0.9, 500
0, 18, 85850.7, 199.99, 208.272, 25.5209, 435.342, 2280.15, 0.9, 500
0, 19, 85818.5, 192.209, 204.394, 22.6973, 434.246, 2327.95, 0.86, 500
0, 20, 85787.2, 185.049, 194.704, 14.6087, 443.228, 2375.19, 0.84, 500
0, 21, 85758.4, 176.862, 184.703, 21.6682, 436.569, 2421.8, 1, 500
0, 22, 85730, 169.897, 177.271, 23.7321, 431.386, 2467.72, 0.82, 500
0, 23, 85702.3, 163.578, 167.394, 20.2308, 433.572, 2512.89, 0.78, 500
0, 24, 85676.5, 156.672, 166.338, 21.6004, 421.603, 2557.26, 0.88, 500
0, 25, 85650.7, 151.184, 159.391, 19.4579, 418.488, 2600.8, 0.92, 500
0, 26, 85626.1, 145.535, 158.172, 21.1391, 405.596, 2643.47, 0.74, 500
0, 27, 85601.4, 141.073, 149.249, 19.3613, 403.625, 2685.25, 0.92, 500
0, 28, 85578.3, 136.026, 139.338, 19.4427, 400.795, 2726.12, 0.94, 500
0, 29, 85556.5, 130.632, 132.429, 23.2155, 391.167, 2766.09, 0.98, 500
0, 30, 85535.1, 125.88, 126.259, 20.3951, 387.226, 2805.15, 0.82, 500
1, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
1, 1, 86669.4, 273.317, 370.52, 141.509, 63, 1482.3, 0.78, 500
1, 2, 86598.1, 289.885, 355.319, 116.8, 116.5, 1523.37, 0.78, 500
1, 3, 86532.5, 297.533, 342.523, 106.85, 155.179, 1565.41, 0.88, 500
1, 4, 86470.1, 300.443, 329.712, 93.0701, 198.094, 1608.59, 0.86, 500
1, 5, 86411.4, 299.035, 314.223, 86.4488, 235.945, 1652.94, 0.92, 500
1, 6, 86355.8, 294.802, 309.643, 67.216, 274.092, 1698.42, 0.78, 500
1, 7, 86303.6, 288.079, 303.798, 59.1029, 300.514, 1744.91, 0.78, 500
1, 8, 86253.3, 280.736, 286.429, 66.1661, 321.048, 1792.3, 0.96, 500
1, 9, 86204.5, 273.405, 274.273, 60.284, 347.116, 1840.42, 0.9, 500
1, 10, 86158.2, 265.017, 266.959, 55.3823, 365.322, 1889.11, 0.82, 500
1, 11, 86113.6, 256.592, 254.993, 61.3274, 375.228, 1938.23, 0.98, 500
1, 12, 86069.9, 248.996, 249.702, 57.3424, 386.426, 1987.62, 0.86, 500
1, 13, 86027.5, 241.616, 245.725, 46.1863, 401.824, 2037.16, 0.8, 500
1, 14, 85987.2, 233.602, 237, 51.3843, 404.122, 2086.71, 0.94, 500
1, 15, 85947.4, 226.685, 234.776, 43.7301, 411.256, 2136.17, 0.86, 500
1, 16, 85909, 219.77, 219.742, 33.2076, 432.881, 2185.44, 0.86, 500
1, 17, 85874.1, 210.696, 213.814, 32.0218, 434.961, 2234.43, 0.92, 500
1, 18, 85840.2, 202.443, 209.039, 28.3763, 436.892, 2283.06, 0.9, 500
1, 19, 85807.5, 194.667, 201.449, 32.496, 432.686, 2331.22, 0.94, 500
1, 20, 85775.3, 187.955, 187.314, 36.8549, 433.78, 2378.84, 0.98, 500
1, 21, 85744.4, 181.228, 179.248, 26.4997, 442.795, 2425.84, 0.86, 500
