Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86669.4, 273.317, 379.35, 133.029, 62.65, 1482.3, 0.6868, 500
1, 86598.1, 289.934, 366.268, 106.246, 116.105, 1523.37, 0.7164, 500
2, 86532.4, 297.627, 354.697, 87.2727, 162.592, 1565.41, 0.7662, 500
3, 86471, 299.49, 343.699, 75.2066, 201.998, 1608.6, 0.8072, 500
4, 86412.9, 297.735, 333.158, 66.6141, 236.68, 1652.95, 0.832, 500
5, 86357.4, 293.638, 323.424, 60.83, 266.284, 1698.41, 0.8374, 500
6, 86304.2, 288.174, 314.821, 55.2933, 292.684, 1744.87, 0.8252, 500
7, 86252.9, 281.811, 306.318, 51.0842, 315.688, 1792.22, 0.8402, 500
8, 86203.4, 274.93, 297.122, 48.224, 336.029, 1840.29, 0.8438, 500
9, 86155.6, 267.729, 287.359, 46.4052, 353.927, 1888.96, 0.8684, 500
10, 86109.5, 260.34, 279.256, 42.5443, 370.316, 1938.08, 0.8264, 500
11, 86065, 252.75, 271.056, 40.5158, 383.175, 1987.52, 0.8316, 500
12, 86021.9, 245.242, 262.36, 39.3768, 393.935, 2037.15, 0.8596, 500
13, 85980.3, 237.857, 253.464, 38.4687, 403.097, 2086.84, 0.8656, 500
14, 85940, 230.575, 244.56, 37.1224, 411.274, 2136.48, 0.8668, 500
15, 85901.1, 223.316, 235.301, 35.3153, 418.958, 2185.98, 0.8664, 500
16, 85863.8, 215.966, 226.599, 33.4417, 424.942, 2235.23, 0.8678, 500
17, 85828, 208.612, 218.558, 30.921, 429.769, 2284.16, 0.8504, 500
18, 85793.6, 201.259, 210.143, 29.5091, 432.801, 2332.68, 0.8644, 500
19, 85760.6, 194.01, 201.489, 27.5969, 435.587, 2380.71, 0.8444, 500
20, 85729.1, 186.743, 193.288, 26.6362, 436.074, 2428.19, 0.8646, 500
21, 85698.8, 179.657, 185.856, 25.1582, 435.475, 2475.05, 0.8414, 500
22, 85669.8, 172.752, 178.232, 24.2306, 433.78, 2521.22, 0.8708, 500
23, 85641.9, 166.042, 170.897, 22.8149, 431.636, 2566.67, 0.8606, 500
24, 85615.3, 159.462, 163.676, 21.9278, 428.285, 2611.34, 0.8558, 500
25, 85589.8, 153.076, 156.659, 21.5993, 423.673, 2655.19, 0.8622, 500
26, 85565.3, 146.95, 149.77, 20.211, 419.571, 2698.18, 0.867, 500
27, 85542, 140.906, 143.365, 18.7144, 414.751, 2740.29, 0.8532, 500
28, 85519.7, 134.979, 136.811, 17.562, 409.436, 2781.49, 0.887, 500
29, 85498.5, 129.173, 130.866, 16.7763, 402.891, 2821.77, 0.8744, 500
