Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 97470, 273, 445.9, 191.1, 0, 1620, 1, 0
0, 1, 97381.3, 307.098, 438.27, 139.83, 68, 1665.5, 0.4, 400
0, 2, 97300.9, 326.101, 427.959, 120.268, 113.143, 1711.65, 0.75, 400
0, 3, 97224.7, 337.085, 421.044, 112.244, 146.061, 1758.89, 0.8, 400
0, 4, 97150.6, 343.738, 421.162, 101.451, 175.628, 1807.42, 0.75, 400
0, 5, 97078.1, 347.522, 416.202, 98.829, 202.083, 1857.29, 0.85, 400
0, 6, 97006.6, 349.444, 414.126, 87.6211, 233.649, 1908.51, 0.7, 400
0, 7, 96937.1, 349.087, 408.468, 82.329, 261.96, 1961.04, 0.85, 400
0, 8, 96869.1, 347.236, 413.164, 74.3936, 281.248, 2014.81, 0.75, 400
0, 9, 96801.7, 345.259, 409.265, 68.914, 305.159, 2069.72, 0.75, 400
0, 10, 96735.6, 342.334, 405.368, 64.7071, 326.362, 2125.68, 0.85, 400
0, 11, 96670.6, 338.829, 399.34, 58.6252, 350.05, 2182.56, 0.75, 400
0, 12, 96607.3, 334.308, 396.252, 45.7674, 376.047, 2240.28, 0.8, 400
0, 13, 96546.3, 328.45, 389.751, 42.5568, 394.186, 2298.71, 0.85, 400
0, 14, 96486.7, 322.385, 386.895, 40.2241, 406.03, 2357.75, 0.7, 400
0, 15, 96427.8, 316.782, 377.394, 33.694, 427.028, 2417.26, 0.8, 400
0, 16, 96371.2, 310.054, 369.786, 31.2942, 440.526, 2477.13, 0.85, 400
0, 17, 96316, 303.262, 363.781, 36.6622, 443.06, 2537.24, 0.9, 400
0, 18, 96260.9, 297.708, 351.253, 41.2391, 451.413, 2597.49, 0.9, 400
0, 19, 96206.9, 292.14, 351.843, 38.156, 453.169, 2657.77, 0.65, 400
0, 20, 96153.3, 287.313, 352.611, 47.9589, 440.8, 2718, 1, 400
0, 21, 96098.3, 284.873, 352.648, 43.7721, 442.314, 2778.09, 0.75, 400
0, 22, 96043.9, 282.32, 344.341, 53.7379, 437.72, 2838, 0.95, 400
0, 23, 95989.3, 280.475, 331.27, 53.8387, 447.454, 2897.7, 0.95, 400
0, 24, 95936.5, 277.189, 323.874, 59.8216, 445.493, 2957.17, 0.9, 400
0, 25, 95883.9, 274.338, 321.547, 49.1799, 454.672, 3016.4, 0.7, 400
0, 26, 95833.1, 270.251, 308.987, 59.1273, 453.196, 3075.36, 1, 400
0, 27, 95782.7, 266.597, 310.751, 52.119, 453.825, 3134.02, 0.85, 400
0, 28, 95733, 262.93, 312.878, 47.3921, 451.409, 3192.36, 0.55, 400
0, 29, 95683.8, 259.615, 309.34, 40.7827, 456.165, 3250.33, 0.7, 400
0, 30, 95635.9, 255.551, 301.591, 48.4466, 450.582, 3307.93, 0.95, 400
1, 0, 97470, 273, 445.9, 191.1, 0, 1620, 1, 0
1, 1, 97381.3, 307.098, 442.27, 144.83, 59, 1665.5, 0.4, 400
1, 2, 97299.6, 327.353, 437.673, 117.911, 105.786, 1711.65, 0.75, 400
1, 3, 97222.4, 339.108, 431.24, 103.13, 145.23, 1758.89, 0.8, 400
1, 4, 97148.2, 345.505, 422.912, 90.1099, 185.856, 1807.43, 0.7, 400
