Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 170417, 537.421, 768.083, 258.603, 103.99, 2914.62, 0.501, 700
1, 170274, 572.765, 758.638, 209.486, 189.272, 2995.39, 0.6255, 700
2, 170140, 592.781, 750.477, 176.979, 261.823, 3078.06, 0.6995, 700
3, 170011, 603.039, 743.651, 155.344, 323.891, 3163.01, 0.74, 700
4, 169886, 607.198, 735.838, 141.911, 378.396, 3250.36, 0.776, 700
5, 169765, 607.487, 729.556, 133.356, 424.948, 3340.08, 0.799, 700
6, 169645, 605.574, 724.143, 123.62, 469.604, 3432.07, 0.7785, 700
7, 169528, 601.863, 717.239, 117.864, 509.281, 3526.17, 0.8165, 700
8, 169412, 597.06, 711.059, 113.617, 544.054, 3622.2, 0.796, 700
9, 169298, 591.697, 703.197, 111.505, 575.673, 3719.96, 0.831, 700
10, 169185, 585.951, 697.066, 106.182, 606.153, 3819.27, 0.8015, 700
11, 169074, 579.698, 689.479, 104.035, 632.407, 3919.95, 0.8215, 700
12, 168965, 573.279, 681.868, 102.486, 655.655, 4021.8, 0.8245, 700
13, 168857, 566.809, 673.782, 100.892, 677.132, 4124.66, 0.826, 700
14, 168750, 560.23, 665.898, 99.884, 695.686, 4228.36, 0.8335, 700
15, 168644, 553.674, 658.316, 97.9332, 712.874, 4332.75, 0.8245, 700
16, 168540, 547.051, 649.348, 96.1684, 729.404, 4437.68, 0.8335, 700
17, 168438, 540.211, 640.543, 95.2023, 743.234, 4543.04, 0.8305, 700
18, 168337, 533.334, 631.409, 92.6648, 757.306, 4648.68, 0.829, 700
19, 168237, 526.167, 622.465, 91.0559, 768.713, 4754.49, 0.835, 700
20, 168139, 518.926, 613.827, 90.5219, 777.245, 4860.36, 0.8305, 700
21, 168042, 511.816, 605.332, 88.2416, 785.977, 4966.19, 0.826, 700
22, 167947, 504.595, 597.148, 84.8876, 794.196, 5071.87, 0.8285, 700
23, 167854, 497.183, 588.068, 84.5799, 799.058, 5177.32, 0.8335, 700
24, 167762, 489.914, 578.889, 83.1095, 804.022, 5282.44, 0.825, 700
25, 167671, 482.59, 570.048, 82.5179, 806.722, 5387.16, 0.84, 700
26, 167582, 475.391, 561.252, 82.2692, 808.049, 5491.39, 0.837, 700
27, 167494, 468.346, 552.928, 78.8063, 811.231, 5595.08, 0.8205, 700
28, 167407, 461.053, 543.451, 76.218, 813.896, 5698.14, 0.83, 700
29, 167323, 453.525, 534.331, 75.2971, 813.751, 5800.54, 0.845, 700
