S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number
86708.8, 233.846, 361.52, 161.509, 52, 1482.3, 523.029, 0, 89000, 1, 0.00637, 500
86672.4, 223.475, 337.436, 151.003, 92.2857, 1523.37, 488.439, 0, 89000, 1, 0.00637, 500
86638.5, 212.756, 314.62, 135.626, 133.694, 1564.85, 450.246, 0, 89000, 1, 0.00637, 500
86607.1, 201.512, 300.933, 122.703, 161.144, 1606.56, 423.636, 0, 89000, 1, 0.00637, 500
86577.7, 190.656, 276.649, 112.03, 194.634, 1648.33, 388.679, 0, 89000, 1, 0.00637, 500
86550.7, 179.532, 252.58, 105.467, 221.732, 1689.99, 358.047, 0, 89000, 1, 0.00637, 500
86525.8, 168.496, 235.673, 95.7054, 242.894, 1731.41, 331.379, 0, 89000, 1, 0.00637, 500
86502.8, 157.809, 220.429, 86.9791, 259.544, 1772.43, 307.408, 0, 89000, 1, 0.00637, 500
86481.5, 147.589, 204.777, 78.2348, 275.005, 1812.92, 283.012, 0, 89000, 1, 0.00637, 500
86461.8, 137.714, 181.813, 70.502, 295.362, 1852.78, 252.315, 0, 89000, 1, 0.00637, 500
86444.3, 127.68, 168.106, 68.7289, 299.265, 1891.9, 236.835, 0, 89000, 1, 0.00637, 500
86427.9, 118.575, 160.974, 61.4805, 300.889, 1930.19, 222.454, 0, 89000, 1, 0.00637, 500
86412.5, 110.29, 145.076, 53.2035, 311.397, 1967.58, 198.28, 0, 89000, 1, 0.00637, 500
86398.7, 101.983, 131.154, 50.0207, 314.154, 2003.98, 181.175, 0, 89000, 1, 0.00637, 500
86386.1, 94.1494, 117.064, 47.5668, 315.714, 2039.36, 164.63, 0, 89000, 1, 0.00637, 500
86374.7, 86.7335, 109.883, 41.8181, 313.163, 2073.67, 151.701, 0, 89000, 1, 0.00637, 500
86364.2, 79.9029, 101.177, 35.0351, 312.795, 2106.88, 136.212, 0, 89000, 1, 0.00637, 500
86354.8, 73.3636, 97.1363, 35.3268, 300.452, 2138.95, 132.463, 0, 89000, 1, 0.00637, 500
86345.6, 67.8713, 89.4689, 31.2053, 295.991, 2169.87, 120.674, 0, 89000, 1, 0.00637, 500
86337.2, 62.6596, 81.5802, 28.0486, 290.849, 2199.63, 109.629, 0, 89000, 1, 0.00637, 500
86329.6, 57.724, 74.5254, 25.8047, 284.074, 2228.24, 100.33, 0, 89000, 1, 0.00637, 500
86322.7, 53.1306, 67.2835, 23.425, 277.783, 2255.7, 90.7085, 0, 89000, 1, 0.00637, 500
86316.4, 48.7888, 61.9158, 23.9396, 266.941, 2282.02, 85.8554, 0, 89000, 1, 0.00637, 500
86310.5, 44.9786, 58.3237, 21.1569, 257.874, 2307.22, 79.4806, 0, 89000, 1, 0.00637, 500
86304.9, 41.4885, 47.4547, 17.3444, 257.455, 2331.31, 64.7992, 0, 89000, 1, 0.00637, 500
86300.5, 37.6792, 45.8735, 13.5949, 248.065, 2354.33, 59.4684, 0, 89000, 1, 0.00637, 500
86296.3, 34.2622, 40.8719, 11.8846, 240.346, 2376.3, 52.7565, 0, 89000, 1, 0.00637, 500
86292.7, 31.0636, 37.7492, 10.0914, 231.178, 2397.23, 47.8406, 0, 89000, 1, 0.00637, 500
86289.4, 28.1641, 38.4017, 8.2344, 218.666, 2417.16, 46.6361, 0, 89000, 1, 0.00637, 500
86286.1, 25.761, 34.6017, 6.33607, 211.047, 2436.11, 40.9378, 0, 89000, 1, 0.00637, 500
86708.8, 233.846, 367.52, 155.509, 52, 1482.3, 523.029, 1, 89000, 1, 0.00637, 500
86672.4, 223.475, 339.007, 141.432, 100.286, 1523.37, 480.439, 1, 89000, 1, 0.00637, 500
86639, 212.199, 325.079, 124.738, 134.122, 1564.85, 449.817, 1, 89000, 1, 0.00637, 500
86607.7, 201.037, 294.567, 119.56, 170.542, 1606.56, 414.127, 1, 89000, 1, 0.00637, 500
86578.9, 189.615, 269.672, 112.082, 201.361, 1648.32, 381.754, 1, 89000, 1, 0.00637, 500
86552.4, 178.218, 254.955, 99.4533, 224.978, 1689.97, 354.409, 1, 89000, 1, 0.00637, 500
86527.8, 167.193, 235.695, 90.0426, 247.908, 1731.36, 325.737, 1, 89000, 1, 0.00637, 500
86505.2, 156.375, 215.267, 84.6426, 266.2, 1772.33, 299.909, 1, 89000, 1, 0.00637, 500
86484.4, 145.922, 195.783, 81.9792, 279.186, 1812.77, 277.762, 1, 89000, 1, 0.00637, 500
86465.1, 136.017, 181.228, 77.8788, 287.244, 1852.55, 259.106, 1, 89000, 1, 0.00637, 500
86447.1, 126.794, 166.325, 73.4771, 294.727, 1891.57, 239.802, 1, 89000, 1, 0.00637, 500
86430.5, 118.073, 153.196, 64.8363, 303.675, 1929.76, 218.032, 1, 89000, 1, 0.00637, 500
86415.3, 109.582, 140.783, 56.2895, 310.984, 1967.02, 197.073, 1, 89000, 1, 0.00637, 500
86401.7, 101.334, 133.069, 50.8438, 309.771, 2003.31, 183.913, 1, 89000, 1, 0.00637, 500
86388.9, 93.82, 121.751, 47.2921, 309.644, 2038.57, 169.043, 1, 89000, 1, 0.00637, 500
86377.2, 86.7762, 115.189, 43.5433, 304.527, 2072.76, 158.732, 1, 89000, 1, 0.00637, 500
86366.2, 80.4249, 101.11, 41.6396, 304.775, 2105.85, 142.75, 1, 89000, 1, 0.00637, 500
86356.3, 74.2346, 95.1473, 40.4909, 296.005, 2137.82, 135.638, 1, 89000, 1, 0.00637, 500
86346.9, 68.7883, 85.7439, 37.0527, 292.862, 2168.65, 122.797, 1, 89000, 1, 0.00637, 500
86338.4, 63.5404, 74.2497, 33.5334, 291.943, 2198.34, 107.783, 1, 89000, 1, 0.00637, 500
86330.9, 58.3008, 70.8418, 29.9506, 283.09, 2226.89, 100.792, 1, 89000, 1, 0.00637, 500
86323.9, 53.6242, 61.9438, 29.3093, 276.869, 2254.31, 91.2531, 1, 89000, 1, 0.00637, 500
86317.6, 49.2215, 54.0266, 28.4332, 270.093, 2280.61, 82.4599, 1, 89000, 1, 0.00637, 500
86311.9, 45.0896, 48.0586, 20.3556, 268.801, 2305.79, 68.4142, 1, 89000, 1, 0.00637, 500
86307.2, 40.8108, 41.9384, 17.607, 262.601, 2329.88, 59.5454, 1, 89000, 1, 0.00637, 500
86303, 36.7732, 37.6563, 15.798, 253.843, 2352.89, 53.4543, 1, 89000, 1, 0.00637, 500
86299.3, 33.121, 34.1148, 15.876, 242.712, 2374.84, 49.9908, 1, 89000, 1, 0.00637, 500
86295.9, 29.9593, 31.315, 13.7292, 233.375, 2395.75, 45.0442, 1, 89000, 1, 0.00637, 500
86292.8, 27.0871, 31.2725, 10.5461, 222.706, 2415.63, 41.8186, 1, 89000, 1, 0.00637, 500
86289.9, 24.5659, 29.831, 8.41805, 212.798, 2434.53, 38.249, 1, 89000, 1, 0.00637, 500
86708.8, 233.846, 360.52, 162.509, 52, 1482.3, 523.029, 2, 89000, 1, 0.00637, 500
86672.4, 223.475, 334.507, 148.932, 97.2857, 1523.37, 483.439, 2, 89000, 1, 0.00637, 500
86638.8, 212.408, 313.9, 138.702, 131.337, 1564.85, 452.603, 2, 89000, 1, 0.00637, 500
86607.3, 201.397, 283.216, 129.539, 171.956, 1606.56, 412.755, 2, 89000, 1, 0.00637, 500
86578.6, 189.808, 263.182, 122.37, 197.673, 1648.32, 385.552, 2, 89000, 1, 0.00637, 500
86551.9, 178.637, 239.956, 104.018, 235.554, 1689.98, 343.975, 2, 89000, 1, 0.00637, 500
86528, 166.803, 227.826, 93.3065, 252.728, 1731.38, 321.132, 2, 89000, 1, 0.00637, 500
86505.7, 155.743, 205.905, 85.6499, 274.676, 1772.37, 291.555, 2, 89000, 1, 0.00637, 500
86485.4, 144.836, 187.001, 81.8767, 288.057, 1812.81, 268.878, 2, 89000, 1, 0.00637, 500
86466.8, 134.532, 169.921, 74.7185, 301.481, 1852.59, 244.64, 2, 89000, 1, 0.00637, 500
86449.8, 124.603, 162.619, 64.4534, 306.947, 1891.6, 227.072, 2, 89000, 1, 0.00637, 500
86434, 115.437, 144.447, 57.3257, 319.022, 1929.75, 201.773, 2, 89000, 1, 0.00637, 500
86420, 106.346, 132.291, 48.1572, 326.235, 1966.95, 180.448, 2, 89000, 1, 0.00637, 500
86407.5, 97.5924, 117.73, 41.0982, 332.932, 2003.14, 158.828, 2, 89000, 1, 0.00637, 500
86396.5, 89.0884, 105.984, 36.0182, 334.151, 2038.26, 142.002, 2, 89000, 1, 0.00637, 500
86386.6, 81.117, 94.8857, 34.7907, 330.283, 2072.27, 129.676, 2, 89000, 1, 0.00637, 500
86377.7, 73.8842, 91.4645, 34.1727, 317.692, 2105.13, 125.637, 2, 89000, 1, 0.00637, 500
86368.9, 67.817, 81.2751, 34.1648, 310.999, 2136.8, 115.44, 2, 89000, 1, 0.00637, 500
86360.9, 62.2556, 71.9641, 33.7935, 303.785, 2167.26, 105.758, 2, 89000, 1, 0.00637, 500
86353.6, 57.1346, 63.5396, 30.115, 299.086, 2196.51, 93.6546, 2, 89000, 1, 0.00637, 500
86347.1, 52.1984, 53.9999, 29.392, 292.723, 2224.56, 83.3919, 2, 89000, 1, 0.00637, 500
86341.3, 47.5377, 48.4505, 27.4245, 283.814, 2251.43, 75.875, 2, 89000, 1, 0.00637, 500
86336.1, 43.2879, 45.6451, 26.3179, 271.542, 2277.12, 71.9629, 2, 89000, 1, 0.00637, 500
86331.1, 39.6167, 39.445, 25.0353, 263.146, 2301.65, 64.4803, 2, 89000, 1, 0.00637, 500
86326.6, 36.161, 37.1738, 23.6241, 251.35, 2325.06, 60.7979, 2, 89000, 1, 0.00637, 500
86322.4, 33.141, 36.5811, 23.1063, 237.396, 2347.35, 59.6874, 2, 89000, 1, 0.00637, 500
86318.3, 30.648, 34.6079, 22.4443, 225.439, 2368.57, 57.0522, 2, 89000, 1, 0.00637, 500
86314.3, 28.4707, 33.4266, 18.68, 216.337, 2388.75, 52.1067, 2, 89000, 1, 0.00637, 500
86310.7, 26.3862, 30.0249, 13.054, 211.884, 2407.93, 43.0789, 2, 89000, 1, 0.00637, 500
86307.7, 24.093, 26.5743, 12.7047, 202.749, 2426.14, 39.2791, 2, 89000, 1, 0.00637, 500
86708.8, 233.846, 370.52, 160.509, 44, 1482.3, 531.029, 3, 89000, 1, 0.00637, 500
86671.9, 224.031, 348.793, 148.075, 83.8571, 1523.37, 496.868, 3, 89000, 1, 0.00637, 500
86637.3, 213.787, 326.244, 133.94, 123.867, 1564.85, 460.183, 3, 89000, 1, 0.00637, 500
86605.3, 203.027, 297.871, 128.2, 159.02, 1606.57, 426.071, 3, 89000, 1, 0.00637, 500
86575.7, 192.037, 278.018, 119.224, 186.661, 1648.36, 397.242, 3, 89000, 1, 0.00637, 500
86548.1, 181.231, 259.045, 110.231, 211.328, 1690.07, 369.275, 3, 89000, 1, 0.00637, 500
86522.4, 170.635, 236.914, 101.231, 237.233, 1731.54, 338.145, 3, 89000, 1, 0.00637, 500
86499, 159.989, 223.88, 91.2381, 253.288, 1772.64, 315.118, 3, 89000, 1, 0.00637, 500
86477.1, 149.867, 210.287, 84.3204, 265.196, 1813.24, 294.608, 3, 89000, 1, 0.00637, 500
86456.6, 140.34, 197.248, 83.2895, 269.254, 1853.22, 280.538, 3, 89000, 1, 0.00637, 500
86437.2, 131.738, 178.807, 78.7607, 281.021, 1892.49, 257.567, 3, 89000, 1, 0.00637, 500
86419.3, 123.258, 163.478, 68.0392, 294.948, 1930.96, 231.517, 3, 89000, 1, 0.00637, 500
86403.3, 114.664, 153.057, 61.5748, 298.88, 1968.57, 214.632, 3, 89000, 1, 0.00637, 500
