Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
0, 1, 86728.6, 214.111, 370.52, 156.509, 48, 1482.3, 0.94, 500
0, 2, 86710.2, 189.631, 344.03, 140.176, 92.5714, 1523.37, 0.94, 500
0, 3, 86693.4, 168.553, 314.005, 123.541, 135.959, 1564.57, 0.96, 500
0, 4, 86678.2, 150.064, 292.173, 86.8303, 187.248, 1605.53, 0.7, 500
0, 5, 86665, 133.234, 274.313, 58.6319, 222.873, 1645.98, 0.72, 500
0, 6, 86653.4, 118.166, 244.372, 46.438, 251.953, 1685.68, 0.88, 500
0, 7, 86643.3, 104.645, 217.46, 37.2109, 272.957, 1724.45, 0.94, 500
0, 8, 86634.4, 92.5706, 194.577, 22.8317, 293.46, 1762.14, 0.86, 500
0, 9, 86626.9, 81.6147, 171.639, 23.7551, 297.498, 1798.63, 1, 500
0, 10, 86620.1, 72.0841, 153.805, 20.9552, 299.249, 1833.83, 1, 500
0, 11, 86614, 63.7418, 133.911, 15.7835, 304.874, 1867.69, 0.92, 500
0, 12, 86608.8, 56.1963, 119.27, 12.4806, 303.097, 1900.16, 0.88, 500
0, 13, 86604.2, 49.536, 104.618, 13.9609, 296.447, 1931.22, 0.9, 500
0, 14, 86600.1, 43.7498, 91.0801, 11.9358, 292.272, 1960.87, 0.88, 500
0, 15, 86596.5, 38.5797, 78.6994, 8.70827, 288.396, 1989.1, 0.9, 500
0, 16, 86593.5, 33.9012, 66.4791, 9.40103, 280.796, 2015.94, 1, 500
0, 17, 86590.8, 29.7577, 57.4768, 5.7636, 274.739, 2041.42, 0.84, 500
0, 18, 86588.6, 26.0036, 46.5374, 2.13738, 271.115, 2065.56, 0.98, 500
0, 19, 86587, 22.4942, 42.8538, 3.54492, 255.75, 2088.4, 0.78, 500
0, 20, 86585.3, 19.6075, 35.942, 2.64136, 246.482, 2109.99, 0.88, 500
0, 21, 86584, 17.0266, 31.1198, 2.62914, 234.876, 2130.35, 0.96, 500
0, 22, 86582.8, 14.7939, 26.2806, 2.46294, 224.099, 2149.53, 0.92, 500
0, 23, 86581.8, 12.8338, 20.4746, 1.17465, 216.092, 2167.6, 0.84, 500
0, 24, 86581.1, 11.0192, 19.8088, 1.86077, 201.657, 2184.58, 0.94, 500
0, 25, 86580.3, 9.56824, 16.9366, 2.38901, 190.253, 2200.53, 0.86, 500
0, 26, 86579.7, 8.32603, 16.0664, 2.79246, 177.663, 2215.5, 0.64, 500
0, 27, 86579, 7.31604, 14.0845, 2.09256, 167.973, 2229.54, 0.96, 500
0, 28, 86578.4, 6.41486, 12.1027, 0.382056, 159.975, 2242.69, 1, 500
0, 29, 86578, 5.56564, 12.1363, 0.739658, 148.548, 2255.01, 1, 500
0, 30, 86577.6, 4.89985, 10.0486, 1.02076, 139.938, 2266.54, 0.94, 500
1, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
1, 1, 86728.6, 214.111, 372.52, 142.509, 60, 1482.3, 0.82, 500
1, 2, 86710.6, 189.213, 342.887, 131.176, 102.714, 1523.37, 0.92, 500
1, 3, 86694.1, 167.866, 325.885, 88.1593, 159.378, 1564.57, 0.62, 500
1, 4, 86679.7, 148.697, 305.109, 61.9341, 198.993, 1605.53, 0.68, 500
1, 5, 86667, 131.725, 273.133, 53.4321, 228.78, 1645.96, 0.9, 500
1, 6, 86655.6, 116.737, 253.065, 46.519, 242.438, 1685.62, 0.88, 500
1, 7, 86645.2, 103.807, 220.332, 36.2004, 270.121, 1724.34, 0.92, 500
1, 8, 86636.3, 91.9652, 193.127, 36.8431, 279.827, 1761.96, 1, 500
1, 9, 86628.3, 81.5672, 173.207, 26.7294, 291.839, 1798.37, 0.84, 500
1, 10, 86621.3, 72.2041, 152.255, 14.7142, 305.994, 1833.5, 0.8, 500
1, 11, 86615.5, 63.5671, 135.488, 14.9954, 303.137, 1867.28, 1, 500
1, 12, 86610.3, 56.0841, 116.71, 11.7383, 305.484, 1899.68, 0.98, 500
1, 13, 86605.8, 49.3315, 101.225, 9.26492, 303.664, 1930.68, 0.9, 500
1, 14, 86602, 43.3051, 91.9012, 6.56303, 295.974, 1960.26, 0.84, 500
1, 15, 86598.6, 38.0659, 79.3995, 4.69255, 290.833, 1988.44, 0.98, 500
1, 16, 86595.7, 33.375, 68.0574, 3.64132, 284.059, 2015.22, 0.86, 500
1, 17, 86593.2, 29.1915, 58.8686, 4.38373, 273.769, 2040.63, 0.94, 500
1, 18, 86591, 25.5511, 48.7505, 2.8221, 267.214, 2064.7, 0.92, 500
1, 19, 86589.2, 22.2329, 46.8455, 4.15359, 250.127, 2087.47, 0.9, 500
1, 20, 86587.4, 19.5584, 39.612, 4.19088, 240.261, 2108.98, 0.98, 500
1, 21, 86585.9, 17.1687, 30.5208, 4.06503, 233.1, 2129.27, 0.9, 500
1, 22, 86584.7, 14.9367, 27.7443, 4.80479, 219.45, 2148.39, 0.9, 500
1, 23, 86583.5, 13.0802, 22.8537, 3.35779, 210.775, 2166.39, 0.94, 500
1, 24, 86582.6, 11.3749, 19.0525, 0.902766, 202.719, 2183.32, 0.92, 500
1, 25, 86581.9, 9.79326, 18.2841, 1.52078, 189.239, 2199.22, 0.98, 500
1, 26, 86581.3, 8.52271, 13.3492, 1.99975, 180.722, 2214.15, 0.84, 500
1, 27, 86580.7, 7.35144, 10.5888, 2.36827, 170.814, 2228.16, 0.98, 500
1, 28, 86580.3, 6.33133, 9.8617, 2.64019, 159.613, 2241.29, 0.92, 500
1, 29, 86579.8, 5.49942, 10.0437, 0.831488, 150.212, 2253.58, 0.9, 500
1, 30, 86579.5, 4.77737, 8.09619, 0.102062, 142.482, 2265.09, 0.7, 500
2, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
2, 1, 86728.6, 214.111, 384.52, 123.509, 67, 1482.3, 0.54, 500
2, 2, 86710.9, 188.97, 362.03, 99.5333, 115.214, 1523.37, 0.74, 500
2, 3, 86694.8, 167.236, 337.627, 72.762, 162.985, 1564.57, 0.78, 500
2, 4, 86680.5, 148.066, 310.924, 67.5989, 187.343, 1605.52, 1, 500
2, 5, 86667.4, 131.619, 290.444, 50.6544, 213.961, 1645.94, 0.74, 500
2, 6, 86655.5, 117.158, 257.125, 36.9333, 247.678, 1685.59, 0.86, 500
2, 7, 86645.3, 103.952, 228.161, 36.3247, 261.987, 1724.28, 0.96, 500
2, 8, 86636.1, 92.3576, 209.417, 27.9672, 272.274, 1761.89, 0.68, 500
2, 9, 86627.8, 82.1389, 189.389, 15.511, 286.826, 1798.29, 0.92, 500
2, 10, 86620.7, 72.8339, 166.36, 13.3314, 293.338, 1833.42, 0.88, 500
2, 11, 86614.5, 64.5131, 145.674, 11.7492, 296.385, 1867.2, 0.98, 500
2, 12, 86609, 57.0821, 127.301, 9.78078, 297.215, 1899.62, 0.96, 500
2, 13, 86604.2, 50.4299, 110.199, 12.5071, 291.985, 1930.64, 1, 500
2, 14, 86600, 44.6083, 99.388, 7.63951, 288.129, 1960.26, 0.92, 500
2, 15, 86596.3, 39.406, 87.5341, 7.77033, 280.549, 1988.49, 0.9, 500
2, 16, 86592.9, 34.8366, 74.7985, 8.57966, 273.509, 2015.33, 0.84, 500
2, 17, 86590, 30.7665, 64.3328, 7.05702, 266.973, 2040.83, 0.96, 500
2, 18, 86587.6, 27.0938, 53.045, 4.39894, 262.903, 2064.99, 0.94, 500
2, 19, 86585.6, 23.671, 49.0492, 4.71036, 249.125, 2087.88, 0.56, 500
2, 20, 86583.7, 20.8047, 42.8596, 3.79417, 239.33, 2109.51, 0.9, 500
2, 21, 86582.1, 18.2647, 33.7109, 1.77144, 234.235, 2129.94, 0.92, 500
2, 22, 86580.8, 15.8446, 27.86, 2.74079, 223.504, 2149.2, 0.9, 500
2, 23, 86579.8, 13.7388, 24.0882, 2.4957, 212.539, 2167.35, 0.82, 500
2, 24, 86578.9, 11.9147, 21.2911, 2.14176, 201.358, 2184.43, 0.98, 500
2, 25, 86578, 10.3459, 18.4384, 2.70366, 189.975, 2200.49, 0.88, 500
2, 26, 86577.3, 9.01122, 17.5697, 1.13129, 179.406, 2215.57, 0.96, 500
2, 27, 86576.7, 7.85869, 17.5763, 0.59116, 167.591, 2229.72, 0.94, 500
2, 28, 86576, 6.91812, 15.4211, 1.02046, 157.62, 2242.99, 0.92, 500
2, 29, 86575.5, 6.1057, 11.2881, 1.36265, 150.362, 2255.42, 0.9, 500
2, 30, 86575, 5.32407, 11.3366, 1.63166, 139.621, 2267.07, 0.74, 500
3, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
3, 1, 86728.6, 214.111, 381.52, 119.509, 74, 1482.3, 0.66, 500
3, 2, 86711.1, 188.726, 360.244, 90.819, 125.714, 1523.37, 0.64, 500
3, 3, 86695.4, 166.676, 334.934, 74.6555, 163.735, 1564.57, 0.84, 500
3, 4, 86681.2, 147.59, 310.345, 50.3236, 205.039, 1605.52, 0.74, 500
3, 5, 86668.6, 130.618, 283.84, 33.5844, 237.394, 1645.93, 0.86, 500
3, 6, 86657.6, 115.534, 265.852, 24.0226, 251.437, 1685.56, 0.66, 500
3, 7, 86647.5, 102.507, 233.038, 27.2387, 265.477, 1724.22, 1, 500
3, 8, 86638.5, 91.0556, 205.743, 27.4435, 275.515, 1761.78, 1, 500
3, 9, 86630.4, 80.9516, 184.795, 18.9466, 286.835, 1798.11, 0.84, 500
3, 10, 86623.3, 71.8441, 159.929, 16.4504, 295.347, 1833.15, 0.98, 500
3, 11, 86617.1, 63.6063, 140.563, 11.586, 300.251, 1866.85, 0.96, 500
3, 12, 86611.9, 56.1734, 126.428, 8.57482, 297.804, 1899.16, 0.84, 500
3, 13, 86607.2, 49.6309, 109.262, 6.33274, 297.532, 1930.08, 0.9, 500
3, 14, 86603.1, 43.7221, 95.4056, 4.85825, 293.28, 1959.59, 0.86, 500
3, 15, 86599.7, 38.4621, 87.712, 2.13456, 284.331, 1987.7, 0.88, 500
3, 16, 86596.5, 33.8919, 74.8315, 2.28982, 278.022, 2014.42, 0.9, 500
