Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86669.4, 273.317, 379.43, 132.199, 63.4, 1482.3, 0.707, 500
1, 86598.2, 289.829, 365.403, 105.335, 117.881, 1523.37, 0.7508, 500
2, 86532.7, 297.297, 352.848, 88.3308, 163.361, 1565.41, 0.8142, 500
3, 86471.5, 299.116, 341.717, 75.0993, 204.003, 1608.59, 0.8168, 500
4, 86413.6, 297.146, 331.524, 64.902, 239.871, 1652.94, 0.835, 500
5, 86358.6, 292.703, 321.085, 59.9549, 269.237, 1698.39, 0.8652, 500
6, 86305.8, 286.981, 310.768, 54.5646, 297.036, 1744.84, 0.8576, 500
7, 86255.2, 280.196, 300.908, 50.556, 320.989, 1792.15, 0.8664, 500
8, 86206.5, 272.817, 290.732, 47.7866, 341.941, 1840.18, 0.8786, 500
9, 86159.7, 265.095, 281.9, 43.9823, 360.537, 1888.79, 0.855, 500
10, 86114.6, 257.145, 273.438, 40.9864, 375.984, 1937.82, 0.8708, 500
11, 86071.2, 249.177, 264.487, 39.3375, 388.698, 1987.13, 0.889, 500
12, 86029.2, 241.317, 255.61, 36.9784, 400.304, 2036.6, 0.8808, 500
13, 85988.8, 233.456, 245.586, 36.2561, 409.821, 2086.09, 0.901, 500
14, 85949.9, 225.666, 236.018, 35.1837, 417.748, 2135.49, 0.89, 500
15, 85912.5, 217.948, 226.973, 33.7106, 424.189, 2184.7, 0.8926, 500
16, 85876.5, 210.307, 218.123, 32.1695, 429.25, 2233.62, 0.8918, 500
17, 85842, 202.746, 209.146, 31.1901, 432.729, 2282.16, 0.8942, 500
18, 85808.9, 195.312, 200.541, 29.157, 435.84, 2330.24, 0.8904, 500
19, 85777.3, 187.887, 192.901, 28.0431, 436.118, 2377.78, 0.8962, 500
20, 85746.9, 180.73, 184.276, 27.2533, 436.177, 2424.71, 0.9022, 500
21, 85717.7, 173.698, 176.596, 25.3804, 435.612, 2470.97, 0.8898, 500
22, 85690, 166.748, 168.03, 23.5894, 435.166, 2516.52, 0.8948, 500
23, 85663.6, 159.754, 160.982, 22.7593, 431.623, 2561.29, 0.9034, 500
24, 85638.3, 153.068, 154.619, 21.3789, 427.363, 2605.24, 0.8904, 500
25, 85614.1, 146.647, 147.194, 20.3459, 423.337, 2648.34, 0.9058, 500
26, 85591.1, 140.341, 140.141, 19.6714, 418.189, 2690.54, 0.898, 500
27, 85569.2, 134.228, 133.059, 18.2167, 413.508, 2731.83, 0.9014, 500
28, 85548.4, 128.16, 126.896, 17.3992, 406.992, 2772.17, 0.909, 500
29, 85528.6, 122.342, 120.595, 16.406, 400.541, 2811.55, 0.9096, 500
