Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
0, 1, 86602.3, 340.417, 355.52, 111.509, 108, 1482.3, 0.7875, 800
0, 2, 86482.2, 392.437, 343.784, 76.9688, 181.286, 1523.37, 0.8125, 800
0, 3, 86374.1, 422.003, 318.17, 83.0173, 236.337, 1566.37, 0.9875, 800
0, 4, 86271.2, 440.502, 318.524, 64.4076, 293.456, 1611.91, 0.825, 800
0, 5, 86173.1, 450.502, 312.442, 52.2372, 351.494, 1660.22, 0.8625, 800
0, 6, 86079.8, 453.72, 306.195, 44.5361, 404.388, 1711.38, 0.85, 800
0, 7, 85990.1, 452.628, 305.845, 43.5781, 442.503, 1765.31, 0.9375, 800
0, 8, 85900.9, 451.327, 297.367, 47.6231, 480.896, 1821.88, 0.9, 800
0, 9, 85812.9, 449.062, 285.312, 59.301, 512.546, 1880.87, 0.95, 800
0, 10, 85725.1, 447.065, 291.801, 54.009, 539.935, 1942.1, 0.85, 800
0, 11, 85637.1, 445.681, 295.547, 53.975, 562.369, 2005.37, 0.8625, 800
0, 12, 85548.2, 445.428, 294.832, 53.8606, 587.199, 2070.5, 0.8125, 800
0, 13, 85459.6, 444.923, 287.133, 51.7391, 619.257, 2137.35, 0.8625, 800
0, 14, 85373.6, 441.935, 288.912, 47.7388, 642.024, 2205.79, 0.9, 800
0, 15, 85288.3, 438.895, 282.147, 49.845, 665.165, 2275.69, 0.9125, 800
0, 16, 85204.2, 435.197, 277.439, 52.6183, 683.653, 2346.92, 0.9625, 800
0, 17, 85120.7, 431.667, 270.549, 44.9717, 712.821, 2419.33, 0.9, 800
0, 18, 85040.9, 425.086, 270.658, 39.6594, 730.905, 2492.78, 0.9, 800
0, 19, 84962.5, 418.433, 264.837, 36.3318, 750.698, 2567.15, 0.875, 800
0, 20, 84886.6, 410.73, 263.501, 38.8427, 758.076, 2642.29, 0.8875, 800
0, 21, 84810.4, 404.796, 260.181, 36.712, 769.928, 2718.03, 0.8875, 800
0, 22, 84735.6, 398.608, 252.269, 39.3775, 779.933, 2794.23, 0.85, 800
0, 23, 84662.2, 392.271, 252.055, 34.4813, 788.224, 2870.77, 0.775, 800
0, 24, 84590.2, 385.853, 245.969, 33.5546, 796.922, 2947.54, 0.8375, 800
0, 25, 84519.9, 378.896, 236.419, 35.3091, 804.999, 3024.43, 0.9375, 800
0, 26, 84451.7, 371.316, 230.577, 46.5208, 798.499, 3101.34, 1, 800
0, 27, 84382.3, 366.543, 228.092, 45.4768, 799.463, 3178.17, 0.9375, 800
0, 28, 84313.7, 361.784, 225.115, 41.2211, 803.359, 3254.81, 0.925, 800
0, 29, 84247, 356.109, 227.686, 37.9837, 799.976, 3331.22, 0.8375, 800
0, 30, 84180.6, 351.351, 224.278, 35.6372, 800.835, 3407.34, 0.8625, 800
1, 0, 86748.3, 242.97, 396.851, 170.079, 0, 1441.8, 1, 0
1, 1, 86602.3, 340.417, 356.52, 115.509, 103, 1482.3, 0.7625, 800
1, 2, 86480.9, 393.723, 342.713, 84.6831, 174.643, 1523.37, 0.6875, 800
1, 3, 86371.1, 424.736, 338.355, 60.2577, 239.168, 1566.37, 0.7625, 800
1, 4, 86268.9, 442.025, 310.649, 69.4377, 297.085, 1611.93, 0.975, 800
1, 5, 86171.5, 450.989, 307.344, 56.9993, 352.865, 1660.3, 0.875, 800
1, 6, 86078.3, 454.021, 296.529, 45.9873, 413.66, 1711.53, 0.8875, 800
1, 7, 85990.7, 450.768, 288.911, 52.9438, 451.113, 1765.54, 0.9375, 800
