Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86570.7, 371.993, 361.23, 122.829, 90.97, 1482.3, 0.7955, 800
1, 86419.3, 448.938, 343.307, 97.1348, 167.912, 1523.37, 0.8435, 800
2, 86281.9, 496.616, 336.017, 82.1629, 236.508, 1566.82, 0.854125, 800
3, 86151.6, 527.602, 335.312, 74.8811, 297.055, 1613.59, 0.877125, 800
4, 86023.9, 549.709, 337.275, 72.4786, 352.497, 1664.1, 0.887875, 800
5, 85896.6, 567.07, 341.933, 70.2541, 405.558, 1718.55, 0.880125, 800
6, 85768.8, 581.524, 349.929, 68.6801, 454.14, 1776.96, 0.86525, 800
7, 85639.1, 594.887, 356.378, 70.1459, 500.191, 1839.3, 0.885875, 800
8, 85507.2, 607.828, 364.816, 71.0286, 543.653, 1905.49, 0.87625, 800
9, 85372.6, 620.857, 372.444, 73.4049, 585.251, 1975.46, 0.888, 800
10, 85235.1, 634.152, 382.551, 74.2931, 624.777, 2049.11, 0.867, 800
11, 85094.5, 647.951, 391.837, 77.0655, 662.29, 2126.37, 0.881875, 800
12, 84950.4, 662.464, 402.042, 78.9779, 698.964, 2207.17, 0.873, 800
13, 84802.8, 677.548, 412.7, 82.0945, 733.398, 2291.45, 0.876, 800
14, 84651.3, 693.576, 424.468, 85.1335, 766.372, 2379.18, 0.883125, 800
15, 84495.5, 710.655, 437.869, 86.5271, 799.152, 2470.32, 0.86175, 800
16, 84335.5, 728.545, 452.225, 88.7959, 830.119, 2564.86, 0.863, 800
17, 84170.7, 747.616, 467.269, 91.556, 860.085, 2662.8, 0.855125, 800
18, 84000.8, 767.963, 482.929, 93.9933, 890.16, 2764.15, 0.8515, 800
19, 83825.8, 789.387, 499.469, 97.3973, 919.018, 2868.94, 0.854625, 800
20, 83645.1, 812.197, 517.027, 102.164, 946.293, 2977.22, 0.852125, 800
21, 83458.1, 836.798, 535.224, 106.078, 974.801, 3089.04, 0.848625, 800
22, 83264.8, 862.724, 554.845, 111.399, 1001.78, 3204.47, 0.8455, 800
23, 83064.4, 890.514, 576.075, 116.525, 1028.83, 3323.62, 0.842875, 800
24, 82856.7, 920.168, 597.869, 122.853, 1055.85, 3446.58, 0.841125, 800
25, 82641, 951.783, 622.597, 128.368, 1082.74, 3573.47, 0.827875, 800
26, 82416.9, 985.536, 648.776, 135.596, 1108.71, 3704.45, 0.837625, 800
27, 82183.5, 1021.87, 678.24, 140.822, 1135.91, 3839.67, 0.8145, 800
28, 81940.4, 1060.57, 709.136, 148.766, 1161.8, 3979.31, 0.823125, 800
29, 81686.6, 1102.29, 743.583, 155.624, 1188.35, 4123.58, 0.807375, 800
