Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 88796.6, 21.6002, 28.025, 9.11071, 8, 136.679, 0.884, 500
1, 88791.3, 22.5731, 25.4472, 6.43596, 14.3486, 139.903, 0.896, 500
2, 88786.7, 22.6026, 23.3398, 4.86064, 19.2437, 143.205, 0.9104, 500
3, 88782.7, 22.101, 21.9771, 3.8896, 22.7091, 146.594, 0.873, 500
4, 88779, 21.367, 20.6014, 3.31784, 25.607, 150.063, 0.8984, 500
5, 88775.6, 20.5022, 19.3813, 2.87287, 28.008, 153.601, 0.9018, 500
6, 88772.5, 19.5729, 18.0172, 2.6278, 30.1274, 157.191, 0.8892, 500
7, 88769.5, 18.6001, 16.8705, 2.57447, 31.6154, 160.818, 0.8774, 500
8, 88766.8, 17.6507, 16.1194, 2.45658, 32.5572, 164.465, 0.903, 500
9, 88764.1, 16.7673, 15.3191, 2.33016, 33.3617, 168.117, 0.885, 500
10, 88761.6, 15.9285, 14.5823, 2.08975, 34.0487, 171.761, 0.8816, 500
11, 88759.2, 15.1181, 13.5807, 2.09178, 34.6167, 175.384, 0.888, 500
12, 88757, 14.3274, 12.8472, 1.95945, 34.914, 178.976, 0.8842, 500
13, 88754.9, 13.5713, 12.0454, 1.90101, 35.0902, 182.527, 0.869, 500
14, 88752.9, 12.8439, 11.445, 1.7595, 35.0437, 186.03, 0.8878, 500
15, 88751, 12.1562, 10.8756, 1.64446, 34.8506, 189.476, 0.8542, 500
16, 88749.2, 11.5086, 10.1907, 1.60637, 34.6213, 192.86, 0.8786, 500
17, 88747.5, 10.8874, 9.53397, 1.59215, 34.2783, 196.176, 0.8574, 500
18, 88746, 10.2948, 9.07721, 1.52166, 33.7399, 199.419, 0.8588, 500
19, 88744.4, 9.74565, 8.73011, 1.48066, 33.0199, 202.586, 0.8554, 500
20, 88743, 9.25099, 8.31092, 1.42964, 32.3513, 205.674, 0.827, 500
21, 88741.6, 8.78827, 8.03243, 1.34751, 31.5605, 208.68, 0.8432, 500
22, 88740.3, 8.3667, 7.49904, 1.29253, 30.9962, 211.605, 0.8418, 500
23, 88739, 7.94562, 6.95473, 1.22703, 30.4422, 214.447, 0.8412, 500
24, 88737.8, 7.52187, 6.62035, 1.24667, 29.5877, 217.205, 0.8446, 500
25, 88736.7, 7.13803, 6.51053, 1.2342, 28.5443, 219.881, 0.829, 500
26, 88735.6, 6.81352, 6.12482, 1.12684, 27.8854, 222.473, 0.8166, 500
27, 88734.6, 6.48367, 5.67122, 1.05603, 27.2636, 224.983, 0.8154, 500
28, 88733.6, 6.14509, 5.44385, 1.00545, 26.4162, 227.411, 0.813, 500
29, 88732.7, 5.83463, 5.17532, 1.00797, 25.5794, 229.758, 0.8326, 500
