Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 85058.6, 381.429, 623, 267, 0, 2670, 1, 0
0, 1, 84937.1, 426.655, 613.9, 215.814, 73, 2733.57, 0.48, 500
0, 2, 84823.9, 454.444, 604.782, 167.998, 150.786, 2798.05, 0.56, 500
0, 3, 84718.7, 468.772, 584.205, 172.265, 192.015, 2864.02, 0.96, 500
0, 4, 84615.9, 477.886, 574.104, 159.087, 241.3, 2931.77, 0.8, 500
0, 5, 84516.3, 481.891, 575.001, 125.397, 300.064, 3001.38, 0.6, 500
0, 6, 84421.3, 480.529, 570.394, 108.353, 346.631, 3072.84, 0.72, 500
0, 7, 84329.3, 476.399, 549.926, 118.445, 379.872, 3146.08, 1, 500
0, 8, 84238.8, 471.59, 543.341, 109.569, 415.738, 3220.95, 0.78, 500
0, 9, 84150.5, 465.555, 530.554, 119.038, 437.042, 3297.28, 0.98, 500
0, 10, 84062.8, 460.186, 525.835, 87.4685, 488.825, 3374.9, 0.68, 500
0, 11, 83980, 450.903, 514.701, 100.832, 499.909, 3453.62, 1, 500
0, 12, 83897.1, 443.696, 510.063, 89.6838, 526.201, 3533.3, 0.7, 500
0, 13, 83816.3, 435.722, 504.747, 78.8996, 550.615, 3613.72, 0.8, 500
0, 14, 83737.8, 427.1, 500.695, 72.4072, 567.286, 3694.74, 0.66, 500
0, 15, 83660.7, 418.711, 494.725, 63.8613, 585.765, 3776.2, 0.76, 500
0, 16, 83585.7, 409.98, 483.007, 61.4224, 601.925, 3857.94, 0.86, 500
0, 17, 83512.7, 401.028, 480.904, 56.6339, 608.93, 3939.82, 0.64, 500
0, 18, 83440.6, 392.879, 464.697, 71.6503, 608.435, 4021.71, 0.96, 500
0, 19, 83368.8, 386.138, 461.508, 68.1051, 611.976, 4103.48, 0.64, 500
0, 20, 83297.9, 379.782, 454.602, 63.4088, 619.263, 4185.02, 0.7, 500
0, 21, 83228.7, 373.086, 446.3, 51.6665, 634.03, 4266.26, 0.76, 500
0, 22, 83162.1, 364.994, 433.654, 57.3612, 634.742, 4347.11, 0.94, 500
0, 23, 83096.6, 357.539, 417.778, 55.1636, 645.403, 4427.53, 0.9, 500
0, 24, 83033.5, 349.113, 407.992, 42.6757, 659.303, 4507.41, 0.84, 500
0, 25, 82973.4, 339.355, 395.725, 46.5742, 658.21, 4586.69, 0.88, 500
0, 26, 82914.5, 330.391, 380.969, 45.6088, 663.195, 4665.3, 0.88, 500
0, 27, 82857.8, 321.086, 368.012, 52.1745, 657.824, 4743.14, 0.88, 500
0, 28, 82801.9, 312.753, 360.677, 46.7129, 657.837, 4820.14, 0.76, 500
0, 29, 82747.7, 304.348, 346.7, 50.1415, 654.848, 4896.23, 0.94, 500
0, 30, 82695, 296.187, 336.544, 44.8208, 656.073, 4971.35, 0.86, 500
1, 0, 85058.6, 381.429, 623, 267, 0, 2670, 1, 0
1, 1, 84937.1, 426.655, 602.9, 239.814, 60, 2733.57, 0.84, 500
1, 2, 84822.2, 456.216, 589.567, 184.284, 149.714, 2798.05, 0.64, 500
1, 3, 84716.8, 470.334, 586.326, 132.494, 230.02, 2864.02, 0.5, 500
1, 4, 84619.1, 474.013, 567.292, 135.25, 272.59, 2931.79, 0.96, 500
1, 5, 84523.6, 474.634, 566.133, 121.03, 313.12, 3001.45, 0.64, 500
1, 6, 84430.4, 472.936, 563.144, 91.8631, 368.754, 3072.9, 0.64, 500
1, 7, 84341.6, 467.117, 553.13, 97.6776, 394.414, 3146.02, 0.96, 500
1, 8, 84253.5, 461.799, 548.017, 97.7276, 418.242, 3220.68, 0.9, 500
1, 9, 84166.2, 456.769, 535.525, 87.455, 457.368, 3296.68, 0.78, 500
1, 10, 84082, 449.579, 522.221, 94.6144, 477.698, 3373.85, 0.88, 500
