Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 68797.9, 2020.66, 3151.93, 1198.65, 162.99, 13667.9, 0.069125, 800
1, 68317.5, 2096.97, 3200.35, 1081.42, 313.538, 13990.3, 0.085125, 800
2, 67847.9, 2147.11, 3256.18, 974.777, 455.502, 14318.5, 0.080125, 800
3, 67387.2, 2178.46, 3315.73, 879.236, 586.166, 14653.2, 0.074375, 800
4, 66933.4, 2196.52, 3373.39, 795.821, 706.107, 14994.7, 0.090125, 800
5, 66485.5, 2205.14, 3428.99, 717.698, 819.701, 15343, 0.088875, 800
6, 66043, 2206.64, 3481.29, 646.482, 924.901, 15697.7, 0.0955, 800
7, 65605.4, 2202.89, 3528.31, 582.433, 1022.36, 16058.6, 0.108625, 800
8, 65172.5, 2195.19, 3569.23, 527.054, 1110.74, 16425.3, 0.123, 800
9, 64744, 2184.67, 3600.18, 480.049, 1193.9, 16797.2, 0.173, 800
10, 64320, 2171.76, 3607.37, 461.69, 1265.28, 17173.9, 0.3355, 800
11, 63899.9, 2157.51, 3601.23, 456.018, 1330.43, 17555, 0.42225, 800
12, 63483.7, 2142.15, 3581.05, 466.116, 1387.18, 17939.8, 0.531, 800
13, 63071.3, 2126.13, 3565.41, 469.001, 1440.19, 18328, 0.486125, 800
14, 62662.9, 2109.33, 3555.56, 462.249, 1490.97, 18719, 0.432875, 800
15, 62258.8, 2091.59, 3530.55, 470.641, 1535.97, 19112.5, 0.540625, 800
16, 61858.9, 2073.12, 3504.02, 478.839, 1577.11, 19508, 0.552, 800
17, 61463.4, 2053.96, 3484.06, 476.293, 1617.1, 19905.1, 0.489625, 800
18, 61072.7, 2033.88, 3453.81, 483.42, 1652.63, 20303.5, 0.57, 800
19, 60686.8, 2013.07, 3419.74, 492.863, 1684.76, 20702.8, 0.593125, 800
20, 60305.6, 1991.58, 3385.16, 498.843, 1716.16, 21102.6, 0.59925, 800
21, 59929.7, 1969.23, 3357.27, 497.496, 1743.71, 21502.6, 0.534875, 800
22, 59558.9, 1946.19, 3319.27, 505.055, 1768.09, 21902.5, 0.620625, 800
23, 59193.3, 1922.55, 3278.94, 512.751, 1790.51, 22302, 0.63475, 800
24, 58833, 1898.3, 3239.7, 517.949, 1810.34, 22700.7, 0.62875, 800
25, 58478.2, 1873.49, 3196.28, 523.891, 1829.76, 23098.4, 0.653, 800
26, 58129, 1847.98, 3154.41, 525.929, 1847.86, 23494.8, 0.644625, 800
27, 57785.6, 1821.78, 3111.47, 527.192, 1864.27, 23889.7, 0.652625, 800
28, 57448.1, 1794.91, 3059.27, 538.852, 1876.1, 24282.8, 0.727375, 800
29, 57116.3, 1767.72, 3014.81, 538.287, 1889.09, 24673.8, 0.664125, 800
