Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 69292.9, 1907.14, 3115, 1335, 0, 13350, 1, 0
0, 1, 68797.9, 2020.66, 3151.5, 1201.07, 161, 13667.9, 0.075, 800
0, 2, 68317.3, 2097.19, 3203.29, 1078.52, 313.5, 13990.3, 0.1, 800
0, 3, 67847.7, 2147.28, 3256.09, 995.314, 435.107, 14318.5, 0.0875, 800
0, 4, 67384.7, 2180.83, 3315.13, 894.058, 572.028, 14653.2, 0.0625, 800
0, 5, 66929.4, 2199.93, 3377.65, 821.046, 677.169, 14994.8, 0.0625, 800
0, 6, 66478.4, 2211.02, 3390.38, 767.396, 809.8, 15343, 0.4375, 800
0, 7, 66034.7, 2212.48, 3448.75, 686.243, 919.957, 15697.9, 0.075, 800
0, 8, 65596.4, 2208.27, 3512.16, 605.974, 1018.25, 16058.9, 0, 800
0, 9, 65162.8, 2200.22, 3568.45, 549.186, 1093.51, 16425.8, 0.0125, 800
0, 10, 64732.1, 2190.86, 3605.59, 487.972, 1185.41, 16798, 0.125, 800
0, 11, 64306.8, 2178.02, 3634.77, 450.568, 1254.73, 17175.1, 0.1875, 800
0, 12, 63885.1, 2164.11, 3619.06, 443.066, 1332.11, 17556.5, 0.5125, 800
0, 13, 63468.6, 2147.84, 3601.54, 461.265, 1378.96, 17941.8, 0.475, 800
0, 14, 63054.7, 2132.17, 3613.98, 421.188, 1447.46, 18330.5, 0.2875, 800
0, 15, 62646.3, 2114.14, 3597.34, 417.033, 1503.07, 18722.2, 0.4375, 800
0, 16, 62242.6, 2094.98, 3525.37, 484.094, 1536.71, 19116.3, 0.9125, 800
0, 17, 61842, 2076.56, 3512.85, 488.215, 1567.94, 19512.4, 0.4625, 800
0, 18, 61444.8, 2058.42, 3526.66, 450.936, 1608.95, 19910.2, 0.2125, 800
0, 19, 61052.5, 2039.03, 3542.93, 413.231, 1643.02, 20309.2, 0.1625, 800
0, 20, 60664.8, 2018.92, 3454.33, 488.057, 1664.66, 20709.2, 1, 800
0, 21, 60281, 1999.03, 3393.24, 522.331, 1694.76, 21109.7, 0.7875, 800
0, 22, 59902.1, 1978.09, 3343.73, 547.963, 1717.71, 21510.4, 0.6875, 800
0, 23, 59527.9, 1956.66, 3318.82, 539.508, 1746.01, 21911.1, 0.5625, 800
0, 24, 59159.2, 1933.99, 3340.7, 473.371, 1781.3, 22311.4, 0.15, 800
0, 25, 58797.1, 1909.37, 3249.83, 533.599, 1799.06, 22711.1, 0.975, 800
0, 26, 58440, 1884.57, 3233.02, 513.047, 1819.56, 23109.8, 0.425, 800
0, 27, 58088.6, 1859.05, 3174.93, 520.475, 1849.59, 23507.4, 0.75, 800
0, 28, 57744, 1831.8, 3113.41, 543.841, 1863.48, 23903.4, 0.8125, 800
0, 29, 57405.1, 1804.42, 3037.48, 583.904, 1871.37, 24297.8, 0.95, 800
0, 30, 57071.4, 1777.22, 3023.13, 546.461, 1891.7, 24690.1, 0.4625, 800
1, 0, 69292.9, 1907.14, 3115, 1335, 0, 13350, 1, 0
1, 1, 68797.9, 2020.66, 3135.5, 1201.07, 177, 13667.9, 0.225, 800
1, 2, 68319, 2095.42, 3170.43, 1093.52, 331.357, 13990.3, 0.2, 800
1, 3, 67851.4, 2143.93, 3219.33, 1015.14, 451.689, 14318.5, 0.1375, 800
1, 4, 67390.3, 2176.32, 3280.53, 905.263, 594.425, 14653.2, 0.1, 800
1, 5, 66937.5, 2193.83, 3350.89, 793.18, 729.966, 14994.7, 0, 800
1, 6, 66492.2, 2200.32, 3386.67, 762.154, 815.826, 15342.8, 0.2875, 800
1, 7, 66049.4, 2203.06, 3447.81, 674.734, 927.553, 15697.4, 0.05, 800
1, 8, 65612.4, 2199.51, 3501.97, 597.722, 1030.3, 16058.1, 0.05, 800
1, 9, 65180.6, 2191.38, 3525.76, 559.999, 1117.71, 16424.6, 0.2875, 800
1, 10, 64753.1, 2180.57, 3564.71, 505.481, 1199.87, 16796.2, 0.1125, 800
1, 11, 64330.1, 2167.5, 3576.37, 491.21, 1262.16, 17172.7, 0.3125, 800
1, 12, 63910.1, 2154.01, 3569.37, 483.173, 1330.01, 17553.4, 0.4875, 800
1, 13, 63494.3, 2138.94, 3591.97, 449.902, 1387.01, 17937.8, 0.1875, 800
1, 14, 63082.4, 2123.09, 3585.85, 441.102, 1441.94, 18325.6, 0.3625, 800
1, 15, 62674.6, 2106.22, 3544.95, 473.98, 1483.94, 18716.3, 0.6625, 800
1, 16, 62270.3, 2089.29, 3507.61, 490.498, 1532.95, 19109.3, 0.6625, 800
1, 17, 61870.7, 2071.05, 3514.57, 452.819, 1586.45, 19504.4, 0.325, 800
