S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity
86669.4, 273.317, 53.5029, 472.526, 49, 1482.3, 526.029, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86596.2, 291.833, 53.1476, 445.971, 89.5, 1523.37, 499.119, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86526.8, 302.843, 48.188, 431.646, 125.107, 1565.41, 479.834, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86460.2, 308.917, 44.8029, 411.326, 166.171, 1608.62, 456.129, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86396.9, 310.436, 41.781, 401.551, 196.302, 1653.07, 443.332, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86335.4, 309.829, 39.0054, 385.747, 231.28, 1698.76, 424.752, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86276.5, 306.725, 38.4158, 372.963, 259.76, 1745.62, 411.379, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86219.5, 302.35, 35.8064, 366.533, 282.206, 1793.56, 402.34, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86163.9, 297.562, 36.2958, 356.775, 303.048, 1842.45, 393.071, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86109.5, 292.413, 34.6545, 346.852, 324.402, 1892.18, 381.507, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86056.8, 286.661, 36.0274, 341.712, 336.23, 1942.6, 377.739, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86004.6, 281.507, 33.1872, 336.903, 350.214, 1993.6, 370.09, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85953.5, 276.296, 32.4469, 328.509, 364.199, 2045.05, 360.956, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85903.7, 270.837, 32.6552, 324.778, 371.184, 2096.84, 357.433, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85854.4, 265.955, 35.7394, 312.33, 382.671, 2148.89, 348.07, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85806.4, 260.731, 36.5057, 307.893, 387.338, 2201.08, 344.398, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85759, 256.019, 36.1127, 303.832, 391.671, 2253.35, 339.945, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85712.2, 251.61, 31.6536, 296.213, 402.694, 2305.61, 327.867, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85667.1, 246.396, 31.4249, 288.345, 408.93, 2357.79, 319.77, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85623.1, 241.088, 29.1082, 277.1, 419.721, 2409.84, 306.208, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85581.1, 234.954, 29.8508, 275.703, 416.741, 2461.69, 305.554, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85539.1, 229.937, 29.4177, 261.302, 426.974, 2513.29, 290.719, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85499.2, 223.866, 28.9151, 250.026, 433.476, 2564.55, 278.941, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85460.9, 217.374, 29.3271, 240.463, 436.513, 2615.44, 269.79, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85423.9, 210.908, 29.5798, 231.414, 438.334, 2665.89, 260.994, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85388.1, 204.513, 23.6851, 224.848, 443.024, 2715.84, 248.533, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85354, 197.674, 26.0836, 219.6, 437.379, 2765.24, 245.684, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85320.4, 191.799, 25.174, 211.496, 437.138, 2814.03, 236.67, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85288, 185.852, 25.2118, 204.913, 433.914, 2862.16, 230.125, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
85256.4, 180.185, 25.128, 206.729, 421.92, 2909.59, 231.857, 0, 89000, 2, 0.00637, 500, 0.1, 0.9
86669.4, 273.317, 54.5029, 473.526, 47, 1482.3, 528.029, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86595.9, 292.111, 52.0762, 455.9, 80.6429, 1523.37, 507.976, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86525.3, 304.297, 47.1987, 431.916, 125.883, 1565.41, 479.114, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86458.8, 309.979, 46.9133, 413.838, 161.891, 1608.63, 460.751, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86394.8, 311.925, 42.7619, 401.074, 196.327, 1653.1, 443.836, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86333.3, 311.089, 41.946, 390.573, 224.304, 1698.83, 432.519, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86273.3, 308.809, 41.1716, 379.671, 251.282, 1745.74, 420.842, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86215, 305.325, 39.407, 368.137, 278.334, 1793.75, 407.544, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86158.6, 300.659, 34.6987, 358.8, 304.453, 1842.74, 393.499, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86104.2, 294.947, 33.2334, 348.29, 326.706, 1892.6, 381.523, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
86051.5, 288.687, 33.7585, 339.502, 343.37, 1943.18, 373.261, 1, 89000, 2, 0.00637, 500, 0.1, 0.9
