Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86744.5, 244.114, 170.88, 398.72, 0, 1441.8, 1, 0
0, 1, 86665.2, 274.601, 173.321, 303.416, 101, 1482.49, 0.08, 500
0, 2, 86598.9, 285.999, 175.417, 231.188, 184.786, 1523.75, 0.24, 500
0, 3, 86542.3, 285.319, 173.047, 198.714, 234.587, 1565.99, 0.4, 500
0, 4, 86490.7, 279.897, 168.806, 157.465, 293.831, 1609.31, 0.5, 500
0, 5, 86445.4, 269.214, 163.542, 137.403, 330.843, 1653.6, 0.54, 500
0, 6, 86403.6, 257.129, 157.013, 119.278, 364.211, 1698.73, 0.6, 500
0, 7, 86365.3, 244.022, 148.226, 103.756, 394.196, 1744.48, 0.6, 500
0, 8, 86330.4, 230.149, 144.28, 83.5084, 421.039, 1790.63, 0.58, 500
0, 9, 86298.8, 215.685, 139.783, 77.7644, 430.965, 1836.98, 0.76, 500
0, 10, 86268.7, 202.683, 133.739, 66.4056, 445.182, 1883.3, 0.74, 500
0, 11, 86241, 189.861, 125.348, 59.038, 455.383, 1929.39, 0.72, 500
0, 12, 86215.5, 177.413, 113.786, 63.4015, 454.856, 1975.09, 0.9, 500
0, 13, 86190.9, 166.451, 106.303, 74.7106, 441.366, 2020.24, 0.94, 500
0, 14, 86165.9, 158.204, 97.697, 75.6772, 437.84, 2064.69, 0.86, 500
0, 15, 86141.9, 150.542, 91.2109, 49.4202, 458.566, 2108.35, 0.7, 500
0, 16, 86122.5, 139.879, 82.7283, 41.9661, 461.811, 2151.15, 0.86, 500
0, 17, 86105.2, 129.14, 78.2119, 37.5515, 456.824, 2193.04, 0.8, 500
0, 18, 86089.2, 119.312, 72.3737, 38.9489, 446.194, 2233.94, 0.66, 500
0, 19, 86073.8, 110.833, 65.3629, 37.8705, 438.323, 2273.77, 0.76, 500
0, 20, 86059.6, 102.929, 61.3441, 28.6821, 435.014, 2312.45, 0.88, 500
0, 21, 86047.1, 94.7791, 58.1381, 36.0434, 413.942, 2349.95, 0.96, 500
0, 22, 86034.1, 88.8314, 53.6721, 36.7379, 400.375, 2386.25, 0.68, 500
0, 23, 86021.7, 83.5504, 49.1683, 29.5502, 394.776, 2421.3, 0.92, 500
0, 24, 86010.8, 77.7095, 39.6693, 29.1365, 387.578, 2455.12, 0.76, 500
0, 25, 86001.3, 71.6669, 37.4984, 24.9347, 376.894, 2487.72, 0.84, 500
0, 26, 85992.7, 65.952, 34.1199, 22.187, 365.973, 2519.1, 0.86, 500
0, 27, 85984.9, 60.5336, 32.6399, 19.8355, 352.832, 2549.27, 0.76, 500
0, 28, 85977.7, 55.6694, 31.9405, 22.8934, 333.63, 2578.22, 0.94, 500
0, 29, 85970.1, 52.1029, 29.9992, 19.0519, 322.799, 2605.96, 0.8, 500
0, 30, 85963.3, 48.4511, 28.9826, 14.9854, 311.742, 2632.52, 0.96, 500
1, 0, 86744.5, 244.114, 170.88, 398.72, 0, 1441.8, 1, 0
1, 1, 86665.2, 274.601, 173.321, 308.416, 96, 1482.49, 0.02, 500
1, 2, 86598.2, 286.695, 176.417, 232.83, 182.143, 1523.75, 0.16, 500
1, 3, 86541.3, 286.242, 175.018, 182.337, 249.133, 1565.99, 0.3, 500
1, 4, 86491.6, 278.634, 165.691, 162.387, 292.337, 1609.32, 0.56, 500
1, 5, 86446.1, 268.454, 160.574, 127.796, 343.456, 1653.63, 0.54, 500
1, 6, 86406.1, 254.777, 157.212, 107.252, 375.924, 1698.76, 0.62, 500
1, 7, 86369.4, 240.501, 145.269, 87.2597, 413.072, 1744.5, 0.68, 500
1, 8, 86337.2, 224.637, 138.322, 83.697, 425.567, 1790.62, 0.76, 500
1, 9, 86306.4, 210.478, 132.921, 82.1678, 431.169, 1836.87, 0.68, 500
1, 10, 86276.6, 198.179, 124.055, 74.7656, 443.371, 1883.03, 0.8, 500
1, 11, 86249.1, 186.077, 119.085, 74.1703, 442.702, 1928.91, 0.82, 500
1, 12, 86222.3, 175.616, 105.743, 77.9233, 444.08, 1974.33, 0.84, 500
1, 13, 86196.9, 165.912, 95.7271, 70.9436, 451.36, 2019.17, 0.74, 500
1, 14, 86173.8, 155.79, 86.8441, 65.1039, 455.12, 2063.32, 0.86, 500
1, 15, 86152.8, 145.65, 80.9884, 50.2642, 463.612, 2106.68, 0.76, 500
1, 16, 86134.7, 134.67, 75.9425, 47.0648, 458.497, 2149.17, 0.78, 500
1, 17, 86117.7, 124.743, 71.5982, 44.5569, 450.747, 2190.7, 0.62, 500
1, 18, 86101.6, 115.85, 63.9686, 34.8383, 452.551, 2231.2, 0.88, 500
1, 19, 86087.9, 106.336, 57.3505, 38.5689, 439.226, 2270.58, 0.86, 500
1, 20, 86074.7, 98.3232, 55.6342, 32.701, 429.852, 2308.8, 0.66, 500
1, 21, 86062.5, 90.8631, 49.5597, 35.1304, 416.149, 2345.82, 0.94, 500
1, 22, 86050.8, 84.3897, 44.4715, 26.342, 412.424, 2381.59, 0.9, 500
1, 23, 86041, 77.2928, 45.3583, 21.275, 398.965, 2416.11, 0.92, 500
1, 24, 86031.8, 71.0368, 39.756, 11.5763, 396.467, 2449.37, 0.88, 500
1, 25, 86024.7, 63.918, 37.1785, 11.6946, 381.148, 2481.35, 0.78, 500
1, 26, 86018, 57.8829, 37.358, 14.8078, 359.923, 2512.07, 0.9, 500
1, 27, 86010.8, 53.5089, 33.1625, 15.8537, 345.215, 2541.5, 0.84, 500
1, 28, 86004, 49.5742, 31.0043, 10.2125, 335.556, 2569.66, 0.96, 500
1, 29, 85998.3, 45.3493, 27.7642, 9.42344, 322.588, 2596.57, 0.92, 500
1, 30, 85993.2, 41.4128, 28.502, 15.0992, 299.546, 2622.27, 0.92, 500
2, 0, 86744.5, 244.114, 170.88, 398.72, 0, 1441.8, 1, 0
2, 1, 86665.2, 274.601, 173.321, 297.416, 107, 1482.49, 0.02, 500
2, 2, 86599.7, 285.165, 176.417, 221.616, 193.357, 1523.75, 0.06, 500
2, 3, 86544.4, 283.46, 175.926, 161.709, 268.546, 1565.99, 0.34, 500
2, 4, 86497.5, 273.671, 171.367, 131.843, 316.364, 1609.29, 0.56, 500
2, 5, 86455.4, 261.034, 167.547, 102.74, 359.767, 1653.55, 0.52, 500
2, 6, 86417.9, 246.336, 158.241, 94.9459, 384.069, 1698.55, 0.62, 500
2, 7, 86382.7, 232.189, 153.719, 81.6511, 405.636, 1744.07, 0.68, 500
2, 8, 86350.1, 218.387, 145.67, 79.3253, 416.662, 1789.86, 0.64, 500
2, 9, 86318.9, 205.894, 136.368, 67.2334, 435.9, 1835.69, 0.72, 500
2, 10, 86290.7, 192.925, 124.981, 61.2562, 448.764, 1881.37, 0.76, 500
2, 11, 86264.9, 180.136, 116.63, 61.8903, 449.71, 1926.73, 0.78, 500
2, 12, 86240.2, 168.828, 103.107, 54.6886, 461.588, 1971.6, 0.72, 500
2, 13, 86218.3, 156.905, 96.8719, 53.4181, 458.617, 2015.84, 0.9, 500
2, 14, 86197.5, 146.323, 90.3668, 49.5693, 456.859, 2059.33, 0.78, 500
2, 15, 86178.2, 136.42, 81.6914, 45.5139, 456.226, 2101.96, 0.88, 500
2, 16, 86160.6, 126.732, 80.0415, 40.3617, 448.638, 2143.64, 0.7, 500
2, 17, 86143.9, 118.037, 72.9282, 33.2212, 447.593, 2184.28, 0.84, 500
2, 18, 86129.3, 109.107, 66.8013, 26.3734, 444.622, 2223.83, 0.82, 500
2, 19, 86116.4, 100.167, 60.5762, 27.7647, 432.863, 2262.25, 0.92, 500
2, 20, 86104.2, 92.345, 56.2594, 21.8049, 425.944, 2299.48, 0.76, 500
2, 21, 86093.4, 84.6652, 54.7815, 23.1757, 408.52, 2335.48, 0.82, 500
2, 22, 86082.6, 78.5052, 51.9485, 22.3734, 394.34, 2370.23, 0.92, 500
2, 23, 86072.3, 73.0735, 45.9482, 23.7661, 381.173, 2403.7, 0.78, 500
2, 24, 86062.7, 68.0904, 41.0506, 27.2988, 364.946, 2435.91, 0.96, 500
2, 25, 86053.3, 63.9143, 38.2038, 23.8815, 353.878, 2466.86, 0.76, 500
2, 26, 86044.7, 59.7071, 36.3098, 19.1237, 343.601, 2496.57, 0.94, 500
2, 27, 86037, 55.4218, 35.2987, 19.1167, 328.058, 2525.07, 0.66, 500
2, 28, 86029.5, 51.8523, 32.1027, 16.5103, 317.626, 2552.39, 0.9, 500
2, 29, 86022.8, 48.1947, 25.9208, 13.5903, 310.938, 2578.55, 0.94, 500
2, 30, 86017.3, 44.0114, 26.961, 13.3668, 294.728, 2603.58, 0.86, 500
3, 0, 86744.5, 244.114, 170.88, 398.72, 0, 1441.8, 1, 0
3, 1, 86665.2, 274.601, 172.321, 305.416, 100, 1482.49, 0.04, 500
3, 2, 86598.7, 286.138, 175.489, 239.045, 176.857, 1523.75, 0.12, 500
3, 3, 86541.1, 286.532, 175.122, 175.029, 256.224, 1565.99, 0.3, 500
3, 4, 86492.5, 277.865, 170.805, 139.642, 309.923, 1609.31, 0.54, 500
3, 5, 86449.4, 265.392, 163.277, 119.568, 348.785, 1653.62, 0.58, 500
3, 6, 86410.1, 251.562, 158.538, 107.183, 373.872, 1698.74, 0.68, 500
3, 7, 86373.3, 238.105, 150.307, 104.746, 389.167, 1744.42, 0.72, 500
3, 8, 86337.9, 225.845, 148.857, 97.5984, 399.369, 1790.44, 0.62, 500
3, 9, 86303.7, 214.831, 134.775, 87.2454, 422.843, 1836.57, 0.66, 500
3, 10, 86273, 202.621, 125.038, 82.0899, 434.64, 1882.63, 0.66, 500
3, 11, 86244.3, 190.78, 119.264, 64.5933, 452.594, 1928.47, 0.8, 500
3, 12, 86218.8, 178.076, 109.192, 56.6886, 463.266, 1973.93, 0.78, 500
3, 13, 86195.9, 165.418, 103.077, 52.5701, 464.176, 2018.87, 0.84, 500
3, 14, 86174.4, 153.869, 91.6397, 47.9735, 469.02, 2063.14, 0.82, 500
3, 15, 86155, 142.407, 81.3261, 44.0885, 470.519, 2106.62, 0.78, 500
3, 16, 86137.7, 131.269, 80.0615, 36.8762, 464.91, 2149.18, 0.88, 500
3, 17, 86121.5, 121.183, 77.219, 34.6199, 454.702, 2190.74, 0.86, 500
3, 18, 86106.1, 112.407, 66.9743, 29.1127, 454.224, 2231.21, 0.88, 500
3, 19, 86092.8, 103.206, 61.9349, 26.7702, 444.779, 2270.52, 0.86, 500
3, 20, 86080.5, 94.8229, 56.7033, 26.3068, 433.009, 2308.62, 0.9, 500
3, 21, 86069.1, 87.3279, 50.3424, 23.703, 424.08, 2345.48, 0.88, 500
