Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86665.2, 274.601, 228.945, 253.052, 95.74, 1482.49, 0.1082, 500
1, 86598.1, 286.731, 227.32, 192.499, 171.571, 1523.75, 0.3376, 500
2, 86539.8, 287.74, 223.561, 152.277, 230.656, 1565.99, 0.4766, 500
3, 86487.6, 282.399, 217.822, 125.619, 277.281, 1609.32, 0.5866, 500
4, 86439.9, 273.597, 210.755, 107.074, 315.035, 1653.65, 0.6476, 500
5, 86395.8, 262.976, 202.349, 93.9075, 346.123, 1698.86, 0.6988, 500
6, 86354.7, 251.464, 193.313, 83.9569, 371.82, 1744.74, 0.7168, 500
7, 86316.3, 239.604, 183.862, 76.8957, 392.261, 1791.11, 0.7508, 500
8, 86280.1, 227.811, 174.318, 69.8457, 410.132, 1837.75, 0.7562, 500
9, 86246.3, 216.063, 164.451, 64.494, 424.177, 1884.49, 0.7746, 500
10, 86214.6, 204.545, 154.96, 59.7949, 434.929, 1931.14, 0.7764, 500
11, 86184.9, 193.355, 145.605, 55.4092, 443.172, 1977.54, 0.7878, 500
12, 86157.1, 182.492, 136.423, 51.664, 448.757, 2023.56, 0.8142, 500
13, 86131.1, 172.004, 127.628, 48.2127, 452.013, 2069.04, 0.8296, 500
14, 86106.8, 161.914, 119.362, 45.0195, 453.027, 2113.89, 0.822, 500
15, 86084.1, 152.25, 111.729, 41.9235, 452.038, 2157.99, 0.8456, 500
16, 86062.8, 143.031, 103.798, 38.709, 450.369, 2201.26, 0.8368, 500
17, 86043.2, 134.111, 96.7868, 35.7478, 446.6, 2243.6, 0.8336, 500
18, 86024.8, 125.593, 89.9524, 33.4377, 441.2, 2284.97, 0.8344, 500
19, 86007.8, 117.512, 83.5347, 31.2105, 434.636, 2325.3, 0.8462, 500
20, 85992, 109.851, 77.4189, 29.2227, 427, 2364.54, 0.862, 500
21, 85977.2, 102.6, 71.197, 27.3274, 418.97, 2402.66, 0.864, 500
22, 85963.7, 95.6766, 65.6395, 25.3174, 410.094, 2439.62, 0.8642, 500
23, 85951.1, 89.0916, 60.6551, 23.3302, 400.411, 2475.41, 0.861, 500
24, 85939.5, 82.8599, 56.2399, 21.3148, 390.061, 2510.01, 0.8548, 500
25, 85928.8, 76.986, 52.0816, 19.9155, 378.789, 2543.41, 0.8642, 500
26, 85918.9, 71.519, 47.8903, 18.5813, 367.513, 2575.61, 0.8672, 500
27, 85909.7, 66.3822, 44.3011, 16.8763, 356.112, 2606.61, 0.8746, 500
28, 85901.3, 61.5418, 40.6673, 15.5767, 344.515, 2636.42, 0.8804, 500
29, 85893.5, 56.9884, 37.8359, 14.2991, 332.307, 2665.04, 0.876, 500
