S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity
86669.4, 273.317, 381.52, 141.509, 52, 1482.3, 523.029, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86596.6, 291.415, 381.533, 112.8, 94.2857, 1523.37, 494.333, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86527.9, 301.844, 378.079, 100.228, 126.551, 1565.41, 478.307, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86461.5, 307.907, 372.332, 84.1793, 165.512, 1608.62, 456.511, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86398.1, 309.681, 369.843, 77.6409, 191.689, 1653.05, 447.484, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86336, 309.802, 364.781, 71.676, 218.997, 1698.7, 436.457, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86275.6, 308.327, 377.098, 71.1444, 222.355, 1745.52, 448.242, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86213.5, 308.736, 367.328, 68.5623, 248.472, 1793.42, 435.89, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86153.2, 307.309, 364.313, 61.1891, 271.724, 1842.3, 425.503, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86094.3, 304.689, 367.314, 56.257, 285.315, 1892.11, 423.571, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86035.8, 302.286, 371.734, 53.52, 293.936, 1942.74, 425.254, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85977.1, 300.556, 381.502, 54.8343, 291.94, 1994.11, 436.336, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85916.8, 300.661, 389.329, 58.9509, 288.087, 2046.13, 448.28, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85855, 302.35, 396.613, 52.7798, 294.51, 2098.73, 449.392, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85793.1, 303.811, 382.612, 53.1508, 315.473, 2151.86, 435.763, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85733.1, 303.057, 390.816, 57.583, 309.939, 2205.52, 448.399, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85671.4, 304.152, 390.329, 56.6534, 317.801, 2259.69, 446.982, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85609.9, 304.788, 387.029, 53.8558, 330.101, 2314.32, 440.885, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85549.3, 304.415, 377.055, 62.2962, 337.522, 2369.39, 439.351, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85489, 303.863, 392.74, 60.1114, 329.414, 2424.88, 452.852, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85426.9, 305.231, 385.228, 51.0494, 350.884, 2480.76, 436.278, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85367, 304.008, 391.444, 56.7169, 343.821, 2536.98, 448.161, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85305.6, 304.616, 388.045, 53.9062, 354.262, 2593.55, 441.951, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85245.1, 304.208, 394.974, 53.3327, 351.958, 2650.42, 448.307, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85183.8, 304.708, 405.351, 56.7757, 341.818, 2707.59, 462.126, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85120.6, 306.954, 412.056, 58.0028, 337.402, 2765.01, 470.059, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
85056.4, 309.787, 413.597, 56.277, 341.302, 2822.69, 469.874, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84992.2, 311.98, 403.425, 54.8444, 356.923, 2880.63, 458.269, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84929.7, 312.103, 387.286, 63.6458, 368.429, 2938.86, 450.932, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
84868.2, 311.155, 396.317, 65.8258, 361.113, 2997.38, 462.143, 0, 89000, 2, 0.00637, 500, 0.7, 0.6
86669.4, 273.317, 384.52, 144.509, 46, 1482.3, 529.029, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86595.8, 292.25, 389.319, 121.586, 77.7143, 1523.37, 510.905, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86524.7, 304.815, 398.425, 108.436, 98.1633, 1565.41, 506.861, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86454.4, 314.247, 404.641, 91.9794, 126.152, 1608.63, 496.62, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86385.4, 320.314, 413.732, 84.2643, 143.141, 1653.11, 497.996, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86316.4, 325.303, 409.024, 82.4642, 167.916, 1698.91, 491.488, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86248.3, 328.338, 395.35, 86.0921, 195.922, 1746.01, 481.442, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86181.6, 329.322, 385.078, 91.643, 217.928, 1794.39, 476.721, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
86115.7, 329.404, 377.678, 88.8564, 244.362, 1844.01, 466.534, 1, 89000, 2, 0.00637, 500, 0.7, 0.6
