S,E,I1,I2,H,R,cum_I,Run_Count,total_population,R0_value,initial_I_ratio,total_testing_number,asymptomatic_rate,testing_sensitivity,group_number
86669.4, 273.317, 402.52, 115.509, 57, 1482.3, 518.029, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86597.3, 290.72, 412.033, 86.6571, 89.9286, 1523.37, 498.69, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86528, 301.894, 423.303, 74.9105, 106.505, 1565.41, 498.214, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86458.8, 310.712, 435.332, 62.6734, 123.898, 1608.61, 498.006, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86389.7, 317.682, 447.737, 52.8394, 139.048, 1653.03, 500.576, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86320.3, 323.559, 460.231, 45.1261, 152.116, 1698.72, 505.357, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86250.2, 328.867, 472.656, 44.3163, 158.25, 1745.68, 516.972, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86178.7, 334.665, 484.936, 47.8829, 159.947, 1793.91, 532.819, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86105, 341.436, 497.151, 52.5426, 160.522, 1843.39, 549.693, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86029, 349.122, 509.441, 51.2757, 167.056, 1894.12, 560.717, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85951.6, 356.726, 521.929, 46.5605, 177.124, 1946.11, 568.49, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85873.1, 363.812, 534.59, 48.6383, 180.472, 1999.36, 583.229, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85792.7, 371.441, 547.339, 44.9929, 189.581, 2053.91, 592.332, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85711.2, 378.722, 560.245, 49.0655, 191.04, 2109.76, 609.311, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85627.3, 386.805, 573.249, 42.2842, 203.394, 2166.93, 615.533, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85542.7, 394.045, 586.455, 44.4722, 206.866, 2225.43, 630.927, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85456.1, 401.868, 599.732, 51.9383, 205.09, 2285.27, 651.67, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85366.7, 410.883, 613.155, 50.3405, 212.44, 2346.47, 663.496, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85275.8, 419.622, 626.882, 54.3977, 214.266, 2409.03, 681.28, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85182.5, 428.951, 640.852, 54.6895, 219.961, 2473, 695.541, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85087.4, 438.262, 655.13, 55.5201, 225.25, 2538.39, 710.65, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84990.4, 447.668, 669.691, 62.8501, 224.161, 2605.24, 732.542, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84890.5, 458.068, 684.53, 57.2209, 236.149, 2673.58, 741.751, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84789.4, 467.526, 699.764, 64.6177, 235.281, 2743.43, 764.382, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84685.3, 478.052, 715.235, 57.0538, 249.475, 2814.83, 772.289, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84580.4, 487.42, 731.074, 59.6616, 253.656, 2887.82, 790.736, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84473, 497.289, 747.093, 69.6453, 250.538, 2962.42, 816.738, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84362.3, 508.573, 763.35, 67.508, 259.642, 3038.65, 830.858, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84249.8, 519.367, 780.025, 72.2003, 262.096, 3116.54, 852.225, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
84134.5, 530.742, 797.02, 70.2052, 271.375, 3196.14, 867.226, 0, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86669.4, 273.317, 402.52, 121.509, 51, 1482.3, 524.029, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86596.5, 291.554, 412.033, 96.2285, 80.3571, 1523.37, 508.262, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86525.8, 303.892, 423.42, 72.8483, 108.617, 1565.41, 496.268, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86456.9, 312.038, 435.72, 65.8784, 120.859, 1608.62, 501.599, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86387.3, 319.24, 448.283, 52.895, 139.226, 1653.08, 501.178, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86317.8, 324.887, 460.956, 43.2712, 154.281, 1698.82, 504.227, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86247.9, 329.771, 473.515, 40.6736, 162.261, 1745.86, 514.188, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86176.7, 335.001, 485.86, 36.5546, 171.671, 1794.18, 522.415, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86104.5, 340.264, 498.056, 43.0436, 170.409, 1843.76, 541.1, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
86029.7, 346.996, 510.118, 38.3849, 180.237, 1894.58, 548.503, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85953.9, 353.339, 522.26, 46.4629, 177.363, 1946.63, 568.723, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85875.5, 361.137, 534.423, 51.3445, 177.694, 1999.92, 585.768, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85794.7, 369.653, 546.809, 45.3452, 189.002, 2054.45, 592.155, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85713.2, 377.269, 559.503, 47.2855, 192.502, 2110.25, 606.789, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85629.7, 385.298, 572.356, 55.5441, 189.751, 2167.34, 627.9, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85543.4, 394.542, 585.415, 54.6946, 196.198, 2225.75, 640.11, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85455.5, 403.526, 598.836, 57.4603, 199.184, 2285.48, 656.296, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85365.5, 412.844, 612.556, 60.5676, 201.956, 2346.59, 673.123, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85273.3, 422.508, 626.6, 63.0119, 205.531, 2409.1, 689.612, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85178.9, 432.397, 640.994, 60.8616, 213.85, 2473.03, 701.855, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
85082.9, 441.878, 655.744, 62.4582, 218.575, 2538.44, 718.202, 1, 89000, 2, 0.00637, 500, 0.7, 0.9, 5
