Run,Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 0, 86744.5, 244.114, 398.72, 170.88, 0, 1441.8, 1, 0
0, 1, 86665.2, 274.601, 390.416, 124.321, 63, 1482.49, 0.54, 500
0, 2, 86593.6, 291.285, 385.973, 94.9171, 110.5, 1523.75, 0.68, 500
0, 3, 86526.7, 299.869, 381.184, 73.6144, 152.607, 1565.99, 0.78, 500
0, 4, 86463.6, 303.061, 381.938, 59.3484, 182.707, 1609.38, 0.6, 500
0, 5, 86402.3, 303.693, 373.085, 57.2929, 209.656, 1653.95, 0.82, 500
0, 6, 86342.6, 302.643, 371.953, 54.4222, 228.681, 1699.67, 0.82, 500
0, 7, 86283.5, 301.206, 364.755, 62.6934, 241.346, 1746.46, 1, 500
0, 8, 86224.3, 300.165, 365.87, 52.2877, 263.107, 1794.23, 0.62, 500
0, 9, 86166.5, 298.006, 364.76, 48.5628, 279.314, 1842.89, 0.86, 500
0, 10, 86109.3, 295.571, 360.426, 56.9744, 285.363, 1892.37, 0.96, 500
0, 11, 86051.6, 294.149, 357.061, 51.639, 302.98, 1942.56, 0.78, 500
0, 12, 85995.2, 291.771, 351.738, 46.5994, 321.338, 1993.4, 0.84, 500
0, 13, 85940.2, 288.401, 349.462, 41.7772, 335.386, 2044.8, 0.9, 500
0, 14, 85886.2, 284.69, 346.876, 36.0971, 349.43, 2096.7, 0.86, 500
0, 15, 85833.4, 280.548, 338.956, 45.6001, 352.47, 2149.02, 0.98, 500
0, 16, 85780.4, 277.421, 337.022, 41.1759, 362.294, 2201.66, 0.8, 500
0, 17, 85728.4, 274.01, 333.788, 41.88, 367.416, 2254.56, 0.94, 500
0, 18, 85676.7, 270.902, 330.307, 48.3292, 366.172, 2307.63, 0.94, 500
0, 19, 85624.6, 268.793, 325.64, 35.1312, 385.017, 2360.83, 0.84, 500
0, 20, 85575, 264.618, 321.011, 31.7494, 393.515, 2414.1, 0.88, 500
0, 21, 85526.5, 260.15, 316.128, 37.3587, 392.407, 2467.41, 0.9, 500
0, 22, 85478, 256.647, 306.969, 28.2992, 409.378, 2520.69, 0.88, 500
0, 23, 85432, 251.318, 309.973, 30.6767, 402.137, 2573.88, 0.76, 500
0, 24, 85385.3, 247.767, 308.016, 36.5646, 395.413, 2626.93, 0.76, 500
0, 25, 85338.1, 245.441, 305.703, 32.8189, 398.169, 2679.79, 0.88, 500
0, 26, 85291.7, 242.723, 304.228, 22.2011, 406.728, 2732.41, 0.84, 500
0, 27, 85247, 238.868, 301.479, 32.1787, 395.676, 2784.78, 0.98, 500
0, 28, 85201.4, 236.75, 291.386, 35.2123, 398.414, 2836.87, 0.84, 500
0, 29, 85156.7, 234.065, 293.718, 30.9021, 395.956, 2888.66, 0.64, 500
0, 30, 85112.3, 231.624, 291.507, 30.7387, 393.673, 2940.13, 0.88, 500
1, 0, 86744.5, 244.114, 398.72, 170.88, 0, 1441.8, 1, 0
1, 1, 86665.2, 274.601, 392.416, 122.321, 63, 1482.49, 0.52, 500
1, 2, 86593.6, 291.285, 387.83, 109.06, 94.5, 1523.75, 0.88, 500
1, 3, 86524.5, 302.093, 382.908, 83.7471, 140.75, 1565.99, 0.68, 500
1, 4, 86459.7, 306.485, 374.851, 63.8907, 185.696, 1609.38, 0.72, 500
1, 5, 86398.8, 306.077, 370.984, 52.7162, 217.432, 1653.98, 0.84, 500
1, 6, 86340, 303.621, 359.335, 63.3154, 233.902, 1699.78, 0.98, 500
1, 7, 86281.5, 301.471, 354.176, 66.0101, 250.194, 1746.68, 0.88, 500
1, 8, 86223.3, 299.37, 355.083, 61.3834, 266.323, 1794.56, 0.8, 500
1, 9, 86165.6, 297.135, 347.632, 52.961, 293.3, 1843.33, 0.86, 500
1, 10, 86110.2, 293.113, 345.4, 49.0062, 309.35, 1892.89, 0.84, 500
1, 11, 86055.7, 289.005, 345.764, 41.0925, 325.254, 1943.16, 0.86, 500
1, 12, 86002.3, 284.641, 344.527, 35.4976, 339.021, 1994.03, 0.84, 500
1, 13, 85949.8, 280.173, 336.768, 33.0405, 354.805, 2045.39, 0.9, 500
1, 14, 85898.8, 275.158, 335.937, 37.4908, 355.462, 2097.15, 0.76, 500
1, 15, 85847.3, 271.614, 334.464, 41.3224, 356.072, 2149.21, 0.88, 500
1, 16, 85795.5, 269.074, 325.6, 52.6677, 355.638, 2201.49, 1, 500
1, 17, 85743.4, 267.351, 323.013, 59.0501, 353.236, 2253.91, 0.94, 500
1, 18, 85690.9, 266.464, 317.37, 60.8733, 358.005, 2306.43, 0.92, 500
1, 19, 85638.8, 265.197, 308.005, 56.5131, 372.433, 2359.02, 0.88, 500
1, 20, 85588.7, 262.265, 308.133, 47.3883, 381.83, 2411.66, 0.86, 500
1, 21, 85539.9, 258.654, 304.84, 36.7393, 395.557, 2464.32, 0.76, 500
1, 22, 85493, 253.823, 304.278, 40.6343, 391.303, 2516.98, 0.94, 500
1, 23, 85445.7, 250.39, 303.079, 35.9613, 395.353, 2569.56, 0.86, 500
1, 24, 85399.2, 246.812, 301.485, 27.416, 403.113, 2622.02, 0.8, 500
1, 25, 85354.1, 242.535, 295.504, 31.2664, 402.319, 2674.31, 0.92, 500
1, 26, 85309.3, 238.797, 289.351, 27.5852, 408.582, 2726.39, 0.84, 500
1, 27, 85265.9, 234.437, 284.115, 26.9426, 410.398, 2778.21, 0.82, 500
1, 28, 85223.3, 230.122, 280.642, 27.0844, 409.084, 2829.74, 0.88, 500
1, 29, 85181.2, 226.193, 266.813, 26.9571, 417.863, 2880.94, 0.92, 500
1, 30, 85141.1, 221.121, 262.422, 26.6031, 417.016, 2931.77, 0.84, 500
2, 0, 86744.5, 244.114, 398.72, 170.88, 0, 1441.8, 1, 0
2, 1, 86665.2, 274.601, 392.416, 117.321, 68, 1482.49, 0.5, 500
2, 2, 86594.3, 290.59, 385.83, 95.4171, 110.143, 1523.75, 0.66, 500
2, 3, 86527.4, 299.363, 375.954, 91.037, 140.276, 1565.99, 0.9, 500
2, 4, 86462.5, 304.35, 367.011, 85.4961, 171.256, 1609.37, 0.9, 500
2, 5, 86399.7, 306.281, 367.405, 88.6503, 184.023, 1653.93, 0.9, 500
2, 6, 86336.5, 308.272, 367.041, 65.6949, 222.879, 1699.65, 0.68, 500
2, 7, 86276.5, 306.587, 358.982, 73.4988, 237.959, 1746.47, 0.98, 500
2, 8, 86216.6, 305.162, 362.262, 64.6441, 256.962, 1794.36, 0.78, 500
2, 9, 86157.5, 303.209, 368.109, 58.3363, 269.607, 1843.21, 0.82, 500
2, 10, 86098.6, 301.542, 361.265, 64.362, 281.35, 1892.93, 0.98, 500
2, 11, 86039.7, 300.055, 358.676, 63.8572, 294.253, 1943.43, 0.88, 500
2, 12, 85981.4, 298.398, 357.064, 50.2993, 318.235, 1994.63, 0.78, 500
2, 13, 85925.2, 294.94, 350.335, 48.6104, 334.504, 2046.45, 0.74, 500
2, 14, 85870.1, 290.975, 351.603, 44.8346, 343.611, 2098.84, 0.74, 500
2, 15, 85815.5, 287.422, 352.225, 40.0906, 353.067, 2151.7, 0.72, 500
2, 16, 85761.5, 283.977, 348.305, 34.4723, 366.848, 2204.95, 0.86, 500
2, 17, 85708.8, 279.875, 341.183, 27.0486, 384.645, 2258.49, 0.84, 500
2, 18, 85658.1, 274.559, 329.995, 28.9091, 396.17, 2312.27, 0.84, 500
2, 19, 85608.8, 268.994, 324.862, 29.3177, 401.872, 2366.2, 0.84, 500
2, 20, 85560.1, 263.864, 310.317, 39.3632, 406.167, 2420.21, 0.96, 500
2, 21, 85512.1, 259.115, 307.092, 38.3834, 409.155, 2474.19, 0.84, 500
2, 22, 85464.6, 254.711, 300.433, 37.1886, 414.93, 2528.1, 0.9, 500
2, 23, 85418.3, 250.085, 300.633, 36.815, 412.292, 2581.85, 0.76, 500
2, 24, 85372.1, 246.335, 301.171, 41.1904, 403.843, 2635.4, 0.96, 500
2, 25, 85325.1, 243.983, 295.146, 44.0283, 402.997, 2688.7, 0.92, 500
2, 26, 85278.7, 241.639, 295.222, 41.5224, 401.211, 2741.72, 0.82, 500
2, 27, 85232.6, 239.406, 291.964, 41.0549, 400.553, 2794.43, 0.86, 500
2, 28, 85187, 237.085, 287.626, 33.4868, 407.942, 2846.83, 0.88, 500
2, 29, 85143.1, 233.576, 285.274, 29.32, 409.804, 2898.9, 0.82, 500
2, 30, 85100.1, 229.855, 282.598, 21.2403, 415.532, 2950.64, 0.8, 500
3, 0, 86744.5, 244.114, 398.72, 170.88, 0, 1441.8, 1, 0
3, 1, 86665.2, 274.601, 390.416, 118.321, 69, 1482.49, 0.58, 500
3, 2, 86594.4, 290.451, 380.973, 108.346, 102.071, 1523.75, 0.76, 500
