Step,S,E,I1,I2,H,R,Testing_Types,Testing_Number
0, 86665.2, 274.601, 375.176, 133.071, 69.49, 1482.49, 0.7384, 500
1, 86594.5, 290.383, 353.472, 109.172, 128.746, 1523.75, 0.8102, 500
2, 86530.2, 296.612, 334.467, 91.227, 181.53, 1565.99, 0.8404, 500
3, 86471, 296.415, 318.032, 78.0675, 227.074, 1609.37, 0.8474, 500
4, 86416.1, 292.11, 301.334, 68.2862, 268.324, 1653.88, 0.8728, 500
5, 86364.8, 284.958, 285.436, 59.9252, 305.438, 1699.45, 0.8764, 500
6, 86316.9, 275.843, 269.951, 54.8023, 336.551, 1745.93, 0.8898, 500
7, 86271.9, 265.669, 254.747, 49.6084, 364.882, 1793.17, 0.8892, 500
8, 86229.8, 254.681, 240.304, 44.7851, 389.479, 1840.97, 0.8904, 500
9, 86190.3, 243.204, 225.855, 40.157, 411.309, 1889.16, 0.8956, 500
10, 86153.5, 231.366, 211.731, 37.7009, 428.15, 1937.54, 0.9054, 500
11, 86119, 219.586, 197.819, 34.5899, 443.048, 1985.93, 0.9038, 500
12, 86086.9, 207.795, 184.751, 31.5044, 454.871, 2034.18, 0.911, 500
13, 86057, 196.118, 171.596, 29.3718, 463.781, 2082.12, 0.9068, 500
14, 86029.3, 184.655, 159.565, 27.0709, 469.853, 2129.6, 0.904, 500
15, 86003.5, 173.496, 146.43, 24.7465, 475.352, 2176.49, 0.9158, 500
16, 85979.9, 162.427, 135.05, 22.5787, 477.419, 2222.67, 0.9072, 500
17, 85958.1, 151.696, 123.513, 20.6915, 477.967, 2268.03, 0.922, 500
18, 85938.2, 141.253, 111.478, 19.1253, 477.467, 2312.48, 0.9298, 500
19, 85920.2, 131.018, 101.251, 17.0544, 474.582, 2355.91, 0.9242, 500
20, 85903.9, 121.13, 91.8311, 15.4673, 469.443, 2398.26, 0.9246, 500
21, 85889.1, 111.699, 82.6499, 13.7802, 463.342, 2439.45, 0.9266, 500
22, 85875.8, 102.653, 74.5542, 12.4079, 455.166, 2479.44, 0.918, 500
23, 85863.8, 94.1093, 67.0003, 10.8408, 446.094, 2518.16, 0.917, 500
24, 85853.1, 86.0155, 60.5398, 9.82298, 434.97, 2555.58, 0.9036, 500
25, 85843.4, 78.5086, 53.6577, 9.01227, 423.771, 2591.68, 0.927, 500
26, 85834.7, 71.4421, 48.0263, 8.31905, 411.051, 2626.43, 0.9146, 500
27, 85827, 64.9165, 42.6677, 7.53136, 398.101, 2659.81, 0.9276, 500
28, 85820.1, 58.8487, 37.7683, 6.50839, 384.985, 2691.83, 0.9182, 500
29, 85814, 53.178, 33.2094, 5.92443, 371.236, 2722.49, 0.917, 500
